"year","month","manufacturer","market_percent_total","total_registered"
2023,1,"VOLKSWAGEN_GROUP",26,197490
2023,1,"VOLKSWAGEN",11.3,85554
2023,1,"SKODA",5.8,43919
2023,1,"AUDI",5,37713
2023,1,"SEAT",2.3,17343
2023,1,"CUPRA",0.8,6341
2023,1,"PORSCHE",0.8,6296
2023,1,"STELLANTIS",18.6,141160
2023,1,"PEUGEOT",5.6,42538
2023,1,"FIAT",3.9,29858
2023,1,"CITROEN",3.2,24561
2023,1,"OPEL_VAUXHALL",3.1,23531
2023,1,"JEEP",1.2,9469
2023,1,"DS",0.5,3657
2023,1,"LANCIA_CHRYSLER",0.5,3586
2023,1,"ALFA_ROMEO",0.4,3269
2023,1,"RENAULT_GROUP",11.7,88636
2023,1,"DACIA",6,45511
2023,1,"RENAULT",5.7,42979
2023,1,"ALPINE",0,146
2023,1,"HYUNDAI_GROUP",9,68344
2023,1,"KIA",4.7,35961
2023,1,"HYUNDAI",4.3,32383
2023,1,"TOYOTA_GROUP",8.2,62069
2023,1,"TOYOTA",7.8,59568
2023,1,"LEXUS",0.3,2501
2023,1,"BMW_GROUP",5.7,43306
2023,1,"BMW",4.7,35953
2023,1,"MINI",1,7352
2023,1,"MERCEDES_BENZ",4.7,35977
2023,1,"MERCEDES",4.6,34632
2023,1,"SMART",0.2,1345
2023,1,"FORD",3.7,27959
2023,1,"VOLVO_CARS",2.1,15631
2023,1,"NISSAN",1.8,13537
2023,1,"MAZDA",1.6,11963
2023,1,"SUZUKI",1.4,10832
2023,1,"JAGUAR_LAND_ROVER_GROUP",0.6,4923
2023,1,"LAND_ROVER",0.6,4278
2023,1,"JAGUAR",0.1,645
2023,1,"TESLA",1.2,8749
2023,1,"MITSUBISHI",0.3,2402
2023,1,"HONDA",0.3,2397
2023,2,"VOLKSWAGEN_GROUP",26,208503
2023,2,"VOLKSWAGEN",10.8,86820
2023,2,"SKODA",5.6,44993
2023,2,"AUDI",5.4,43004
2023,2,"SEAT",2.3,18537
2023,2,"CUPRA",1.2,9276
2023,2,"PORSCHE",0.7,5570
2023,2,"STELLANTIS",19.1,153684
2023,2,"PEUGEOT",6.3,50205
2023,2,"FIAT",3.7,29393
2023,2,"OPEL",3.5,27951
2023,2,"CITROEN",3.3,26815
2023,2,"JEEP",1.2,9232
2023,2,"DS",0.5,3850
2023,2,"ALFA_ROMEO",0.4,3269
2023,2,"LANCIA_CHRYSLER",0.3,2462
2023,2,"RENAULT_GROUP",10.8,86779
2023,2,"RENAULT",5.5,44295
2023,2,"DACIA",5.3,42390
2023,2,"ALPINE",0,94
2023,2,"HYUNDAI_GROUP",8.4,67764
2023,2,"KIA",4.3,34919
2023,2,"HYUNDAI",4.1,32845
2023,2,"TOYOTA_GROUP",7.3,58329
2023,2,"TOYOTA",7,55842
2023,2,"LEXUS",0.3,2487
2023,2,"MERCEDES_BENZ",5.7,46122
2023,2,"MERCEDES",5.6,44690
2023,2,"SMART",0.2,1432
2023,2,"BMW_GROUP",6.1,48817
2023,2,"BMW",4.9,39463
2023,2,"MINI",1.2,9355
2023,2,"FORD",3.9,31546
2023,2,"VOLVO_CARS",2.1,16684
2023,2,"NISSAN",2,15776
2023,2,"TESLA",2.4,19249
2023,2,"MAZDA",1.4,10974
2023,2,"SUZUKI",1.3,10742
2023,2,"JAGUAR_LAND_ROVER_GROUP",0.6,4947
2023,2,"LAND_ROVER",0.5,4198
2023,2,"JAGUAR",0.1,749
2023,2,"HONDA",0.4,3467
2023,2,"MITSUBISHI",0.3,2303
2023,3,"VOLKSWAGEN_GROUP",25.3,275757
2023,3,"VOLKSWAGEN",10.2,111444
2023,3,"SKODA",5.2,56811
2023,3,"AUDI",5.5,60329
2023,3,"SEAT",2.1,23357
2023,3,"CUPRA",1.5,16273
2023,3,"PORSCHE",0.7,7126
2023,3,"STELLANTIS",19.9,216862
2023,3,"PEUGEOT",6.4,69410
2023,3,"FIAT",3.4,37064
2023,3,"OPEL",3.8,41188
2023,3,"CITROEN",3.8,41158
2023,3,"JEEP",1.1,11697
2023,3,"DS",0.5,5255
2023,3,"ALFA_ROMEO",0.5,5249
2023,3,"LANCIA_CHRYSLER",0.5,5071
2023,3,"RENAULT_GROUP",10.2,110496
