"year","month","manufacturer","market_percent_total","total_registered"
2023,1,"VOLKSWAGEN_GROUP",26.1,238000
2023,1,"VOLKSWAGEN",11,100213
2023,1,"SKODA",5.6,51241
2023,1,"AUDI",5.3,48241
2023,1,"SEAT",2.3,20968
2023,1,"PORSCHE",0.9,8597
2023,1,"CUPRA",0.9,8249
2023,1,"STELLANTIS",17.2,156553
2023,1,"PEUGEOT",5.1,46789
2023,1,"FIAT",3.5,31828
2023,1,"OPEL_VAUXHALL",3.2,29048
2023,1,"CITROEN",3,27152
2023,1,"JEEP",1.1,9927
2023,1,"DS",0.4,3954
2023,1,"LANCIA_CHRYSLER",0.4,3586
2023,1,"ALFA_ROMEO",0.4,3430
2023,1,"RENAULT_GROUP",10.4,94889
2023,1,"DACIA",5.3,47998
2023,1,"RENAULT",5.1,46714
2023,1,"ALPINE",0,177
2023,1,"HYUNDAI_GROUP",9.4,85444
2023,1,"KIA",5.1,46094
2023,1,"HYUNDAI",4.3,39350
2023,1,"TOYOTA_GROUP",8,73299
2023,1,"TOYOTA",7.7,69978
2023,1,"LEXUS",0.4,3321
2023,1,"BMW_GROUP",6.1,55448
2023,1,"BMW",5,45147
2023,1,"MINI",1.1,10300
2023,1,"MERCEDES_BENZ",4.6,42258
2023,1,"MERCEDES",4.5,40869
2023,1,"SMART",0.2,1389
2023,1,"FORD",4.1,37609
2023,1,"VOLVO_CARS",2.3,20736
2023,1,"NISSAN",2.1,19343
2023,1,"MAZDA",1.6,14950
2023,1,"SUZUKI",1.4,12581
2023,1,"JAGUAR_LAND_ROVER_GROUP",1.1,9729
2023,1,"LAND_ROVER",0.9,8008
2023,1,"JAGUAR",0.2,1721
2023,1,"TESLA",1.2,9469
2023,1,"HONDA",0.5,4690
2023,1,"MITSUBISHI",0.3,2496
2023,2,"VOLKSWAGEN_GROUP",26.1,235404
2023,2,"VOLKSWAGEN",10.7,96864
2023,2,"SKODA",5.6,50851
2023,2,"AUDI",5.5,49456
2023,2,"SEAT",2.3,20671
2023,2,"CUPRA",1.2,10588
2023,2,"PORSCHE",0.7,6557
2023,2,"STELLANTIS",18.5,167097
2023,2,"PEUGEOT",5.9,53527
2023,2,"OPEL_VAUXHALL",3.7,33807
2023,2,"FIAT",3.4,30590
2023,2,"CITROEN",3.2,28925
2023,2,"JEEP",1.1,9726
2023,2,"DS",0.5,4102
2023,2,"ALFA_ROMEO",0.4,3384
2023,2,"LANCIA_CHRYSLER",0.3,2463
2023,2,"RENAULT_GROUP",10.1,91352
2023,2,"RENAULT",5.1,46482
2023,2,"DACIA",5,44760
2023,2,"ALPINE",0,110
2023,2,"HYUNDAI_GROUP",8.6,77375
2023,2,"KIA",4.4,39424
2023,2,"HYUNDAI",4.2,37951
2023,2,"TOYOTA_GROUP",7.2,65059
2023,2,"TOYOTA",6.9,62067
2023,2,"LEXUS",0.3,2992
2023,2,"BMW_GROUP",6.2,56092
2023,2,"BMW",4.9,44667
2023,2,"MINI",1.3,11425
2023,2,"MERCEDES_BENZ",5.5,50017
2023,2,"MERCEDES",5.4,48565
2023,2,"SMART",0.2,1452
2023,2,"FORD",4.3,39209
2023,2,"VOLVO_CARS",2.2,19996
2023,2,"NISSAN",2.1,19377
2023,2,"TESLA",2.9,23449
2023,2,"MAZDA",1.4,12487
2023,2,"SUZUKI",1.3,12051
2023,2,"JAGUAR_LAND_ROVER_GROUP",0.8,7005
2023,2,"LAND_ROVER",0.7,5893
2023,2,"JAGUAR",0.1,1112
2023,2,"HONDA",0.4,3681
2023,2,"MITSUBISHI",0.3,2397
2023,3,"VOLKSWAGEN_GROUP",24.4,346314
2023,3,"VOLKSWAGEN",9.7,137461
2023,3,"AUDI",5.7,81675
2023,3,"SKODA",4.7,66529
2023,3,"SEAT",2,28650
2023,3,"CUPRA",1.4,19971
2023,3,"PORSCHE",0.8,11315
2023,3,"STELLANTIS",17.7,251122
2023,3,"PEUGEOT",5.6,79371
2023,3,"OPEL_VAUXHALL",3.8,53887
2023,3,"FIAT",2.9,40952
2023,3,"CITROEN",3.3,47024
2023,3,"JEEP",0.9,12455
2023,3,"DS",0.4,5696
2023,3,"ALFA_ROMEO",0.4,5642
2023,3,"LANCIA_CHRYSLER",0.4,5072
2023,3,"RENAULT_GROUP",8.5,120321
2023,3,"RENAULT",4.6,65927
2023,3,"DACIA",3.8,54199
2023,3,"ALPINE",0,195
2023,3,"HYUNDAI_GROUP",8.4,119394
2023,3,"KIA",4.4,63053
2023,3,"HYUNDAI",4,56341
2023,3,"TOYOTA_GROUP",6.6,94264
2023,3,"TOYOTA",6.3,89678
2023,3,"LEXUS",0.3,4586
2023,3,"BMW_GROUP",6.9,97440
2023,3,"BMW",5.2,74311
2023,3,"MINI",1.6,23129
2023,3,"MERCEDES_BENZ",5.6,79520
2023,3,"MERCEDES",5.4,76955
2023,3,"SMART",0.2,2565
2023,3,"FORD",4.3,61545
2023,3,"TESLA",4.3,60866
2023,3,"NISSAN",3,43145
2023,3,"VOLVO_CARS",2,29134
2023,3,"MAZDA",1.7,23618
2023,3,"SUZUKI",1.4,19718
2023,3,"JAGUAR_LAND_ROVER_GROUP",1.5,21691
2023,3,"LAND_ROVER",1.3,18411
2023,3,"JAGUAR",0.2,3280
2023,3,"HONDA",0.5,7775
2023,3,"MITSUBISHI",0.3,3779
2023,4,"VOLKSWAGEN_GROUP",27.3,263871
2023,4,"VOLKSWAGEN",11.1,106787
2023,4,"AUDI",6.1,59190
2023,4,"SKODA",5.5,53438
2023,4,"SEAT",2.1,20321
2023,4,"CUPRA",1.6,15345
2023,4,"PORSCHE",0.9,8245
2023,4,"STELLANTIS",17.5,169022
2023,4,"PEUGEOT",5.4,52104
2023,4,"OPEL_VAUXHALL",3.9,37373
2023,4,"FIAT",3.1,30167
2023,4,"CITROEN",2.9,27686
2023,4,"JEEP",0.9,8688
2023,4,"DS",0.4,4095
2023,4,"ALFA_ROMEO",0.5,4548
2023,4,"LANCIA_CHRYSLER",0.4,3723
2023,4,"RENAULT_GROUP",10.2,97980
2023,4,"RENAULT",5.5,53164
2023,4,"DACIA",4.6,44590
2023,4,"ALPINE",0,226
2023,4,"HYUNDAI_GROUP",9.3,89804
2023,4,"KIA",5.2,50062
2023,4,"HYUNDAI",4.1,39742
2023,4,"TOYOTA_GROUP",6.2,59710
2023,4,"TOYOTA",5.7,55407
2023,4,"LEXUS",0.4,4303
2023,4,"BMW_GROUP",6.9,66550
2023,4,"BMW",5.5,52745
2023,4,"MINI",1.4,13804
2023,4,"MERCEDES_BENZ",5.4,51659
2023,4,"MERCEDES",5.1,49474
2023,4,"SMART",0.2,2185
2023,4,"FORD",4.2,40998
2023,4,"TESLA",1.5,14030
2023,4,"NISSAN",1.9,18602
2023,4,"VOLVO_CARS",2.2,21043
2023,4,"MAZDA",1.2,11698
2023,4,"SUZUKI",1.3,12682
2023,4,"JAGUAR_LAND_ROVER_GROUP",1.1,10880
2023,4,"LAND_ROVER",1,9476
