"year","month","brand","registrations"
2024,9,"PEUGEOT",1496
2024,9,"MERCEDES-BENZ",1357
2024,9,"DACIA",1276
2024,9,"RENAULT",995
2024,9,"BMW",1086
2024,9,"TOYOTA",817
2024,9,"VOLKSWAGEN",828
2024,9,"CITROEN",369
2024,9,"TESLA",1025
2024,9,"SEAT",450
2024,9,"KIA",480
2024,9,"NISSAN",514
2024,9,"VOLVO",467
2024,9,"HYUNDAI",562
2024,9,"OPEL",298
2024,9,"FIAT",147
2024,9,"FORD",510
2024,9,"AUDI",298
2024,9,"SKODA",221
2024,9,"MITSUBISHI",173
2024,9,"BYD",353
2024,9,"MG",255
2024,9,"CUPRA",109
2024,9,"JEEP",121
2024,9,"MINI",176
2024,9,"PORSCHE",166
2024,9,"DS",91
2024,9,"LAND ROVER",64
2024,9,"HONDA",53
2024,9,"MAZDA",53
2024,9,"LEXUS",63
2024,9,"SMART",57
2024,9,"ALFA ROMEO",27
2024,9,"SUZUKI",22
2024,9,"POLESTAR",24
2024,9,"JAGUAR",5
2024,9,"KGM",9
2024,9,"ASTON MARTIN",5
2024,9,"MERCEDES-BENZ - AUTO RIBEIRO",5
2024,9,"LAMBORGHINI",0
2024,9,"BENTLEY",3
2024,9,"FERRARI",1
2024,9,"MASERATI",2
2024,9,"OPEL - AUTO RIBEIRO",0
2024,9,"XPENG",11
2024,9,"AIWAYS",0
2024,9,"MAN",3
2024,9,"FORTHING",2
2024,9,"LOTUS",3
2024,9,"MORGAN",0
2024,9,"ALPINE",1
2024,9,"FORD - AUTO RIBEIRO",0
2024,9,"ROLLS-ROYCE",1
2024,9,"SSANGYONG",0
2024,9,"CATERHAM",0
2024,9,"VOYAH",1
2024,9,"FISKER",0
2024,9,"CHEVROLET",0
2024,9,"ALLIED VEHICLES LTD",0
2024,9,"KTM",0
2024,9,"RADAR",0
2024,9,"FIAT - AUTO RIBEIRO",0
