year,month,value,brand
2024,7,40,Tesla
2024,7,22,BYD
2024,7,25,Volvo
2024,7,5,Renault
2024,7,15,Maxus
2024,7,89,Dong Feng
2024,7,0,KIA
2024,7,3,JAC
2024,7,0,GWM
2024,7,0,ZNA
2024,7,0,Fiat
2024,7,2,Hyundai
2024,7,0,MG
2024,7,9,BMW
2024,7,12,Audi
2024,7,0,Mini
2024,7,0,Peugeot
2024,7,4,DFM
2024,7,5,Mercedes Benz
2024,7,1,Farizon
2024,7,1,DS
2024,7,0,JMC
2024,7,1,Ssangyong
2024,7,1,Chevrolet
2024,7,3,Nissan
2024,7,4,Omoda
2024,7,2,BAIC
2024,7,1,Porsche
2024,7,1,Citroen
2024,7,1,Opel
2024,7,12,Otros
2024,6,174,Tesla
2024,6,95,BYD
2024,6,72,Volvo
2024,6,76,Renault
2024,6,3,Maxus
2024,6,24,JAC
2024,6,4,GWM
2024,6,2,ZNA
2024,6,9,Hyundai
2024,6,3,MG
2024,6,3,BMW
2024,6,7,Peugeot
2024,6,6,Audi
2024,6,6,Otros
2024,6,4,Dong Feng
2024,6,1,Farizon
2024,6,1,DS
2024,6,1,JMC
2024,6,1,Mercedes Benz
2024,6,0,Ssangyong
2024,6,1,Nissan
2024,6,2,Higer
2024,6,2,Porsche
2024,5,17,BYD
2024,5,163,Tesla
2024,5,77,Volvo
2024,5,21,Maxus
2024,5,3,KIA
2024,5,61,Renault
2024,5,10,GWM
2024,5,20,ZNA
2024,5,4,MG
2024,5,15,JAC
2024,5,5,Hyundai
2024,5,3,BMW
2024,5,18,Ford
2024,5,7,Mini
2024,5,0,Leapmotor
2024,5,0,DFM
2024,5,4,Peugeot
2024,5,1,DS
2024,5,7,Farizon
2024,5,8,JMC
2024,5,5,Audi
2024,5,4,Chevrolet
2024,5,4,Dong Feng
2024,5,4,Mercedes Benz
2024,5,3,Porsche
2024,5,2,Citroen
2024,5,2,Ssangyong
2024,5,1,Baic
2024,5,1,Higer
2024,5,1,Nissan
2024,5,1,Opel
2024,5,66,Otros
2024,4,84,BYD
2024,4,94,Tesla
2024,4,8,KIA
2024,4,37,Maxus
2024,4,24,Renault
2024,4,22,Volvo
2024,4,18,GWM
2024,4,7,MG
2024,4,2,Hyundai
2024,4,1,ZNA
2024,4,7,BMW
2024,4,13,JAC
2024,4,2,Mini
2024,4,1,DFM
2024,4,5,Peugeot
2024,4,3,DS
2024,4,7,JMC
2024,4,2,Audi
2024,4,4,Mercedes Benz
2024,4,2,Citroen
2024,4,3,Porsche
2024,4,1,Higer
2024,4,1,Nissan
2024,4,2,Geely
2024,4,1,Jaguar
2024,4,61,Maple
2024,4,1,Otros
2024,3,135,BYD
2024,3,74,KIA
2024,3,32,Maxus
2024,3,32,Renault
2024,3,8,Volvo
2024,3,8,MG
2024,3,3,Hyundai
2024,3,8,ZNA
2024,3,2,BMW
2024,3,3,GWM
2024,3,7,Mini
2024,3,2,Peugeot
2024,3,7,DFM
2024,3,2,Farizon
2024,3,1,DS
2024,3,3,Audi
2024,3,2,Porsche
2024,3,2,Nissan
2024,3,1,Jaguar
2024,3,6,JMC
2024,3,60,Maple
2024,3,1,Otros
2024,3,2,Tesla
2024,2,27,BYD
2024,2,11,Hyundai
2024,2,16,ZNA
2024,2,4,Volvo
2024,2,5,Maxus
2024,2,2,BMW
2024,2,1,Peugeot
2024,2,1,Farizon
2024,2,3,KIA
2024,2,3,Renault
2024,2,1,Audi
2024,2,1,Baic
2024,2,1,DS
2024,2,1,MG
2024,2,1,Mini
2024,2,1,Nissan
2024,2,2,Porsche
2024,2,1,DFSK
2024,2,1,JMC
2024,2,60,Maple
2024,2,1,Otros
2024,2,2,Tesla
2024,1,18,BYD
2024,1,11,Volvo
2024,1,9,Maxus
2024,1,6,GWM
2024,1,5,BMW
2024,1,5,Hyundai
2024,1,4,Farizon
2024,1,3,Renault
2024,1,2,Peugeot
2024,1,1,Audi
2024,1,1,Baic
2024,1,1,DS
2024,1,1,KIA
2024,1,1,MG
2024,1,1,Mini
2024,1,1,Nissan
2024,1,60,Maple
2024,1,2,Porsche
2024,1,2,Tesla
2024,1,8,ZNA
