year,month,value
2024,7,27890
2024,6,11746
2024,5,17358
2024,4,30746
2024,3,26666
2024,2,30224
2024,1,31566
2023,12,18334
2023,11,16928
2023,10,43489
2023,9,30566
2023,8,19465
2023,7,32862
2023,6,19468
2023,5,35187
2023,4,35886
2023,3,12206
2023,2,40479
2023,1,39208
2022,12,13870
2022,11,37798
2022,10,54504
2022,9,5522
2022,8,42463
2022,7,19756
2022,6,968
2022,5,22340
2022,4,0
2022,3,60
2022,2,33315
2022,1,40499
2021,12,245
2021,11,21127
2021,10,40666
2021,9,3853
2021,8,31379
2021,7,24347
2021,6,5017
2021,5,11527
2021,4,14174
