"year","quarter","revenues_vehicle_sales","revenues_services_and_others","cost_of_sales_vehicle_sales","cost_of_sales_services_and_others","operating_expenses_research_and_development","operating_expenses_selling_general_and_administrative_expenses"
2020,"Q3",279551,13562,270525,9105,93580,177299
2020,"Q4",419225,17764,390895,13824,70491,140672
2021,"Q1",428943,21457,385514,14542,81674,110019
2021,"Q2",555147,27401,494299,18773,133743,159645
2021,"Q3",847388,40329,732348,27980,196207,238759
2021,"Q4",1284747,57877,1145048,36997,227755,316264
2022,"Q1",1104036,71952,989305,43019,192652,258952
2022,"Q2",1035890,74327,942017,47365,188853,248505
2022,"Q3",877366,81865,775244,54200,210663,228628
2022,"Q4",675808,69473,637534,43218,178340,254569
2023,"Q1",511644,75667,524278,53273,188691,201908
2023,"Q2",610172,88006,662576,62823,188533,212876
2023,"Q3",1075142,93926,1140336,59977,178984,231934
2023,"Q4",1722322,115793,1652552,71551,184192,272751
2024,"Q1",767890,139011,726014,64028,187035,192298
2024,"Q2",938307,177859,878507,81369,201832,216535
