"Start Date","End Date","PV Retail","Year-ago Period","YoY","MoM","PV Wholesale","Year-ago Period","YoY","MoM"
"20240805","20240811","356,888","325,556","10%","23%","289,177","314,601","-8%","26%"
"20240801","20240804","164,060","160,600","2%","5%","97,728","141,492","-31%","-12%"
"20240729","20240731","337,269","341,931","-1%","17%","598,815","436,203","37%","40%"
"20240722","20240728","457,569","506,226","-10%","-25%","513,954","652,946","-21%","-41%"
"20240715","20240721","356,587","361,410","-1%","-14%","393,890","387,205","2%","-18%"
"20240708","20240714","303,310","305,242","-1%","4%","253,932","323,869","-22%","-10%"
"20240701","20240707","274,323","257,775","6%","9%","195,139","262,353","-26%","-21%"
"20240624","20240630","667,821","672,476","-1%","17%","960,659","953,043","1%","11%"
"20240617","20240623","452,424","498,351","-9%","38%","550,354","508,585","8%","27%"
"20240611","20240616","274,242","337,032","-19%","1%","266,634","368,550","-28%","-5%"
"20240601","20240610","360,100","392,850","-8%","-23%","351,910","405,720","-13%","4%"
"20240527","20240531","477,535","450,565","6%","27%","757,090","680,980","11%","34%"
"20240520","20240526","338,380","345,520","-2%","-28%","476,966","501,599","-5%","-30%"
"20240513","20240519","310,366","333,263","-7%","-2%","372,953","369,075","1%","1%"
"20240501","20240512","559,008","612,720","-9%","28%","402,960","450,852","-11%","-10%"
"20240422","20240430","734,112","659,628","11%","0%","1,027,305","910,764","13%","-3%"
"20240415","20240421","335,265","384,391","-13%","-1%","396,067","391,636","1%","-7%"
"20240407","20240414","310,600","356,616","-13%","-3%","342,576","304,504","13%","-8%"
"20240401","20240406","205,236","223,824","-8%","-4%","191,844","170,274","13%","-10%"
"20240325","20240331","670,803","661,745","1%","70%","957,684","956,683","0%","7%"
"20240318","20240324","359,891","311,080","16%","32%","449,099","369,614","22%","57%"
"20240311","20240317","313,313","277,291","13%","75%","401,345","297,801","35%","193%"
"20240301","20240310","354,900","340,910","4%","-4%","357,050","364,460","-2%","50%"
"20240226","20240229","231,380","218,652","6%","-37%","553,196","289,288","91%","18%"
"20240218","20240225","310,896","498,920","-38%","-41%","328,952","658,312","-50%","-33%"
"20240205","20240217","342,199","506,714","-32%","-55%","260,949","544,726","-52%","-63%"
"20240201","20240204","217,156","147,224","48%","1%","120,880","111,988","8%","-36%"
"20240129","20240131","332,409","248,769","34%","-6%","503,028","410,865","22%","-1%"
"20240122","20240128","480,193","203,301","136%","-34%","466,641","255,164","83%","-49%"
"20240115","20240121","439,789","172,277","155%","-18%","394,968","165,970","138%","-26%"
"20240108","20240114","409,591","355,978","15%","0%","386,288","327,831","18%","-9%"
"20240101","20240107","378,084","312,200","21%","14%","329,126","288,869","14%","3%"
"20231225","20231231","836,087","738,913","13%","-11%","1,272,698","943,873","35%","-1%"
"20231218","20231224","582,708","526,946","11%","38%","559,034","452,018","24%","8%"
