"year","month","country","value"

•	China ✅
2023,1,"CHINA",26843
2023,2,"CHINA",33923
2023,3,"CHINA",76663
2023,4,"CHINA",39956
2023,5,"CHINA",42508
2023,6,"CHINA",74212
2023,7,"CHINA",31423
2023,8,"CHINA",64694
2023,9,"CHINA",43507
2023,10,"CHINA",28626
2023,11,"CHINA",65504
2023,12,"CHINA",75805
2024,1,"CHINA",39881
2024,2,"CHINA",30141
2024,3,"CHINA",62398
2024,4,"CHINA",31421
2024,5,"CHINA",55215
2024,6,"CHINA",59261
2024,7,"CHINA",46227
2024,8,"CHINA",63456
•	Hong Kong
2024,8,"HONG_KONG",914
2024,7,"HONG_KONG",642
2024,6,"HONG_KONG",609
2024,5,"HONG_KONG",616
2024,4,"HONG_KONG",523
2024,3,"HONG_KONG",862
2024,2,"HONG_KONG",1520
2024,1,"HONG_KONG",953
•	Macau
•	Taiwan
2024,8,"TAIWAN",906
2024,7,"TAIWAN",645
2024,6,"TAIWAN",3898
2024,5,"TAIWAN",1824
2024,3,"TAIWAN",2135
•	Japan
2024,8,"JAPAN",500
2024,7,"JAPAN",300
2024,6,"JAPAN",800
2024,5,"JAPAN",500
2024,4,"JAPAN",200
2024,3,"JAPAN",700
2024,2,"JAPAN",400
2024,1,"JAPAN",300
•	Malaysia
2024,7,"MALAYSIA",302
2024,4,"MALAYSIA",363
•	Singapore
2024,7,"SINGAPORE",174
2024,6,"SINGAPORE",308
2024,5,"SINGAPORE",208
2024,4,"SINGAPORE",105
2024,3,"SINGAPORE",211
2024,1,"SINGAPORE",104
•	Thailand
2024,6,"THAILAND",555
2024,5,"THAILAND",384
2024,4,"THAILAND",224
2024,3,"THAILAND",566
2024,2,"THAILAND",670
•	South Korea
2024,8,"SOUTH_KOREA",2208
2024,7,"SOUTH_KOREA",2680
2024,6,"SOUTH_KOREA",5293
2024,5,"SOUTH_KOREA",4163
2024,4,"SOUTH_KOREA",1722
2024,3,"SOUTH_KOREA",6025
2024,2,"SOUTH_KOREA",174
•	Australia
2024,8,"AUSTRALIA",2393
2024,7,"AUSTRALIA",2592
2024,6,"AUSTRALIA",4683
2024,5,"AUSTRALIA",3567
2024,4,"AUSTRALIA",2077
2024,3,"AUSTRALIA",6017
2024,2,"AUSTRALIA",5665
2024,1,"AUSTRALIA",1107
•	New Zealand
2024,8,"NEW_ZEALAND",133
2024,7,"NEW_ZEALAND",98
2024,6,"NEW_ZEALAND",107
2024,5,"NEW_ZEALAND",76
2024,4,"NEW_ZEALAND",67
2024,3,"NEW_ZEALAND",199
2024,2,"NEW_ZEALAND",152
