"year","month","region","power_train","value"
2023,1,"AUSTRIA","BEV",2745
2023,1,"AUSTRIA","PHEV",1218
2023,1,"AUSTRIA","HEV",3743
2023,1,"AUSTRIA","OTHERS",1
2023,1,"AUSTRIA","PETROL",7220
2023,1,"AUSTRIA","DIESEL",3923
2023,1,"AUSTRIA","TOTAL",18850
2023,1,"BELGIUM","BEV",5696
2023,1,"BELGIUM","PHEV",7247
2023,1,"BELGIUM","HEV",3291
2023,1,"BELGIUM","OTHERS",281
2023,1,"BELGIUM","PETROL",18231
2023,1,"BELGIUM","DIESEL",5101
2023,1,"BELGIUM","TOTAL",39847
2023,1,"BULGARIA","BEV",51
2023,1,"BULGARIA","PHEV",16
2023,1,"BULGARIA","HEV",53
2023,1,"BULGARIA","OTHERS",3
2023,1,"BULGARIA","PETROL",1696
2023,1,"BULGARIA","DIESEL",408
2023,1,"BULGARIA","TOTAL",2227
2023,1,"CROATIA","BEV",192
2023,1,"CROATIA","PHEV",80
2023,1,"CROATIA","HEV",720
2023,1,"CROATIA","OTHERS",138
2023,1,"CROATIA","PETROL",1634
2023,1,"CROATIA","DIESEL",596
2023,1,"CROATIA","TOTAL",3360
2023,1,"CYPRUS","BEV",82
2023,1,"CYPRUS","PHEV",29
2023,1,"CYPRUS","HEV",491
2023,1,"CYPRUS","OTHERS",0
2023,1,"CYPRUS","PETROL",620
2023,1,"CYPRUS","DIESEL",53
2023,1,"CYPRUS","TOTAL",1275
2023,1,"CZECH REPUBLIC","BEV",429
2023,1,"CZECH REPUBLIC","PHEV",488
2023,1,"CZECH REPUBLIC","HEV",2783
2023,1,"CZECH REPUBLIC","OTHERS",297
2023,1,"CZECH REPUBLIC","PETROL",9320
2023,1,"CZECH REPUBLIC","DIESEL",3820
2023,1,"CZECH REPUBLIC","TOTAL",17137
2023,1,"DENMARK","BEV",2202
2023,1,"DENMARK","PHEV",795
2023,1,"DENMARK","HEV",2422
2023,1,"DENMARK","OTHERS",0
2023,1,"DENMARK","PETROL",4551
2023,1,"DENMARK","DIESEL",433
2023,1,"DENMARK","TOTAL",10403
2023,1,"ESTONIA","BEV",58
2023,1,"ESTONIA","PHEV",32
2023,1,"ESTONIA","HEV",739
2023,1,"ESTONIA","OTHERS",6
2023,1,"ESTONIA","PETROL",735
2023,1,"ESTONIA","DIESEL",203
2023,1,"ESTONIA","TOTAL",1773
2023,1,"FINLAND","BEV",1862
2023,1,"FINLAND","PHEV",1295
2023,1,"FINLAND","HEV",2470
2023,1,"FINLAND","OTHERS",53
2023,1,"FINLAND","PETROL",1183
2023,1,"FINLAND","DIESEL",312
2023,1,"FINLAND","TOTAL",7175
2023,1,"FRANCE","BEV",14629
2023,1,"FRANCE","PHEV",10301
2023,1,"FRANCE","HEV",26030
2023,1,"FRANCE","OTHERS",5087
2023,1,"FRANCE","PETROL",43340
2023,1,"FRANCE","DIESEL",12552
2023,1,"FRANCE","TOTAL",111939
2023,1,"GERMANY","BEV",18136
2023,1,"GERMANY","PHEV",8853
2023,1,"GERMANY","HEV",41919
2023,1,"GERMANY","OTHERS",1187
2023,1,"GERMANY","PETROL",69922
2023,1,"GERMANY","DIESEL",39230
2023,1,"GERMANY","TOTAL",179247
2023,1,"GREECE","BEV",273
2023,1,"GREECE","PHEV",447
2023,1,"GREECE","HEV",2516
2023,1,"GREECE","OTHERS",240
2023,1,"GREECE","PETROL",4968
2023,1,"GREECE","DIESEL",2088
2023,1,"GREECE","TOTAL",10532
2023,1,"HUNGARY","BEV",369
2023,1,"HUNGARY","PHEV",367
2023,1,"HUNGARY","HEV",3598
2023,1,"HUNGARY","OTHERS",99
2023,1,"HUNGARY","PETROL",3006
2023,1,"HUNGARY","DIESEL",875
2023,1,"HUNGARY","TOTAL",8314
2023,1,"IRELAND","BEV",3675
2023,1,"IRELAND","PHEV",1956
2023,1,"IRELAND","HEV",6197
2023,1,"IRELAND","OTHERS",0
2023,1,"IRELAND","PETROL",9254
2023,1,"IRELAND","DIESEL",6236
2023,1,"IRELAND","TOTAL",27318
2023,1,"ITALY","BEV",3332
2023,1,"ITALY","PHEV",6049
2023,1,"ITALY","HEV",47178
2023,1,"ITALY","OTHERS",13507
2023,1,"ITALY","PETROL",34166
2023,1,"ITALY","DIESEL",24205
2023,1,"ITALY","TOTAL",128437
2023,1,"LATVIA","BEV",183
2023,1,"LATVIA","PHEV",21
2023,1,"LATVIA","HEV",401
2023,1,"LATVIA","OTHERS",40
2023,1,"LATVIA","PETROL",491
2023,1,"LATVIA","DIESEL",239
2023,1,"LATVIA","TOTAL",1375
2023,1,"LITHUANIA","BEV",167
2023,1,"LITHUANIA","PHEV",0
2023,1,"LITHUANIA","HEV",927
2023,1,"LITHUANIA","OTHERS",0
2023,1,"LITHUANIA","PETROL",707
2023,1,"LITHUANIA","DIESEL",235
2023,1,"LITHUANIA","TOTAL",2036
2023,1,"LUXEMBOURG","BEV",674
2023,1,"LUXEMBOURG","PHEV",328
2023,1,"LUXEMBOURG","HEV",684
2023,1,"LUXEMBOURG","OTHERS",0
2023,1,"LUXEMBOURG","PETROL",1247
2023,1,"LUXEMBOURG","DIESEL",793
2023,1,"LUXEMBOURG","TOTAL",3726
2023,1,"MALTA","BEV",56
2023,1,"MALTA","PHEV",93
2023,1,"MALTA","HEV",90
2023,1,"MALTA","OTHERS",1
2023,1,"MALTA","PETROL",141
2023,1,"MALTA","DIESEL",40
2023,1,"MALTA","TOTAL",421
2023,1,"NETHERLANDS","BEV",5082
2023,1,"NETHERLANDS","PHEV",4024
2023,1,"NETHERLANDS","HEV",7779
2023,1,"NETHERLANDS","OTHERS",160
2023,1,"NETHERLANDS","PETROL",15457
2023,1,"NETHERLANDS","DIESEL",343
2023,1,"NETHERLANDS","TOTAL",32845
2023,1,"POLAND","BEV",1077
2023,1,"POLAND","PHEV",689
2023,1,"POLAND","HEV",13444
2023,1,"POLAND","OTHERS",945
2023,1,"POLAND","PETROL",15648
2023,1,"POLAND","DIESEL",3243
2023,1,"POLAND","TOTAL",35046
2023,1,"PORTUGAL","BEV",2258
2023,1,"PORTUGAL","PHEV",1575
2023,1,"PORTUGAL","HEV",2437
2023,1,"PORTUGAL","OTHERS",730
2023,1,"PORTUGAL","PETROL",5220
2023,1,"PORTUGAL","DIESEL",2419
2023,1,"PORTUGAL","TOTAL",14639
2023,1,"ROMANIA","BEV",1073
2023,1,"ROMANIA","PHEV",0
2023,1,"ROMANIA","HEV",3354
2023,1,"ROMANIA","OTHERS",2187
2023,1,"ROMANIA","PETROL",4361
2023,1,"ROMANIA","DIESEL",1291
2023,1,"ROMANIA","TOTAL",12266
2023,1,"SLOVAKIA","BEV",105
2023,1,"SLOVAKIA","PHEV",142
2023,1,"SLOVAKIA","HEV",1751
2023,1,"SLOVAKIA","OTHERS",138
2023,1,"SLOVAKIA","PETROL",3448
2023,1,"SLOVAKIA","DIESEL",1096
2023,1,"SLOVAKIA","TOTAL",6680
2023,1,"SLOVENIA","BEV",316
2023,1,"SLOVENIA","PHEV",88
2023,1,"SLOVENIA","HEV",434
2023,1,"SLOVENIA","OTHERS",63
2023,1,"SLOVENIA","PETROL",2743
2023,1,"SLOVENIA","DIESEL",781
2023,1,"SLOVENIA","TOTAL",4425
2023,1,"SPAIN","BEV",3060
2023,1,"SPAIN","PHEV",4115
2023,1,"SPAIN","HEV",20901
2023,1,"SPAIN","OTHERS",1798
2023,1,"SPAIN","PETROL",25863
2023,1,"SPAIN","DIESEL",8410
2023,1,"SPAIN","TOTAL",64147
2023,1,"SWEDEN","BEV",4202
2023,1,"SWEDEN","PHEV",3401
2023,1,"SWEDEN","HEV",1630
2023,1,"SWEDEN","OTHERS",609
2023,1,"SWEDEN","PETROL",3153
2023,1,"SWEDEN","DIESEL",1606
2023,1,"SWEDEN","TOTAL",14601
2023,1,"EUROPEAN UNION","BEV",71984
2023,1,"EUROPEAN UNION","PHEV",53649
2023,1,"EUROPEAN UNION","HEV",197982
2023,1,"EUROPEAN UNION","OTHERS",27570
2023,1,"EUROPEAN UNION","PETROL",288325
2023,1,"EUROPEAN UNION","DIESEL",120531
2023,1,"EUROPEAN UNION","TOTAL",760041
2023,1,"ICELAND","BEV",196
2023,1,"ICELAND","PHEV",112
2023,1,"ICELAND","HEV",150
2023,1,"ICELAND","OTHERS",1
2023,1,"ICELAND","PETROL",122
2023,1,"ICELAND","DIESEL",151
2023,1,"ICELAND","TOTAL",732
2023,1,"NORWAY","BEV",1237
2023,1,"NORWAY","PHEV",182
2023,1,"NORWAY","HEV",263
2023,1,"NORWAY","OTHERS",0
2023,1,"NORWAY","PETROL",36
2023,1,"NORWAY","DIESEL",142
2023,1,"NORWAY","TOTAL",1860
2023,1,"SWITZERLAND","BEV",2840
2023,1,"SWITZERLAND","PHEV",1387
2023,1,"SWITZERLAND","HEV",4667
2023,1,"SWITZERLAND","OTHERS",10
2023,1,"SWITZERLAND","PETROL",5905
2023,1,"SWITZERLAND","DIESEL",1628
2023,1,"SWITZERLAND","TOTAL",16437
2023,1,"EFTA","BEV",4273
2023,1,"EFTA","PHEV",1681
2023,1,"EFTA","HEV",5080
2023,1,"EFTA","OTHERS",11
2023,1,"EFTA","PETROL",6063
2023,1,"EFTA","DIESEL",1921
2023,1,"EFTA","TOTAL",19029
2023,1,"UNITED KINGDOM","BEV",17294
2023,1,"UNITED KINGDOM","PHEV",9109
2023,1,"UNITED KINGDOM","HEV",41338
2023,1,"UNITED KINGDOM","OTHERS",0
2023,1,"UNITED KINGDOM","PETROL",58973
2023,1,"UNITED KINGDOM","DIESEL",5280
2023,1,"UNITED KINGDOM","TOTAL",131994
2023,1,"EU + EFTA + UK","BEV",93551
2023,1,"EU + EFTA + UK","PHEV",64439
2023,1,"EU + EFTA + UK","HEV",244400
2023,1,"EU + EFTA + UK","OTHERS",27581
2023,1,"EU + EFTA + UK","PETROL",353361
2023,1,"EU + EFTA + UK","DIESEL",127732
2023,1,"EU + EFTA + UK","TOTAL",911064
2023,2,"AUSTRIA","BEV",3415
2023,2,"AUSTRIA","PHEV",1276
2023,2,"AUSTRIA","HEV",3679
2023,2,"AUSTRIA","OTHERS",0
2023,2,"AUSTRIA","PETROL",5929
2023,2,"AUSTRIA","DIESEL",3596
2023,2,"AUSTRIA","TOTAL",17895
2023,2,"BELGIUM","BEV",5624
2023,2,"BELGIUM","PHEV",6878
2023,2,"BELGIUM","HEV",3371
2023,2,"BELGIUM","OTHERS",344
2023,2,"BELGIUM","PETROL",19313
2023,2,"BELGIUM","DIESEL",4353
2023,2,"BELGIUM","TOTAL",39883
2023,2,"BULGARIA","BEV",82
2023,2,"BULGARIA","PHEV",11
2023,2,"BULGARIA","HEV",62
2023,2,"BULGARIA","OTHERS",2
2023,2,"BULGARIA","PETROL",1857
2023,2,"BULGARIA","DIESEL",575
2023,2,"BULGARIA","TOTAL",2589
2023,2,"CROATIA","BEV",154
2023,2,"CROATIA","PHEV",79
2023,2,"CROATIA","HEV",767
2023,2,"CROATIA","OTHERS",139
2023,2,"CROATIA","PETROL",1774
2023,2,"CROATIA","DIESEL",733
2023,2,"CROATIA","TOTAL",3646
2023,2,"CYPRUS","BEV",32
2023,2,"CYPRUS","PHEV",30
2023,2,"CYPRUS","HEV",336
2023,2,"CYPRUS","OTHERS",0
2023,2,"CYPRUS","PETROL",583
2023,2,"CYPRUS","DIESEL",30
2023,2,"CYPRUS","TOTAL",1011
2023,2,"CZECH REPUBLIC","BEV",299
2023,2,"CZECH REPUBLIC","PHEV",370
2023,2,"CZECH REPUBLIC","HEV",2965
2023,2,"CZECH REPUBLIC","OTHERS",361
2023,2,"CZECH REPUBLIC","PETROL",9183
2023,2,"CZECH REPUBLIC","DIESEL",3648
2023,2,"CZECH REPUBLIC","TOTAL",16826
2023,2,"DENMARK","BEV",3148
2023,2,"DENMARK","PHEV",1183
2023,2,"DENMARK","HEV",2309
2023,2,"DENMARK","OTHERS",0
2023,2,"DENMARK","PETROL",4483
2023,2,"DENMARK","DIESEL",474
2023,2,"DENMARK","TOTAL",11597
2023,2,"ESTONIA","BEV",77
2023,2,"ESTONIA","PHEV",25
2023,2,"ESTONIA","HEV",728
2023,2,"ESTONIA","OTHERS",6
2023,2,"ESTONIA","PETROL",541
2023,2,"ESTONIA","DIESEL",220
2023,2,"ESTONIA","TOTAL",1597
2023,2,"FINLAND","BEV",1852
2023,2,"FINLAND","PHEV",1161
2023,2,"FINLAND","HEV",1665
2023,2,"FINLAND","OTHERS",28
2023,2,"FINLAND","PETROL",1102
2023,2,"FINLAND","DIESEL",306
2023,2,"FINLAND","TOTAL",6114
2023,2,"FRANCE","BEV",19595
2023,2,"FRANCE","PHEV",10493
2023,2,"FRANCE","HEV",29142
2023,2,"FRANCE","OTHERS",5171
2023,2,"FRANCE","PETROL",47121
2023,2,"FRANCE","DIESEL",14714
2023,2,"FRANCE","TOTAL",126236
2023,2,"GERMANY","BEV",32475
2023,2,"GERMANY","PHEV",11916
2023,2,"GERMANY","HEV",47064
2023,2,"GERMANY","OTHERS",965
2023,2,"GERMANY","PETROL",75357
2023,2,"GERMANY","DIESEL",38433
2023,2,"GERMANY","TOTAL",206210
2023,2,"GREECE","BEV",395
2023,2,"GREECE","PHEV",497
2023,2,"GREECE","HEV",2832
2023,2,"GREECE","OTHERS",257
2023,2,"GREECE","PETROL",4066
2023,2,"GREECE","DIESEL",1909
2023,2,"GREECE","TOTAL",9956
2023,2,"HUNGARY","BEV",632
2023,2,"HUNGARY","PHEV",566
2023,2,"HUNGARY","HEV",3801
2023,2,"HUNGARY","OTHERS",67
2023,2,"HUNGARY","PETROL",3646
2023,2,"HUNGARY","DIESEL",1035
2023,2,"HUNGARY","TOTAL",9747
2023,2,"IRELAND","BEV",2208
2023,2,"IRELAND","PHEV",1190
2023,2,"IRELAND","HEV",2600
2023,2,"IRELAND","OTHERS",0
2023,2,"IRELAND","PETROL",3928
2023,2,"IRELAND","DIESEL",3194
2023,2,"IRELAND","TOTAL",13120
2023,2,"ITALY","BEV",4859
2023,2,"ITALY","PHEV",5587
2023,2,"ITALY","HEV",47731
2023,2,"ITALY","OTHERS",13409
2023,2,"ITALY","PETROL",34398
2023,2,"ITALY","DIESEL",24303
2023,2,"ITALY","TOTAL",130287
2023,2,"LATVIA","BEV",100
2023,2,"LATVIA","PHEV",19
2023,2,"LATVIA","HEV",370
2023,2,"LATVIA","OTHERS",20
2023,2,"LATVIA","PETROL",624
2023,2,"LATVIA","DIESEL",256
2023,2,"LATVIA","TOTAL",1389
2023,2,"LITHUANIA","BEV",100
2023,2,"LITHUANIA","PHEV",0
2023,2,"LITHUANIA","HEV",716
2023,2,"LITHUANIA","OTHERS",0
2023,2,"LITHUANIA","PETROL",1015
2023,2,"LITHUANIA","DIESEL",178
2023,2,"LITHUANIA","TOTAL",2009
2023,2,"LUXEMBOURG","BEV",795
2023,2,"LUXEMBOURG","PHEV",371
2023,2,"LUXEMBOURG","HEV",790
2023,2,"LUXEMBOURG","OTHERS",0
2023,2,"LUXEMBOURG","PETROL",1440
2023,2,"LUXEMBOURG","DIESEL",781
2023,2,"LUXEMBOURG","TOTAL",4177
2023,2,"MALTA","BEV",65
2023,2,"MALTA","PHEV",98
2023,2,"MALTA","HEV",83
2023,2,"MALTA","OTHERS",1
2023,2,"MALTA","PETROL",172
2023,2,"MALTA","DIESEL",37
2023,2,"MALTA","TOTAL",456
2023,2,"NETHERLANDS","BEV",6892
2023,2,"NETHERLANDS","PHEV",4239
2023,2,"NETHERLANDS","HEV",6603
2023,2,"NETHERLANDS","OTHERS",153
2023,2,"NETHERLANDS","PETROL",9911
2023,2,"NETHERLANDS","DIESEL",330
2023,2,"NETHERLANDS","TOTAL",28128
2023,2,"POLAND","BEV",1105
2023,2,"POLAND","PHEV",991
2023,2,"POLAND","HEV",14414
2023,2,"POLAND","OTHERS",1034
2023,2,"POLAND","PETROL",17457
2023,2,"POLAND","DIESEL",3524
2023,2,"POLAND","TOTAL",38525
2023,2,"PORTUGAL","BEV",2592
2023,2,"PORTUGAL","PHEV",1743
2023,2,"PORTUGAL","HEV",2828
2023,2,"PORTUGAL","OTHERS",550
2023,2,"PORTUGAL","PETROL",5844
2023,2,"PORTUGAL","DIESEL",2523
2023,2,"PORTUGAL","TOTAL",16080
2023,2,"ROMANIA","BEV",1040
2023,2,"ROMANIA","PHEV",0
2023,2,"ROMANIA","HEV",3248
2023,2,"ROMANIA","OTHERS",1804
2023,2,"ROMANIA","PETROL",4957
2023,2,"ROMANIA","DIESEL",1400
2023,2,"ROMANIA","TOTAL",12449
2023,2,"SLOVAKIA","BEV",79
2023,2,"SLOVAKIA","PHEV",142
2023,2,"SLOVAKIA","HEV",1877
2023,2,"SLOVAKIA","OTHERS",171
2023,2,"SLOVAKIA","PETROL",3312
2023,2,"SLOVAKIA","DIESEL",1042
2023,2,"SLOVAKIA","TOTAL",6623
2023,2,"SLOVENIA","BEV",265
2023,2,"SLOVENIA","PHEV",50
2023,2,"SLOVENIA","HEV",516
2023,2,"SLOVENIA","OTHERS",65
2023,2,"SLOVENIA","PETROL",2265
2023,2,"SLOVENIA","DIESEL",609
2023,2,"SLOVENIA","TOTAL",3770
2023,2,"SPAIN","BEV",3297
2023,2,"SPAIN","PHEV",4813
2023,2,"SPAIN","HEV",22617
2023,2,"SPAIN","OTHERS",1740
2023,2,"SPAIN","PETROL",31493
2023,2,"SPAIN","DIESEL",10041
2023,2,"SPAIN","TOTAL",74001
2023,2,"SWEDEN","BEV",6123
2023,2,"SWEDEN","PHEV",3841
2023,2,"SWEDEN","HEV",1769
2023,2,"SWEDEN","OTHERS",608
