"year","month","value"
2020,1,2466
2020,2,3900
2020,3,10160
2020,4,3635
2020,5,11095
2020,6,14954
2020,7,11041
2020,8,11800
2020,9,11329
2020,10,12143
2020,11,21604
2020,12,23804
2021,1,15484
2021,2,18318
2021,3,35478
2021,4,11671
2021,5,21936
2021,6,28138
2021,7,8621
2021,8,12885
2021,9,52153
2021,10,13725
2021,11,31732
2021,12,70602
2022,1,19346
2022,2,23200
2022,3,65754
2022,4,1512
2022,5,9825
2022,6,77938
2022,7,8461
2022,8,34502
2022,9,77613
2022,10,17200
2022,11,62493
2022,12,41926
2023,1,26843
2023,2,33923
2023,3,76663
2023,4,39956
2023,5,42508
2023,6,74212
2023,7,31423
2023,8,64694
2023,9,43507
2023,10,28626
2023,11,65504
2023,12,75805
2024,1,39881
2024,2,30141
2024,3,62398
2024,4,31421
2024,5,55215
2024,6,59261
2024,7,46227
