"year","month","value"
2020,1,2466
2020,2,3900
2020,3,10160
2020,4,3635
2020,5,11095
2020,6,14954
2020,7,11041
2020,8,11800
2020,9,11329
2020,10,12143
2020,11,21604
2020,12,23804
2021,1,15484
2021,2,18318
2021,3,35478
2021,4,25845
2021,5,33463
2021,6,33155
2021,7,32968
2021,8,44264
2021,9,56006
2021,10,54391
2021,11,52859
2021,12,70847
2022,1,59845
2022,2,56515
2022,3,65814
2022,4,1512
2022,5,32165
2022,6,78906
2022,7,28217
2022,8,76965
2022,9,83135
2022,10,71704
2022,11,100291
2022,12,55796
2023,1,66051
2023,2,74402
2023,3,88869
2023,4,75842
2023,5,77695
2023,6,93680
2023,7,64285
2023,8,84159
2023,9,74073
2023,10,72115
2023,11,82432
2023,12,94139
2024,1,71447
2024,2,60365
2024,3,89064
2024,4,62167
2024,5,72573
2024,6,71007
2024,7,74117
2024,8,86697
