"year","month","value"
2020,1,1055
2020,2,161
2020,3,1055
2020,4,1336
2020,5,976
2020,6,916
2020,7,2451
2020,8,2649
2020,9,3478
2020,10,3040
2020,11,4224
2020,12,5700
2021,1,6015
2021,2,2223
2021,3,5102
2021,4,5147
2021,5,5686
2021,6,6565
2021,7,8040
2021,8,7214
2021,9,10412
2021,10,10138
2021,11,15613
2021,12,16000
2022,1,12922
2022,2,6225
2022,3,15414
2022,4,9002
2022,5,10125
2022,6,15295
2022,7,11524
2022,8,9578
2022,9,8468
2022,10,5101
2022,11,5811
2022,12,11292
2023,1,5218
2023,2,6010
2023,3,7002
2023,4,7079
2023,5,7506
2023,6,8620
2023,7,11008
2023,8,13690
2023,9,15310
2023,10,20002
2023,11,20041
2023,12,20115
2024,1,8250
2024,2,4545
2024,3,9026
2024,4,9393
2024,5,10146
2024,6,10668
2024,7,11145
2024,8,14036
