"year","month","region","country","registrations"
2023,1,"USA","USA",53875
2023,2,"USA","USA",60325
2023,3,"USA","USA",58859
2023,4,"USA","USA",56887
2023,5,"USA","USA",56785
2023,6,"USA","USA",59635
2023,7,"USA","USA",58142
2023,8,"USA","USA",58432
2023,9,"USA","USA",51451
2023,10,"USA","USA",50666
2023,11,"USA","USA",51100
2023,12,"USA","USA",56481
2024,1,"USA","USA",53830
2024,2,"USA","USA",54045
2024,3,"USA","USA",50467
2024,4,"USA","USA",47300
2024,5,"USA","USA",51635
2024,6,"USA","USA",54208
2024,7,"USA","USA",53002
2024,8,"USA","USA",53160
2024,10,"USA","USA",53175
2024,11,"USA","USA",51513
2024,12,"USA","USA",57700
2025,1,"USA","USA",48500
2025,2,"USA","USA",43650
2025,3,"USA","USA",44835
2023,1,"EUROPE","AUSTRIA",373
2023,2,"EUROPE","AUSTRIA",853
2023,3,"EUROPE","AUSTRIA",1487
2023,4,"EUROPE","AUSTRIA",410
2023,5,"EUROPE","AUSTRIA",848
2023,6,"EUROPE","AUSTRIA",924
2023,7,"EUROPE","AUSTRIA",366
2023,8,"EUROPE","AUSTRIA",880
2023,9,"EUROPE","AUSTRIA",598
2023,10,"EUROPE","AUSTRIA",339
2023,11,"EUROPE","AUSTRIA",752
2023,12,"EUROPE","AUSTRIA",587
2024,1,"EUROPE","AUSTRIA",391
2024,2,"EUROPE","AUSTRIA",876
2024,3,"EUROPE","AUSTRIA",1239
2024,4,"EUROPE","AUSTRIA",387
2024,5,"EUROPE","AUSTRIA",499
2024,6,"EUROPE","AUSTRIA",1050
2024,7,"EUROPE","AUSTRIA",245
2024,8,"EUROPE","AUSTRIA",398
2024,9,"EUROPE","AUSTRIA",961
2024,10,"EUROPE","AUSTRIA",273
2024,11,"EUROPE","AUSTRIA",440
2024,12,"EUROPE","AUSTRIA",235
2025,1,"EUROPE","AUSTRIA",227
2025,2,"EUROPE","AUSTRIA",262
2025,3,"EUROPE","AUSTRIA",815
2025,4,"EUROPE","AUSTRIA",59
2023,1,"EUROPE","CZECH_REPUBLIC",48
2023,2,"EUROPE","CZECH_REPUBLIC",93
2023,3,"EUROPE","CZECH_REPUBLIC",159
2023,4,"EUROPE","CZECH_REPUBLIC",145
2023,5,"EUROPE","CZECH_REPUBLIC",171
2025,3,"EUROPE","CZECH_REPUBLIC",359
2023,1,"EUROPE","DENMARK",499
2023,2,"EUROPE","DENMARK",1051
2023,3,"EUROPE","DENMARK",3675
2023,4,"EUROPE","DENMARK",932
2023,5,"EUROPE","DENMARK",1431
2023,6,"EUROPE","DENMARK",2827
2023,7,"EUROPE","DENMARK",830
2023,8,"EUROPE","DENMARK",1390
2023,9,"EUROPE","DENMARK",2425
2023,10,"EUROPE","DENMARK",780
2023,11,"EUROPE","DENMARK",2427
2023,12,"EUROPE","DENMARK",4069
2024,1,"EUROPE","DENMARK",763
2024,2,"EUROPE","DENMARK",1071
2024,3,"EUROPE","DENMARK",1724
2024,4,"EUROPE","DENMARK",549
2024,5,"EUROPE","DENMARK",1066
2024,6,"EUROPE","DENMARK",3337
2024,7,"EUROPE","DENMARK",706
2024,8,"EUROPE","DENMARK",813
2024,9,"EUROPE","DENMARK",1853
2024,10,"EUROPE","DENMARK",721
2024,11,"EUROPE","DENMARK",1054
2024,12,"EUROPE","DENMARK",2377
2025,1,"EUROPE","DENMARK",447
2025,2,"EUROPE","DENMARK",509
2025,3,"EUROPE","DENMARK",593
2023,1,"EUROPE","FINLAND",49
2023,2,"EUROPE","FINLAND",382
2023,3,"EUROPE","FINLAND",897
2023,4,"EUROPE","FINLAND",226
2023,5,"EUROPE","FINLAND",532
2023,6,"EUROPE","FINLAND",899
2023,7,"EUROPE","FINLAND",120
2023,8,"EUROPE","FINLAND",573
2023,9,"EUROPE","FINLAND",1202
2023,10,"EUROPE","FINLAND",149
2023,11,"EUROPE","FINLAND",432
2023,12,"EUROPE","FINLAND",677
2024,1,"EUROPE","FINLAND",169
2024,2,"EUROPE","FINLAND",238
2024,3,"EUROPE","FINLAND",487
2024,4,"EUROPE","FINLAND",128
2024,5,"EUROPE","FINLAND",304
2024,6,"EUROPE","FINLAND",479
2024,7,"EUROPE","FINLAND",59
2024,8,"EUROPE","FINLAND",312
2024,9,"EUROPE","FINLAND",456
2024,10,"EUROPE","FINLAND",145
2024,11,"EUROPE","FINLAND",323
2024,12,"EUROPE","FINLAND",617
2025,1,"EUROPE","FINLAND",58
2025,2,"EUROPE","FINLAND",122
2025,3,"EUROPE","FINLAND",295
2023,1,"EUROPE","FRANCE",741
2023,2,"EUROPE","FRANCE",3376
2023,3,"EUROPE","FRANCE",8710
2023,4,"EUROPE","FRANCE",1824
2023,5,"EUROPE","FRANCE",4012
2023,6,"EUROPE","FRANCE",8516
2023,7,"EUROPE","FRANCE",2718
2023,8,"EUROPE","FRANCE",5365
2023,9,"EUROPE","FRANCE",5557
2023,10,"EUROPE","FRANCE",3262
2023,11,"EUROPE","FRANCE",9389
2023,12,"EUROPE","FRANCE",9572
2024,1,"EUROPE","FRANCE",3118
2024,2,"EUROPE","FRANCE",3244
2024,3,"EUROPE","FRANCE",4998
2024,4,"EUROPE","FRANCE",2128
2024,5,"EUROPE","FRANCE",2197
2024,6,"EUROPE","FRANCE",4053
2024,7,"EUROPE","FRANCE",1780
2024,8,"EUROPE","FRANCE",2523
2024,9,"EUROPE","FRANCE",5435
2024,10,"EUROPE","FRANCE",1741
2024,11,"EUROPE","FRANCE",3773
2024,12,"EUROPE","FRANCE",5719
2025,1,"EUROPE","FRANCE",1141
2025,2,"EUROPE","FRANCE",2395
2025,3,"EUROPE","FRANCE",3157
2023,1,"EUROPE","GERMANY",4241
2023,2,"EUROPE","GERMANY",7710
2023,3,"EUROPE","GERMANY",8703
2023,4,"EUROPE","GERMANY",2420
2023,5,"EUROPE","GERMANY",5265
2023,6,"EUROPE","GERMANY",8043
2023,7,"EUROPE","GERMANY",3904
2023,8,"EUROPE","GERMANY",6903
2023,9,"EUROPE","GERMANY",4216
2023,10,"EUROPE","GERMANY",3353
2023,11,"EUROPE","GERMANY",4923
2023,12,"EUROPE","GERMANY",4001
2024,1,"EUROPE","GERMANY",3152
2024,2,"EUROPE","GERMANY",6038
2024,3,"EUROPE","GERMANY",3878
2024,4,"EUROPE","GERMANY",1637
2024,5,"EUROPE","GERMANY",1896
2024,6,"EUROPE","GERMANY",4648
2024,7,"EUROPE","GERMANY",2470
2024,8,"EUROPE","GERMANY",2370
2024,9,"EUROPE","GERMANY",3758
2024,10,"EUROPE","GERMANY",1614
2024,11,"EUROPE","GERMANY",2208
2024,12,"EUROPE","GERMANY",3905
2025,1,"EUROPE","GERMANY",1277
2025,2,"EUROPE","GERMANY",1429
2025,3,"EUROPE","GERMANY",2229
2023,1,"EUROPE","ICELAND",5
2023,2,"EUROPE","ICELAND",172
2023,3,"EUROPE","ICELAND",443
2023,4,"EUROPE","ICELAND",91
2023,5,"EUROPE","ICELAND",369
2023,6,"EUROPE","ICELAND",425
2023,7,"EUROPE","ICELAND",79
2023,8,"EUROPE","ICELAND",285
2023,9,"EUROPE","ICELAND",328
2023,10,"EUROPE","ICELAND",176
2023,11,"EUROPE","ICELAND",627
2023,12,"EUROPE","ICELAND",547
2024,1,"EUROPE","ICELAND",12
2024,2,"EUROPE","ICELAND",24
2024,3,"EUROPE","ICELAND",51
2024,4,"EUROPE","ICELAND",23
2024,5,"EUROPE","ICELAND",36
2024,6,"EUROPE","ICELAND",78
2024,7,"EUROPE","ICELAND",29
2024,8,"EUROPE","ICELAND",43
2024,9,"EUROPE","ICELAND",53
2024,10,"EUROPE","ICELAND",74
2024,11,"EUROPE","ICELAND",53
2024,12,"EUROPE","ICELAND",87
2025,1,"EUROPE","ICELAND",41
2025,2,"EUROPE","ICELAND",41
2025,3,"EUROPE","ICELAND",241
2023,1,"EUROPE","IRELAND",1
2023,2,"EUROPE","IRELAND",1
2023,3,"EUROPE","IRELAND",676
2023,4,"EUROPE","IRELAND",224
2023,5,"EUROPE","IRELAND",232
2023,6,"EUROPE","IRELAND",1035
2023,7,"EUROPE","IRELAND",41
2023,8,"EUROPE","IRELAND",352
2023,9,"EUROPE","IRELAND",402
2023,10,"EUROPE","IRELAND",118
2023,11,"EUROPE","IRELAND",152
2023,12,"EUROPE","IRELAND",137
2024,1,"EUROPE","IRELAND",66
2024,2,"EUROPE","IRELAND",346
2024,3,"EUROPE","IRELAND",418
2024,4,"EUROPE","IRELAND",18
2024,5,"EUROPE","IRELAND",237
2024,6,"EUROPE","IRELAND",511
2024,7,"EUROPE","IRELAND",203
2024,8,"EUROPE","IRELAND",365
2024,9,"EUROPE","IRELAND",254
2024,10,"EUROPE","IRELAND",38
2024,11,"EUROPE","IRELAND",233
2024,12,"EUROPE","IRELAND",237
2025,1,"EUROPE","IRELAND",143
2025,2,"EUROPE","IRELAND",396
2025,3,"EUROPE","IRELAND",333
2023,1,"EUROPE","ITALY",326
2023,2,"EUROPE","ITALY",1313
2023,3,"EUROPE","ITALY",2911
2023,4,"EUROPE","ITALY",740
2023,5,"EUROPE","ITALY",1477
2023,6,"EUROPE","ITALY",1751
2023,7,"EUROPE","ITALY",478
2023,8,"EUROPE","ITALY",2129
2023,9,"EUROPE","ITALY",906
2023,10,"EUROPE","ITALY",908
2023,11,"EUROPE","ITALY",2710
2023,12,"EUROPE","ITALY",983
2024,1,"EUROPE","ITALY",404
2024,2,"EUROPE","ITALY",1851
2024,3,"EUROPE","ITALY",1465
2024,4,"EUROPE","ITALY",345
2024,5,"EUROPE","ITALY",1073
2024,6,"EUROPE","ITALY",4993
2024,7,"EUROPE","ITALY",474
2024,8,"EUROPE","ITALY",435
2024,9,"EUROPE","ITALY",1949
2024,10,"EUROPE","ITALY",484
2024,11,"EUROPE","ITALY",808
2024,12,"EUROPE","ITALY",1360
2025,1,"EUROPE","ITALY",408
2025,2,"EUROPE","ITALY",843
2025,3,"EUROPE","ITALY",2217
2023,1,"EUROPE","NETHERLANDS",591
2023,2,"EUROPE","NETHERLANDS",725
2023,3,"EUROPE","NETHERLANDS",3160
2023,4,"EUROPE","NETHERLANDS",767
2023,5,"EUROPE","NETHERLANDS",1267
2023,6,"EUROPE","NETHERLANDS",2717
2023,7,"EUROPE","NETHERLANDS",757
2023,8,"EUROPE","NETHERLANDS",1992
2023,9,"EUROPE","NETHERLANDS",1872
2023,10,"EUROPE","NETHERLANDS",1083
2023,11,"EUROPE","NETHERLANDS",2112
2023,12,"EUROPE","NETHERLANDS",2385
2024,1,"EUROPE","NETHERLANDS",1610
2024,2,"EUROPE","NETHERLANDS",1287
2024,3,"EUROPE","NETHERLANDS",3957
2024,4,"EUROPE","NETHERLANDS",1462
2024,5,"EUROPE","NETHERLANDS",1660
2024,6,"EUROPE","NETHERLANDS",3471
2024,7,"EUROPE","NETHERLANDS",1180
2024,8,"EUROPE","NETHERLANDS",1547
2024,9,"EUROPE","NETHERLANDS",3884
2024,10,"EUROPE","NETHERLANDS",1238
2024,11,"EUROPE","NETHERLANDS",2881
