"year","month","brand","registrations"
2023,1,"TESLA",3313
2023,2,"TESLA",3516
2023,3,"TESLA",3578
2023,4,"TESLA",3676
2023,5,"TESLA",4476
2023,6,"TESLA",7018
2023,7,"TESLA",3934
2023,8,"TESLA",3309
2023,9,"TESLA",5177
2023,10,"TESLA",1988
2023,11,"TESLA",3939
2023,12,"TESLA",2192
2024,1,"POLESTAR",151
2024,1,"TESLA",1107
2024,2,"POLESTAR",113
2024,2,"TESLA",5665
2024,3,"POLESTAR",84
2024,3,"TESLA",6017
2024,4,"POLESTAR",100
2024,4,"TESLA",2077
2024,5,"POLESTAR",146
2024,5,"TESLA",3567
2024,6,"POLESTAR",356
2024,6,"TESLA",4683
2024,7,"POLESTAR",103
2024,7,"TESLA",2592
2024,8,"POLESTAR",65
2024,8,"TESLA",2393
2024,9,"POLESTAR",212
2024,9,"TESLA",2649
2024,10,"POLESTAR",130
2024,10,"TESLA",1464
2024,11,"POLESTAR",76
2024,11,"TESLA",2540
