"year","month","brand","registrations","market_share"
2023,1,"ALFA-ROMEO",143,0.8
2023,1,"ASTON MARTIN",3,0
2023,1,"AUDI",1249,6.6
2023,1,"BENTLEY",1,0
2023,1,"BMW",1251,6.6
2023,1,"BYD",13,0.1
2023,1,"CHEVROLET",1,0
2023,1,"CHRYSLER",1,0
2023,1,"CITROEN",316,1.7
2023,1,"CUPRA",538,2.9
2023,1,"DACIA",645,3.4
2023,1,"DFSK",2,0
2023,1,"DS",23,0.1
2023,1,"FERRARI",4,0
2023,1,"FIAT",255,1.4
2023,1,"FORD",722,3.8
2023,1,"HONDA",39,0.2
2023,1,"HYUNDAI",430,2.3
2023,1,"JAGUAR",27,0.1
2023,1,"JEEP",67,0.4
2023,1,"KIA",604,3.2
2023,1,"LAMBORGHINI",2,0
2023,1,"LAND ROVER",79,0.4
2023,1,"LEXUS",19,0.1
2023,1,"MAN",2,0
2023,1,"MASERATI",6,0
2023,1,"MAZDA",412,2.2
2023,1,"MERCEDES",980,5.2
2023,1,"MG",216,1.1
2023,1,"MINI",117,0.6
2023,1,"MITSUBISHI",122,0.6
2023,1,"NISSAN",181,1
2023,1,"OPEL",366,1.9
2023,1,"PEUGEOT",474,2.5
2023,1,"POLESTAR",52,0.3
2023,1,"PORSCHE",134,0.7
2023,1,"RENAULT",599,3.2
2023,1,"SEAT",1742,9.2
2023,1,"SKODA",2012,10.7
2023,1,"SMART",3,0
2023,1,"SUBARU",26,0.1
2023,1,"SUZUKI",303,1.6
2023,1,"TESLA",373,2
2023,1,"TOYOTA",881,4.7
2023,1,"VOLVO",276,1.5
2023,1,"VW",3139,16.7
2023,2,"ALFA-ROMEO",106,0.6
2023,2,"AUDI",1195,6.7
2023,2,"BENTLEY",2,0
2023,2,"BMW",1132,6.3
2023,2,"BYD",17,0.1
2023,2,"CATERHAM CARS",1,0
2023,2,"CHRYSLER",2,0
2023,2,"CITROEN",355,2
2023,2,"CUPRA",485,2.7
2023,2,"DACIA",909,5.1
2023,2,"DS",22,0.1
2023,2,"FERRARI",3,0
2023,2,"FIAT",418,2.3
2023,2,"FORD",781,4.4
2023,2,"HONDA",59,0.3
2023,2,"HYUNDAI",492,2.7
2023,2,"JAGUAR",26,0.1
2023,2,"JEEP",59,0.3
2023,2,"KIA",665,3.7
2023,2,"KTM",1,0
2023,2,"LAMBORGHINI",2,0
2023,2,"LAND ROVER",67,0.4
2023,2,"LEXUS",11,0.1
2023,2,"MAN",2,0
2023,2,"MAZDA",453,2.5
2023,2,"MERCEDES",1071,6
2023,2,"MG",166,0.9
2023,2,"MINI",154,0.9
2023,2,"MITSUBISHI",159,0.9
2023,2,"NISSAN",174,1
2023,2,"OPEL",448,2.5
2023,2,"PEUGEOT",348,1.9
2023,2,"POLESTAR",35,0.2
2023,2,"PORSCHE",90,0.5
2023,2,"RENAULT",744,4.2
2023,2,"SEAT",845,4.7
2023,2,"SKODA",1666,9.3
2023,2,"SMART",5,0
2023,2,"SSANG-YONG",2,0
2023,2,"SUBARU",31,0.2
2023,2,"SUZUKI",301,1.7
2023,2,"TESLA",853,4.8
2023,2,"TOYOTA",773,4.3
2023,2,"VOLVO",299,1.7
2023,2,"VW",2466,13.8
2023,3,"ALFA-ROMEO",164,0.6
2023,3,"ASTON MARTIN",8,0
2023,3,"AUDI",1769,6.7
2023,3,"BENTLEY",4,0
2023,3,"BMW",1703,6.5
2023,3,"BYD",46,0.2
2023,3,"CHEVROLET",3,0
2023,3,"CHRYSLER",4,0
2023,3,"CITROEN",454,1.7
2023,3,"CUPRA",694,2.6
2023,3,"DACIA",1088,4.1
2023,3,"DALLARA",1,0
2023,3,"DFSK",1,0
2023,3,"DS",21,0.1
2023,3,"FERRARI",35,0.1
2023,3,"FIAT",433,1.6
2023,3,"FORD",1251,4.8
2023,3,"HONDA",116,0.4
2023,3,"HONG QI",1,0
2023,3,"HYUNDAI",993,3.8
2023,3,"JAGUAR",45,0.2
2023,3,"JEEP",72,0.3
2023,3,"KIA",905,3.4
2023,3,"LAMBORGHINI",4,0
2023,3,"LAND ROVER",190,0.7
2023,3,"LEXUS",34,0.1
2023,3,"LOTUS",2,0
2023,3,"MASERATI",7,0
2023,3,"MAZDA",793,3
2023,3,"MCLAREN",8,0
2023,3,"MERCEDES",1478,5.6
2023,3,"MG",297,1.1
2023,3,"MINI",269,1
2023,3,"MITSUBISHI",149,0.6
2023,3,"NISSAN",182,0.7
2023,3,"OPEL",637,2.4
2023,3,"PEUGEOT",594,2.3
2023,3,"POLESTAR",30,0.1
2023,3,"PORSCHE",239,0.9
2023,3,"RENAULT",1017,3.9
2023,3,"SEAT",1226,4.7
2023,3,"SKODA",2692,10.2
2023,3,"SMART",5,0
2023,3,"SSANG-YONG",1,0
2023,3,"SUBARU",27,0.1
2023,3,"SUZUKI",361,1.4
2023,3,"TESLA",1487,5.7
2023,3,"TOYOTA",941,3.6
2023,3,"VOLVO",322,1.2
2023,3,"VW",3504,13.3
2023,4,"ALFA-ROMEO",106,0.6
2023,4,"ASTON MARTIN",3,0
2023,4,"AUDI",1228,6.6
2023,4,"BAIC",2,0
2023,4,"BENTLEY",2,0
2023,4,"BMW",1363,7.4
2023,4,"BYD",92,0.5
2023,4,"CHEVROLET",2,0
2023,4,"CITROEN",361,2
2023,4,"CUPRA",583,3.2
2023,4,"DACIA",712,3.8
2023,4,"DS",17,0.1
2023,4,"FERRARI",8,0
2023,4,"FIAT",301,1.6
2023,4,"FORD",915,4.9
2023,4,"HONDA",33,0.2
2023,4,"HYUNDAI",852,4.6
2023,4,"JAGUAR",26,0.1
2023,4,"JEEP",85,0.5
2023,4,"KIA",843,4.6
2023,4,"KTM",1,0
2023,4,"LAMBORGHINI",2,0
2023,4,"LAND ROVER",88,0.5
2023,4,"LEXUS",36,0.2
2023,4,"MASERATI",3,0
2023,4,"MAZDA",578,3.1
2023,4,"MCLAREN",5,0
2023,4,"MERCEDES",852,4.6
2023,4,"MG",216,1.2
2023,4,"MINI",135,0.7
2023,4,"MITSUBISHI",195,1.1
2023,4,"NISSAN",194,1
2023,4,"OPEL",308,1.7
2023,4,"PEUGEOT",424,2.3
2023,4,"POLESTAR",75,0.4
2023,4,"PORSCHE",164,0.9
2023,4,"RENAULT",680,3.7
2023,4,"SEAT",827,4.5
2023,4,"SKODA",1650,8.9
2023,4,"SKYWELL",2,0
2023,4,"SMART",6,0
2023,4,"SUBARU",33,0.2
2023,4,"SUZUKI",349,1.9
2023,4,"TESLA",410,2.2
2023,4,"TOYOTA",753,4.1
2023,4,"VOLVO",205,1.1
2023,4,"VW",2779,15
2023,5,"ALFA-ROMEO",66,0.3
2023,5,"ASTON MARTIN",5,0
2023,5,"AUDI",1491,7.2
2023,5,"BENTLEY",5,0
2023,5,"BMW",1650,8
2023,5,"BYD",60,0.3
2023,5,"CHEVROLET",3,0
2023,5,"CITROEN",277,1.3
2023,5,"CUPRA",793,3.8
2023,5,"DACIA",651,3.2
2023,5,"DFSK",3,0
2023,5,"DS",21,0.1
2023,5,"FERRARI",8,0
2023,5,"FIAT",296,1.4
2023,5,"FORD",753,3.7
2023,5,"HONDA",57,0.3
2023,5,"HYUNDAI",582,2.8
2023,5,"INEOS",8,0
2023,5,"JAGUAR",40,0.2
2023,5,"JEEP",71,0.3
2023,5,"KIA",818,4
2023,5,"KTM",1,0
2023,5,"LAMBORGHINI",3,0
2023,5,"LAND ROVER",94,0.5
2023,5,"LEXUS",18,0.1
2023,5,"LOTUS",1,0
2023,5,"MAN",1,0
2023,5,"MASERATI",9,0
2023,5,"MAZDA",448,2.2
2023,5,"MCLAREN",4,0
2023,5,"MERCEDES",842,4.1
2023,5,"MG",249,1.2
2023,5,"MINI",213,1
2023,5,"MITSUBISHI",254,1.2
2023,5,"NISSAN",166,0.8
2023,5,"OPEL",545,2.6
2023,5,"PEUGEOT",371,1.8
2023,5,"POLESTAR",78,0.4
2023,5,"PORSCHE",146,0.7
2023,5,"RENAULT",761,3.7
2023,5,"SEAT",1185,5.7
2023,5,"SKODA",2088,10.1
2023,5,"SKYWELL",3,0
2023,5,"SMART",3,0
2023,5,"SSANG-YONG",1,0
2023,5,"SUBARU",47,0.2
2023,5,"SUZUKI",324,1.6
2023,5,"TESLA",848,4.1
2023,5,"TOYOTA",939,4.6
2023,5,"VOLVO",216,1
2023,5,"VW",3107,15.1
2023,6,"ALFA-ROMEO",66,0.3
2023,6,"ASTON MARTIN",2,0
2023,6,"AUDI",1823,7.4
2023,6,"BENTLEY",3,0
2023,6,"BMW",1507,6.1
2023,6,"BYD",84,0.3
2023,6,"CHEVROLET",2,0
2023,6,"CHRYSLER",3,0
2023,6,"CITROEN",521,2.1
2023,6,"CUPRA",682,2.8
2023,6,"DACIA",745,3
2023,6,"DS",26,0.1
2023,6,"FERRARI",13,0.1
2023,6,"FIAT",514,2.1
2023,6,"FISKER",5,0
2023,6,"FORD",723,2.9
2023,6,"HONDA",50,0.2
2023,6,"HYUNDAI",1379,5.6
2023,6,"INEOS",1,0
2023,6,"JAGUAR",41,0.2
2023,6,"JEEP",112,0.5
2023,6,"KIA",993,4.1
2023,6,"LAMBORGHINI",2,0
2023,6,"LAND ROVER",92,0.4
2023,6,"LEXUS",24,0.1
2023,6,"LOTUS",1,0
2023,6,"MAN",1,0
2023,6,"MASERATI",4,0
2023,6,"MAZDA",762,3.1
2023,6,"MCLAREN",6,0
2023,6,"MERCEDES",1068,4.4
2023,6,"MG",203,0.8
2023,6,"MINI",161,0.7
2023,6,"MITSUBISHI",237,1
2023,6,"NISSAN",280,1.1
2023,6,"OPEL",767,3.1
2023,6,"PEUGEOT",568,2.3
2023,6,"POLESTAR",89,0.4
2023,6,"PORSCHE",165,0.7
2023,6,"RENAULT",995,4.1
2023,6,"SEAT",1288,5.3
2023,6,"SKODA",2320,9.5
2023,6,"SKYWELL",1,0
2023,6,"SMART",8,0
2023,6,"SSANG-YONG",1,0
2023,6,"SUBARU",37,0.2
2023,6,"SUZUKI",382,1.6
2023,6,"TESLA",924,3.8
2023,6,"TOYOTA",949,3.9
2023,6,"VOLVO",239,1
2023,6,"VW",3642,14.9
2023,7,"ALFA-ROMEO",55,0.3
2023,7,"ASTON MARTIN",1,0
2023,7,"AUDI",1218,6.9
2023,7,"BAIC",2,0
2023,7,"BENTLEY",1,0
2023,7,"BMW",1338,7.6
2023,7,"BYD",52,0.3
2023,7,"CHEVROLET",2,0
2023,7,"CITROEN",205,1.2
2023,7,"CUPRA",666,3.8
2023,7,"DACIA",664,3.8
2023,7,"DS",13,0.1
2023,7,"FERRARI",6,0
2023,7,"FIAT",266,1.5
2023,7,"FISKER",18,0.1
2023,7,"FORD",522,3
2023,7,"HONDA",82,0.5
2023,7,"HYUNDAI",561,3.2
2023,7,"INEOS",1,0
2023,7,"JAGUAR",40,0.2
2023,7,"JEEP",94,0.5
2023,7,"KIA",644,3.7
2023,7,"LAMBORGHINI",1,0
2023,7,"LAND ROVER",116,0.7
2023,7,"LEXUS",20,0.1
2023,7,"LOTUS",1,0
2023,7,"MASERATI",1,0
