"year","month","model","ytd_registrations","ytd_market_share"
2023,1,"TESLA_MODEL_Y",275,10
2023,1,"CUPRA_BORN",253,9.2
2023,1,"AUDI_Q4",170,6.2
2023,1,"SKODA_ENYAQ",133,4.8
2023,1,"VW_ID.4",133,4.8
2023,1,"BMW_X3",115,4.2
2023,1,"VW_ID.BUZZ",103,3.8
2023,1,"BMW_X1",84,3.1
2023,1,"HYUNDAI_IONIQ_5",81,3
2023,1,"FORD_MUSTANG_MACH-E",77,2.8
2023,1,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",1321,48.1
2023,2,"TESLA_MODEL_Y",902,14.6
2023,2,"CUPRA_BORN",475,7.7
2023,2,"SKODA_ENYAQ",369,6
2023,2,"AUDI_Q4",356,5.8
2023,2,"VW_ID.4",303,4.9
2023,2,"TESLA_MODEL_3",259,4.2
2023,2,"BMW_X3",206,3.3
2023,2,"FIAT_500",189,3.1
2023,2,"BMW_X1",160,2.6
2023,2,"VW_ID.BUZZ",151,2.5
2023,2,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",2790,45.3
2023,3,"TESLA_MODEL_Y",2064,18.4
2023,3,"CUPRA_BORN",751,6.7
2023,3,"SKODA_ENYAQ",610,5.4
2023,3,"AUDI_Q4",541,4.8
2023,3,"VW_ID.4",536,4.8
2023,3,"TESLA_MODEL_3",493,4.4
2023,3,"FIAT_500",307,2.7
2023,3,"RENAULT_MEGANE",304,2.7
2023,3,"VW_ID.3",295,2.6
2023,3,"BMW_X1",288,2.6
2023,3,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",5046,44.9
2023,4,"TESLA_MODEL_Y",2410,16.5
2023,4,"CUPRA_BORN",1005,6.9
2023,4,"SKODA_ENYAQ",830,5.7
2023,4,"VW_ID.4",769,5.3
2023,4,"AUDI_Q4",747,5.1
2023,4,"TESLA_MODEL_3",530,3.6
2023,4,"VW_ID.3",424,2.9
2023,4,"BMW_X1",420,2.9
2023,4,"RENAULT_MEGANE",418,2.9
2023,4,"FIAT_500",390,2.7
2023,4,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",6687,45.7
2023,5,"TESLA_MODEL_Y",3048,16.2
2023,5,"CUPRA_BORN",1249,6.7
2023,5,"SKODA_ENYAQ",1091,5.8
2023,5,"AUDI_Q4",1068,5.7
2023,5,"VW_ID.4",1011,5.4
2023,5,"TESLA_MODEL_3",679,3.6
2023,5,"BMW_X1",606,3.2
2023,5,"VW_ID.3",545,2.9
2023,5,"BMW_I4",535,2.9
2023,5,"FIAT_500",510,2.7
2023,5,"SONSTIGE_PKW_MIT_ELEKTROANTRIEB",8418,44.9
2023,6,"TESLA_MODEL_Y",3749,16
2023,6,"SKODA_ENYAQ",1467,6.3
