"year","month","brand","registrations","market_share"
2023,1,"BMW",4149,10.41
2023,1,"MERCEDES",3584,8.99
2023,1,"VOLKSWAGEN",3274,8.22
2023,1,"PEUGEOT",3090,7.75
2023,1,"TOYOTA",2655,6.66
2023,1,"AUDI",2632,6.61
2023,1,"VOLVO",1937,4.86
2023,1,"RENAULT",1718,4.31
2023,1,"SKODA",1553,3.9
2023,1,"FORD",1481,3.72
2023,1,"KIA",1442,3.62
2023,1,"DACIA",1387,3.48
2023,1,"OPEL",1315,3.3
2023,1,"HYUNDAI",1200,3.01
2023,1,"CITROEN",1030,2.58
2023,1,"NISSAN",815,2.05
2023,1,"SEAT",683,1.71
2023,1,"FIAT",674,1.69
2023,1,"MINI",641,1.61
2023,1,"TESLA",609,1.53
2023,1,"PORSCHE",599,1.5
2023,1,"MAZDA",568,1.43
2023,1,"LAND_ROVER",531,1.33
2023,1,"JEEP",314,0.79
2023,1,"SUZUKI",303,0.76
2023,1,"LYNK_&_CO",261,0.66
2023,1,"DS",164,0.41
2023,1,"MG",162,0.41
2023,1,"CUPRA",157,0.39
2023,1,"POLESTAR",138,0.35
2023,1,"ALFA_ROMEO",135,0.34
2023,1,"HONDA",135,0.34
2023,1,"SSANGYONG",111,0.28
2023,1,"LEXUS",88,0.22
2023,1,"SUBARU",71,0.18
2023,1,"JAGUAR",68,0.17
2023,1,"BENTLEY",26,0.07
2023,1,"BYD",25,0.06
2023,1,"MASERATI",20,0.05
2023,1,"DFSK",17,0.04
2023,1,"ALPINE",16,0.04
2023,1,"FERRARI",12,0.03
2023,1,"AIWAYS",9,0.02
2023,1,"SMART",9,0.02
2023,1,"ASTON_MARTIN",6,0.02
2023,1,"BAIC",5,0.01
2023,1,"LAMBORGHINI",5,0.01
2023,1,"TRIPOD",5,0.01
2023,1,"CHEVROLET",4,0.01
2023,1,"ALLIED_VEHICLES_LTD",3,0.01
2023,1,"AMF",2,0.01
2023,1,"API",2,0.01
2023,1,"FAW",2,0.01
2023,1,"MAN",2,0.01
2023,1,"LOTUS",1,0
2023,1,"MAXUS",1,0
2023,1,"MORGAN",1,0
2023,2,"VOLKSWAGEN",3673,9.21
2023,2,"BMW",3650,9.15
2023,2,"PEUGEOT",2938,7.37
2023,2,"AUDI",2797,7.01
2023,2,"MERCEDES",2694,6.75
2023,2,"TOYOTA",2296,5.76
2023,2,"RENAULT",2015,5.05
2023,2,"VOLVO",1946,4.88
2023,2,"SKODA",1760,4.41
2023,2,"OPEL",1708,4.28
2023,2,"DACIA",1621,4.06
2023,2,"CITROEN",1582,3.97
2023,2,"FORD",1563,3.92
2023,2,"KIA",1464,3.67
2023,2,"HYUNDAI",1096,2.75
2023,2,"NISSAN",889,2.23
2023,2,"SEAT",849,2.13
2023,2,"TESLA",812,2.04
2023,2,"LAND_ROVER",548,1.37
2023,2,"MINI",522,1.31
2023,2,"MAZDA",464,1.16
2023,2,"FIAT",429,1.08
2023,2,"SUZUKI",407,1.02
