"year","month","brand","registrations","market_share"
2023,1,"ADRIA",17,0.1
2023,1,"ALFA ROMEO",20,0.12
2023,1,"ALPINA",3,0.02
2023,1,"ALPINE",0,0
2023,1,"ASTON MARTIN",2,0.01
2023,1,"AUDI",368,2.15
2023,1,"BENTLEY",1,0.01
2023,1,"BMW",488,2.85
2023,1,"CADILLAC",1,0.01
2023,1,"CARTHAGO",7,0.04
2023,1,"CITROËN",180,1.05
2023,1,"CUPRA",100,0.58
2023,1,"DACIA",772,4.5
2023,1,"DFSK",6,0.04
2023,1,"DODGE",3,0.02
2023,1,"DS",20,0.12
2023,1,"ETRUSCO",0,0
2023,1,"FERRARI",9,0.05
2023,1,"FIAT",46,0.27
2023,1,"FORD",471,2.75
2023,1,"HONDA",57,0.33
2023,1,"HYUNDAI",1489,8.690000000000001
2023,1,"CHEVROLET",4,0.02
2023,1,"CHRYSLER",0,0
2023,1,"IVECO",0,0
2023,1,"JAGUAR",15,0.09
2023,1,"JEEP",24,0.13999999999999999
2023,1,"KIA",780,4.55
2023,1,"LADA",6,0.04
2023,1,"LAMBORGHINI",4,0.02
2023,1,"LAND ROVER",58,0.33999999999999997
2023,1,"LEXUS",129,0.75
2023,1,"MASERATI",6,0.04
2023,1,"MAZDA",157,0.9199999999999999
2023,1,"MERCEDES-BENZ",836,4.88
2023,1,"MG",41,0.24
2023,1,"MINI",38,0.22
2023,1,"MITSUBISHI",18,0.11
2023,1,"NISSAN",31,0.18
2023,1,"OPEL",261,1.52
2023,1,"PEUGEOT",372,2.17
2023,1,"PORSCHE",59,0.33999999999999997
2023,1,"RENAULT",383,2.23
2023,1,"RENAULT TRUCKS",0,0
2023,1,"ROLLS ROYCE",2,0.01
2023,1,"SEAT",245,1.43
2023,1,"SMART",1,0.01
2023,1,"SSANGYONG",219,1.28
2023,1,"SUBARU",53,0.31
2023,1,"SUZUKI",192,1.1199999999999999
2023,1,"ŠKODA",5904,34.449999999999996
2023,1,"TESLA",48,0.27999999999999997
2023,1,"TOYOTA",1371,8
2023,1,"VOLKSWAGEN",1492,8.709999999999999
2023,1,"VOLVO",276,1.6099999999999999
2023,1,"WESTFALIA",0,0
2023,2,"ADRIA",19,0.11
2023,2,"ALFA ROMEO",18,0.11
2023,2,"ALPINA",1,0.01
2023,2,"ALPINE",1,0.01
2023,2,"ASTON MARTIN",1,0.01
2023,2,"AUDI",372,2.21
2023,2,"BENTLEY",8,0.05
2023,2,"BLUCAMP",0,0
2023,2,"BMW",412,2.45
2023,2,"BRAVIA",0,0
2023,2,"CADILLAC",0,0
2023,2,"CAPRON",4,0.02
2023,2,"CARTHAGO",2,0.01
2023,2,"CI",2,0.01
2023,2,"CITROËN",180,1.0699999999999998
2023,2,"CUPRA",109,0.65
2023,2,"DACIA",756,4.49
2023,2,"DETHLEFFS",6,0.04
2023,2,"DFSK",1,0.01
2023,2,"DODGE",8,0.05
2023,2,"DS",29,0.16999999999999998
2023,2,"ELNAGH",0,0
2023,2,"ETRUSCO",6,0.04
2023,2,"EURA MOBIL",2,0.01
2023,2,"FERRARI",2,0.01
2023,2,"FIAT",28,0.16999999999999998
2023,2,"FORD",478,2.8400000000000003
2023,2,"FORSTER",0,0
2023,2,"FORTHING",0,0
2023,2,"HOBBY",2,0.01
2023,2,"HONDA",65,0.38999999999999996
2023,2,"HYMER",4,0.02
2023,2,"HYUNDAI",1517,9.02
2023,2,"CHEVROLET",2,0.01
2023,2,"CHRYSLER",0,0
2023,2,"INEOS",0,0
2023,2,"IVECO",0,0
2023,2,"JAGUAR",7,0.04
2023,2,"JEEP",17,0.1
2023,2,"KIA",788,4.68
2023,2,"KNAUS",2,0.01
2023,2,"KTM",0,0
2023,2,"LADA",7,0.04
2023,2,"LAIKA",2,0.01
2023,2,"LAMBORGHINI",6,0.04
2023,2,"LAND ROVER",47,0.27999999999999997
2023,2,"LEXUS",92,0.5499999999999999
2023,2,"MASERATI",1,0.01
2023,2,"MAZDA",159,0.9400000000000001
2023,2,"MCLOUIS",6,0.04
2023,2,"MERCEDES-BENZ",780,4.64
2023,2,"MG",144,0.86
2023,2,"MINI",36,0.21
2023,2,"MITSUBISHI",15,0.09
2023,2,"MOBILVETTA",2,0.01
2023,2,"NIO",0,0
2023,2,"NISSAN",32,0.19
2023,2,"OPEL",233,1.38
2023,2,"PEUGEOT",413,2.45
2023,2,"PORSCHE",53,0.31
2023,2,"RENAULT",296,1.76
2023,2,"RENAULT TRUCKS",0,0
2023,2,"RIMOR",3,0.02
2023,2,"ROLLER TEAM",5,0.03
2023,2,"ROLLS ROYCE",0,0
2023,2,"SEAT",209,1.24
2023,2,"SMART",0,0
2023,2,"SSANGYONG",280,1.66
2023,2,"SUBARU",42,0.25
2023,2,"SUN LIVING",0,0
2023,2,"SUZUKI",220,1.31
2023,2,"ŠKODA",5811,34.54
2023,2,"TESLA",93,0.5499999999999999
2023,2,"TOYOTA",1565,9.3
2023,2,"VOLKSWAGEN",1221,7.26
2023,2,"VOLVO",178,1.06
2023,2,"WEINSBERG",2,0.01
2023,2,"WESTFALIA",1,0.01
2023,2,"XGO",0,0
2023,3,"ADRIA",27,0.12
2023,3,"ALFA ROMEO",35,0.16
2023,3,"ALPINA",2,0.01
2023,3,"ALPINE",1,0
2023,3,"ASTON MARTIN",3,0.01
2023,3,"AUDI",480,2.1399999999999997
