"year","month","brand","registrations","market_share"
2023,1,"TOYOTA",1564,22.077922078
2023,1,"VOLVO",650,9.1756070017
2023,1,"VOLKSWAGEN",621,8.7662337662
2023,1,"SKODA",607,8.5686053077
2023,1,"MERCEDES-BENZ",533,7.5239977414
2023,1,"KIA",500,7.0581592321
2023,1,"BMW",404,5.7029926595
2023,1,"AUDI",323,4.5595708639
2023,1,"NISSAN",282,3.9808018069
2023,1,"FORD",202,2.8514963298
2023,1,"HYUNDAI",201,2.8373800113
2023,1,"OPEL",125,1.764539808
2023,1,"CITROEN",124,1.7504234896
2023,1,"PEUGEOT",118,1.6657255788
2023,1,"POLESTAR",118,1.6657255788
2023,1,"SUZUKI",106,1.4963297572
2023,1,"MAZDA",96,1.3551665726
2023,1,"DACIA",80,1.1293054771
2023,1,"RENAULT",74,1.0446075663
2023,1,"MITSUBISHI",64,0.9034443817
2023,1,"TESLA MOTORS",49,0.6916996047
2023,1,"LEXUS",35,0.4940711462
2023,1,"HONDA",33,0.4658385093
2023,1,"CUPRA",30,0.4234895539
2023,1,"PORSCHE",29,0.4093732355
2023,1,"SUBARU",28,0.395256917
2023,1,"SEAT",21,0.2964426877
2023,1,"LAND ROVER",19,0.2682100508
2023,1,"MAXUS",11,0.1552795031
2023,1,"DS",9,0.1270468662
2023,1,"MINI",7,0.0988142292
2023,2,"TOYOTA",784,12.977983778
2023,2,"VOLVO",616,10.196987254
2023,2,"SKODA",617,10.213540805
2023,2,"VOLKSWAGEN",554,9.1706671081
2023,2,"KIA",470,7.7801688462
2023,2,"MERCEDES-BENZ",324,5.3633504387
2023,2,"BMW",386,6.3896705843
2023,2,"AUDI",241,3.9894057275
2023,2,"NISSAN",248,4.1052805827
2023,2,"FORD",246,4.0721734812
2023,2,"TESLA MOTORS",382,6.3234563814
2023,2,"HYUNDAI",144,2.3837113061
2023,2,"OPEL",142,2.3506042046
2023,2,"PEUGEOT",146,2.4168184075
2023,2,"POLESTAR",126,2.0857473928
2023,2,"MAZDA",105,1.7381228273
2023,2,"CITROEN",70,1.1587485516
2023,2,"DACIA",78,1.2911769575
2023,2,"SUZUKI",47,0.7780168846
2023,2,"RENAULT",72,1.191855653
2023,2,"MITSUBISHI",36,0.5959278265
2023,2,"CUPRA",30,0.4966065221
2023,2,"SUBARU",32,0.5297136236
2023,2,"HONDA",25,0.4138387684
2023,2,"PORSCHE",25,0.4138387684
2023,2,"LEXUS",18,0.2979639133
2023,2,"LAND ROVER",19,0.314517464
2023,2,"SEAT",16,0.2648568118
2023,2,"MAXUS",11,0.1820890581
2023,2,"DS",6,0.0993213044
2023,2,"FIAT",8,0.1324284059
2023,3,"TOYOTA",1150,15.187533016
2023,3,"VOLKSWAGEN",792,10.459587956
2023,3,"VOLVO",524,6.9202324353
2023,3,"SKODA",497,6.5636555732
2023,3,"KIA",544,7.1843634443
2023,3,"TESLA MOTORS",897,11.846275753
2023,3,"MERCEDES-BENZ",457,6.0353935552
2023,3,"BMW",436,5.7580559958
2023,3,"AUDI",323,4.265715795
2023,3,"NISSAN",298,3.9355520338
2023,3,"FORD",259,3.4204965663
2023,3,"HYUNDAI",177,2.3375594295
2023,3,"OPEL",243,3.2091917591
2023,3,"PEUGEOT",188,2.4828314844
2023,3,"CITROEN",169,2.2319070259
2023,3,"MAZDA",97,1.2810353936
2023,3,"POLESTAR",23,0.3037506603
2023,3,"DACIA",69,0.911251981
2023,3,"SUZUKI",54,0.7131537242
2023,3,"RENAULT",43,0.5678816693
2023,3,"MITSUBISHI",64,0.8452192287
2023,3,"CUPRA",53,0.6999471738
2023,3,"SUBARU",26,0.3433703117
2023,3,"PORSCHE",22,0.2905441099
2023,3,"HONDA",15,0.1980982567
2023,3,"LAND ROVER",33,0.4358161648
2023,3,"LEXUS",17,0.2245113576
2023,3,"SEAT",29,0.382989963
2023,3,"DS",19,0.2509244585
2023,3,"FIAT",19,0.2509244585
2023,4,"TOYOTA",1251,17.387074357
2023,4,"VOLKSWAGEN",821,11.410701876
2023,4,"VOLVO",792,11.007644197
2023,4,"SKODA",551,7.6580958999
2023,4,"KIA",549,7.6302988186
2023,4,"MERCEDES-BENZ",581,8.0750521195
2023,4,"BMW",417,5.7956914524
2023,4,"TESLA MOTORS",226,3.1410701876
2023,4,"AUDI",400,5.5594162613
2023,4,"NISSAN",243,3.3773453787
2023,4,"FORD",275,3.8220986796
2023,4,"HYUNDAI",216,3.0020847811
2023,4,"OPEL",87,1.2091730368
2023,4,"PEUGEOT",74,1.0284920083
2023,4,"CITROEN",80,1.1118832523
2023,4,"MAZDA",63,0.8756080612
2023,4,"POLESTAR",74,1.0284920083
2023,4,"DACIA",64,0.8895066018
2023,4,"RENAULT",79,1.0979847116
2023,4,"SUZUKI",57,0.7922168172
2023,4,"MITSUBISHI",51,0.7088255733
2023,4,"CUPRA",48,0.6671299514
2023,4,"LAND ROVER",41,0.5698401668
2023,4,"LEXUS",32,0.4447533009
2023,4,"SUBARU",16,0.2223766505
2023,4,"SEAT",32,0.4447533009
2023,4,"HONDA",21,0.2918693537
2023,4,"PORSCHE",11,0.1528839472
2023,4,"FIAT",11,0.1528839472
2023,4,"MAXUS",8,0.1111883252
2023,4,"DS",1,0.0138985407
2023,5,"TOYOTA",1707,18.438107583
2023,5,"VOLKSWAGEN",1047,11.309138043
2023,5,"VOLVO",852,9.2028515878
2023,5,"SKODA",1045,11.287535105
2023,5,"KIA",564,6.0920285159
2023,5,"MERCEDES-BENZ",549,5.9300064809
2023,5,"BMW",521,5.6275653489
2023,5,"TESLA MOTORS",532,5.7463815079
2023,5,"AUDI",441,4.7634478289
2023,5,"NISSAN",214,2.311514366
2023,5,"FORD",221,2.387124649
2023,5,"HYUNDAI",192,2.073882048
2023,5,"OPEL",319,3.4456686109
2023,5,"PEUGEOT",142,1.533808598
2023,5,"CITROEN",130,1.40419097
2023,5,"MAZDA",99,1.069345431
2023,5,"POLESTAR",114,1.231367466
2023,5,"DACIA",75,0.810110175
2023,5,"RENAULT",94,1.015338086
2023,5,"SUZUKI",76,0.820911644
2023,5,"MITSUBISHI",55,0.594080795
2023,5,"CUPRA",39,0.421257291
2023,5,"LAND ROVER",56,0.604882264
2023,5,"LEXUS",46,0.496867574
2023,5,"SEAT",28,0.302441132
2023,5,"SUBARU",14,0.151220566
2023,5,"HONDA",13,0.140419097
2023,5,"PORSCHE",19,0.205227911
2023,5,"FIAT",3,0.032404407
2023,5,"MINI",17,0.183624973
2023,5,"MAXUS",7,0.075610283
2023,6,"TOYOTA",1509,16.824618129
2023,6,"VOLKSWAGEN",902,10.056862526
2023,6,"SKODA",923,10.291002341
2023,6,"VOLVO",626,6.9795963876
2023,6,"KIA",684,7.6262682573
2023,6,"MERCEDES-BENZ",585,6.5224662727
2023,6,"TESLA MOTORS",899,10.023413981
2023,6,"BMW",448,4.9949827183
2023,6,"AUDI",352,3.9246292786
2023,6,"NISSAN",203,2.2633515442
2023,6,"FORD",196,2.1853049392
2023,6,"OPEL",396,4.4152079385
2023,6,"HYUNDAI",150,1.6724272494
2023,6,"PEUGEOT",168,1.8731185193
2023,6,"CITROEN",206,2.2968000892
2023,6,"MAZDA",81,0.9031107147
2023,6,"POLESTAR",60,0.6689708998
2023,6,"DACIA",66,0.7358679897
2023,6,"RENAULT",59,0.6578213848
2023,6,"SUZUKI",59,0.6578213848
2023,6,"MITSUBISHI",47,0.5240272048
2023,6,"CUPRA",57,0.6355223548
2023,6,"LAND ROVER",33,0.3679339949
2023,6,"SEAT",65,0.7247184747
2023,6,"LEXUS",41,0.4571301148
2023,6,"SUBARU",22,0.2452893299
2023,6,"HONDA",15,0.1672427249
2023,6,"PORSCHE",16,0.1783922399
2023,6,"FIAT",47,0.5240272048
2023,6,"MINI",19,0.2118407849
2023,6,"DS",5,0.055747575
2023,6,"MAXUS",1,0.011149515
2023,7,"TOYOTA",1237,19.694316192
2023,7,"VOLKSWAGEN",555,8.836172584
2023,7,"SKODA",702,11.176564241
2023,7,"VOLVO",466,7.4192007642
2023,7,"KIA",581,9.2501194077
2023,7,"MERCEDES-BENZ",461,7.3395956058
