"year","month","model","registrations","market_share"
2023,1,"TOYOTA_COROLLA",824,11.631846414
2023,1,"TOYOTA_YARIS",285,4.0231507623
2023,1,"VOLVO_XC40",207,2.9220779221
2023,1,"SKODA_ENYAQ",189,2.6679841897
2023,1,"VOLKSWAGEN_ID.4",174,2.4562394128
2023,1,"TOYOTA_RAV4",161,2.2727272727
2023,1,"VOLVO_V60",160,2.2586109543
2023,1,"MERCEDES-BENZ_C-SARJA",141,1.9904009034
2023,1,"VOLVO_XC60",135,1.9057029927
2023,1,"POLESTAR_2",118,1.6657255788
2023,1,"NISSAN_QASHQAI",114,1.6092603049
2023,1,"NISSAN_LEAF",111,1.5669113495
2023,1,"SKODA_OCTAVIA",108,1.5245623941
2023,1,"TOYOTA_C-HR",105,1.4822134387
2023,1,"HYUNDAI_IONIQ5",101,1.4257481649
2023,1,"KIA_CEED",101,1.4257481649
2023,1,"TOYOTA_YARIS_CROSS",101,1.4257481649
2023,1,"VOLVO_C40",99,1.397515528
2023,1,"CITROEN_C3",96,1.3551665726
2023,1,"KIA_NIRO",85,1.1998870695
2023,1,"SKODA_KAMIQ",85,1.1998870695
2023,1,"BMW_I4",80,1.1293054771
2023,1,"KIA_SPORTAGE",77,1.0869565217
2023,1,"AUDI_A4",71,1.002258611
2023,1,"FORD_FOCUS",69,0.974025974
2023,1,"MERCEDES-BENZ_EQA",68,0.9599096556
2023,1,"VOLKSWAGEN_T-ROC",68,0.9599096556
2023,1,"BMW_2-SARJA",66,0.9316770186
2023,1,"AUDI_Q4",62,0.8752117448
2023,1,"MITSUBISHI_ECLIPSE",62,0.8752117448
2023,1,"VOLKSWAGEN_ID.5",62,0.8752117448
2023,1,"SKODA_FABIA",60,0.8469791078
2023,1,"VOLKSWAGEN_ID.3",59,0.8328627894
2023,1,"KIA_STONIC",58,0.8187464709
2023,1,"SKODA_KAROQ",58,0.8187464709
2023,1,"PEUGEOT_2008",55,0.7763975155
2023,1,"SKODA_KODIAQ",55,0.7763975155
2023,1,"SUZUKI_VITARA",55,0.7763975155
2023,2,"TOYOTA_COROLLA",363,6.0089389174
2023,2,"TOYOTA_YARIS",117,1.9367654362
2023,2,"VOLVO_XC40",174,2.8803178282
2023,2,"VOLVO_XC60",232,3.8404237709
2023,2,"SKODA_ENYAQ",145,2.4002648568
2023,2,"TESLA_MOTORS_MODEL_Y",291,4.8170832644
2023,2,"VOLKSWAGEN_ID.4",120,1.9864260884
2023,2,"SKODA_OCTAVIA",156,2.5823539149
2023,2,"POLESTAR_2",126,2.0857473928
2023,2,"VOLVO_V60",79,1.3077305082
2023,2,"NISSAN_QASHQAI",108,1.7877834796
2023,2,"TOYOTA_C-HR",110,1.820890581
2023,2,"MERCEDES-BENZ_C-SARJA",65,1.0759807979
2023,2,"KIA_CEED",104,1.7215692766
2023,2,"TOYOTA_RAV4",44,0.7283562324
2023,2,"NISSAN_LEAF",71,1.1753021023
2023,2,"TOYOTA_YARIS_CROSS",78,1.2911769575
2023,2,"VOLVO_C40",74,1.2249627545
2023,2,"BMW_2-SARJA",100,1.6553550737
2023,2,"KIA_NIRO",79,1.3077305082
2023,2,"FORD_FOCUS",90,1.4898195663
2023,2,"VOLKSWAGEN_ID.3",98,1.6222479722
2023,2,"BMW_I4",68,1.1256414501
2023,2,"CITROEN_C3",46,0.7614633339
2023,2,"SKODA_KAMIQ",57,0.943552392
2023,2,"AUDI_Q4",72,1.191855653
2023,2,"HYUNDAI_IONIQ5",31,0.5131600728
2023,2,"FORD_KUGA",77,1.2746234067
2023,2,"AUDI_A4",53,0.877338189
2023,2,"SKODA_KODIAQ",67,1.1090878994
2023,2,"KIA_STONIC",60,0.9932130442
2023,2,"SKODA_FABIA",57,0.943552392
2023,3,"TOYOTA_COROLLA",519,6.854199683
2023,3,"TESLA_MOTORS_MODEL_Y",720,9.5087163233
2023,3,"VOLVO_XC60",217,2.8658214474
2023,3,"VOLKSWAGEN_ID.4",273,3.6053882726
2023,3,"TOYOTA_YARIS",148,1.9545694665
2023,3,"VOLVO_XC40",111,1.4659270998
2023,3,"SKODA_ENYAQ",128,1.6904384575
2023,3,"SKODA_OCTAVIA",147,1.941362916
2023,3,"NISSAN_QASHQAI",146,1.9281563656
2023,3,"KIA_CEED",128,1.6904384575
2023,3,"TOYOTA_YARIS_CROSS",148,1.9545694665
2023,3,"VOLVO_V60",75,0.9904912837
2023,3,"TOYOTA_C-HR",93,1.2282091918
2023,3,"VOLKSWAGEN_ID.3",144,1.9017432647
2023,3,"NISSAN_LEAF",111,1.4659270998
2023,3,"TESLA_MOTORS_MODEL_3",170,2.2451135763
2023,3,"POLESTAR_2",23,0.3037506603
2023,3,"FORD_FOCUS",105,1.3866877971
2023,3,"TOYOTA_RAV4",58,0.765979926
2023,3,"MERCEDES-BENZ_C-SARJA",51,0.6735340729
2023,3,"AUDI_Q4",103,1.3602746962
2023,3,"VOLVO_C40",65,0.8584257792
2023,3,"BMW_2-SARJA",65,0.8584257792
2023,3,"BMW_I4",82,1.0829371368
2023,3,"KIA_NIRO",54,0.7131537242
2023,3,"TOYOTA_BZ4X",151,1.9941891178
2023,3,"FORD_KUGA",66,0.8716323296
2023,3,"KIA_STONIC",67,0.8848388801
2023,3,"CITROEN_C3",41,0.5414685684
2023,3,"SKODA_KAMIQ",37,0.4886423666
2023,3,"VOLKSWAGEN_GOLF",87,1.1489698891
2023,4,"TOYOTA_COROLLA",246,3.4190410007
2023,4,"TESLA_MOTORS_MODEL_Y",202,2.807505212
2023,4,"VOLVO_XC60",324,4.5031271716
2023,4,"VOLKSWAGEN_ID.4",226,3.1410701876
2023,4,"TOYOTA_YARIS",219,3.0437804031
2023,4,"SKODA_ENYAQ",210,2.9186935372
2023,4,"VOLVO_XC40",170,2.362751911
2023,4,"TOYOTA_C-HR",235,3.2661570535
2023,4,"SKODA_OCTAVIA",116,1.6122307158
2023,4,"TOYOTA_YARIS_CROSS",194,2.6963168867
2023,4,"NISSAN_QASHQAI",100,1.3898540653
2023,4,"KIA_CEED",112,1.5566365532
2023,4,"VOLKSWAGEN_ID.3",137,1.9041000695
2023,4,"TOYOTA_RAV4",173,2.404447533
2023,4,"VOLVO_V60",86,1.1952744962
2023,4,"AUDI_Q4",147,2.043085476
2023,4,"NISSAN_LEAF",71,0.9867963864
2023,4,"VOLVO_C40",124,1.723419041
2023,4,"FORD_FOCUS",78,1.084086171
2023,4,"POLESTAR_2",74,1.0284920083
2023,4,"MERCEDES-BENZ_C-SARJA",74,1.0284920083
2023,4,"BMW_I4",99,1.3759555247
2023,4,"FORD_KUGA",131,1.8207088256
2023,4,"KIA_NIRO",93,1.2925642808
2023,4,"TESLA_MOTORS_MODEL_3",21,0.2918693537
2023,4,"VOLKSWAGEN_GOLF",102,1.4176511466
2023,4,"BMW_2-SARJA",42,0.5837387074
2023,4,"TOYOTA_BZ4X",77,1.0701876303
2023,4,"KIA_STONIC",64,0.8895066018
2023,4,"KIA_RIO",71,0.9867963864
2023,5,"TOYOTA_COROLLA",563,6.0812270469
2023,5,"TESLA_MOTORS_MODEL_Y",443,4.7850507669
2023,5,"VOLVO_XC60",235,2.5383452149
2023,5,"VOLKSWAGEN_ID.4",244,2.6355584359
2023,5,"SKODA_ENYAQ",348,3.7589112119
2023,5,"TOYOTA_YARIS",249,2.6895657809
2023,5,"VOLVO_XC40",247,2.6679628429
2023,5,"TOYOTA_YARIS_CROSS",303,3.2728451069
2023,5,"TOYOTA_C-HR",182,1.965867358
2023,5,"SKODA_OCTAVIA",169,1.825448261
2023,5,"AUDI_Q4",187,2.019874703
2023,5,"TOYOTA_RAV4",134,1.447396846
2023,5,"VOLKSWAGEN_ID.3",126,1.360985094
2023,5,"KIA_CEED",99,1.069345431
2023,5,"NISSAN_QASHQAI",75,0.810110175
2023,5,"BMW_I4",205,2.214301145
2023,5,"VOLVO_C40",168,1.814646792
2023,5,"VOLVO_V60",110,1.18816159
2023,5,"POLESTAR_2",114,1.231367466
2023,5,"TOYOTA_BZ4X",142,1.533808598
2023,5,"FORD_FOCUS",67,0.723698423
2023,5,"VOLKSWAGEN_GOLF",130,1.40419097
2023,5,"NISSAN_LEAF",40,0.43205876
2023,5,"KIA_STONIC",147,1.587815943
2023,5,"FORD_KUGA",73,0.788507237
2023,5,"MERCEDES-BENZ_C-SARJA",62,0.669691078
2023,5,"KIA_NIRO",43,0.464463167
2023,5,"SKODA_KAMIQ",123,1.328580687
2023,5,"KIA_RIO",102,1.101749838
2023,5,"TESLA_MOTORS_MODEL_3",43,0.464463167
2023,6,"TOYOTA_COROLLA",489,5.4521128331
2023,6,"TESLA_MOTORS_MODEL_Y",677,7.5482216524
2023,6,"VOLVO_XC60",210,2.3413981492
2023,6,"TOYOTA_YARIS",254,2.831976809
2023,6,"SKODA_ENYAQ",224,2.4974913591
2023,6,"VOLKSWAGEN_ID.4",190,2.1184078493
2023,6,"VOLVO_XC40",193,2.1518563942
2023,6,"TOYOTA_YARIS_CROSS",178,1.9846136693
2023,6,"SKODA_OCTAVIA",277,3.0884156539
2023,6,"TOYOTA_C-HR",156,1.7393243394
2023,6,"TOYOTA_RAV4",212,2.3636971792
2023,6,"KIA_CEED",184,2.0515107593
2023,6,"BMW_I4",187,2.0849593043
2023,6,"AUDI_Q4",113,1.2598951946
2023,6,"NISSAN_QASHQAI",134,1.4940350095
2023,6,"VOLKSWAGEN_ID.3",58,0.6466718698
2023,6,"VOLVO_C40",88,0.9811573197
2023,6,"VOLVO_V60",78,0.8696621697
2023,6,"VOLKSWAGEN_GOLF",144,1.6055301594
2023,6,"TOYOTA_BZ4X",128,1.4271379195
2023,6,"KIA_STONIC",141,1.5720816144
2023,6,"POLESTAR_2",60,0.6689708998
2023,6,"MERCEDES-BENZ_C-SARJA",111,1.2375961646
2023,6,"TESLA_MOTORS_MODEL_3",155,1.7281748244
2023,6,"OPEL_MOKKA",166,1.8508194894
2023,6,"FORD_FOCUS",49,0.5463262348
2023,6,"FORD_KUGA",60,0.6689708998
2023,6,"KIA_RIO",108,1.2041476196
2023,6,"SKODA_KAMIQ",95,1.0592039246
2023,6,"NISSAN_LEAF",25,0.2787378749
2023,7,"TOYOTA_COROLLA",338,5.3813087088
2023,7,"TESLA_MOTORS_MODEL_Y",61,0.9711829327
2023,7,"VOLVO_XC60",185,2.9453908613
2023,7,"TOYOTA_YARIS",265,4.219073396
2023,7,"SKODA_ENYAQ",182,2.8976277663
2023,7,"VOLKSWAGEN_ID.4",131,2.0856551505
2023,7,"VOLVO_XC40",112,1.7831555485
2023,7,"TOYOTA_YARIS_CROSS",201,3.2001273683
2023,7,"SKODA_OCTAVIA",224,3.566311097
2023,7,"TOYOTA_C-HR",66,1.0507880911
2023,7,"TOYOTA_RAV4",164,2.611049196
2023,7,"BMW_I4",136,2.1652603089
2023,7,"KIA_CEED",111,1.7672345168
2023,7,"AUDI_Q4",86,1.3692087247
2023,7,"NISSAN_QASHQAI",72,1.1463142812
2023,7,"VOLVO_V60",91,1.4488138831
2023,7,"VOLKSWAGEN_ID.3",31,0.4935519822
2023,7,"VOLVO_C40",26,0.4139468238
2023,7,"VOLKSWAGEN_GOLF",69,1.0985511861
2023,7,"OPEL_MOKKA",129,2.0538130871
2023,7,"KIA_STONIC",68,1.0826301544
2023,7,"TOYOTA_BZ4X",50,0.7960515841
2023,7,"MERCEDES-BENZ_C-SARJA",72,1.1463142812
2023,7,"POLESTAR_2",56,0.8915777742
2023,7,"TESLA_MOTORS_MODEL_3",51,0.8119726158
2023,7,"SKODA_KAMIQ",92,1.4647349148
2023,7,"FORD_FOCUS",73,1.1622353128
2023,7,"FORD_KUGA",55,0.8756567426
2023,7,"KIA_RIO",58,0.9234198376
2023,7,"VOLKSWAGEN_TIGUAN",88,1.4010507881
2023,8,"TOYOTA_COROLLA",387,5.0482650665
2023,8,"TESLA_MOTORS_MODEL_Y",450,5.8700756588
2023,8,"VOLVO_XC60",197,2.5697886773
2023,8,"TOYOTA_YARIS",183,2.3871641012
2023,8,"SKODA_ENYAQ",156,2.0349595617
2023,8,"VOLKSWAGEN_ID.4",115,1.5001304461
2023,8,"SKODA_OCTAVIA",177,2.3088964258
2023,8,"TOYOTA_YARIS_CROSS",166,2.1654056875
2023,8,"VOLVO_XC40",132,1.7218888599
2023,8,"TOYOTA_RAV4",214,2.7915470911
2023,8,"PEUGEOT_2008",658,8.5833550744
2023,8,"TOYOTA_C-HR",95,1.2392381946
2023,8,"KIA_CEED",172,2.2436733629
2023,8,"BMW_I4",126,1.6436211845
2023,8,"AUDI_Q4",105,1.3696843204
2023,8,"NISSAN_QASHQAI",115,1.5001304461
2023,8,"VOLVO_V60",85,1.1087920689
2023,8,"VOLKSWAGEN_ID.3",49,0.6391860162
2023,8,"VOLKSWAGEN_GOLF",63,0.8218105922
2023,8,"KIA_STONIC",69,0.9000782677
2023,8,"VOLVO_C40",27,0.3522045395
2023,8,"POLESTAR_2",97,1.2653274198
2023,8,"TESLA_MOTORS_MODEL_3",121,1.5783981216
2023,8,"TOYOTA_BZ4X",38,0.4956952779
2023,8,"OPEL_MOKKA",16,0.2087138012
2023,8,"MERCEDES-BENZ_C-SARJA",41,0.5348291156
2023,8,"FORD_FOCUS",71,0.9261674928
2023,8,"VOLKSWAGEN_TIGUAN",101,1.3175058701
2023,8,"SKODA_KAMIQ",57,0.7435429168
2023,8,"FORD_KUGA",77,1.0044351683
2023,9,"TOYOTA_COROLLA",327,4.4296938499
2023,9,"TESLA_MOTORS_MODEL_Y",1134,15.361690599
2023,9,"VOLVO_XC60",144,1.9506908697
2023,9,"TOYOTA_YARIS",119,1.6120292604
2023,9,"SKODA_ENYAQ",181,2.4519100515
2023,9,"SKODA_OCTAVIA",203,2.7499322677
2023,9,"VOLKSWAGEN_ID.4",102,1.381739366
2023,9,"TOYOTA_YARIS_CROSS",170,2.3028989434
2023,9,"VOLVO_XC40",176,2.3841777296
2023,9,"TOYOTA_RAV4",208,2.8176645895
2023,9,"TOYOTA_C-HR",122,1.6526686535
2023,9,"KIA_CEED",136,1.8423191547
2023,9,"PEUGEOT_2008",71,0.9617989705
2023,9,"BMW_I4",136,1.8423191547
2023,9,"NISSAN_QASHQAI",153,2.072609049
2023,9,"AUDI_Q4",93,1.2598211867
2023,9,"VOLVO_V60",32,0.4334868599
2023,9,"VOLVO_C40",111,1.5036575454
2023,9,"KIA_STONIC",76,1.0295312923
2023,9,"POLESTAR_2",76,1.0295312923
2023,9,"VOLKSWAGEN_GOLF",46,0.6231373611
2023,9,"VOLKSWAGEN_ID.3",23,0.3115686806
2023,9,"TESLA_MOTORS_MODEL_3",41,0.5554050393
2023,9,"OPEL_MOKKA",66,0.8940666486
2023,9,"MERCEDES-BENZ_C-SARJA",59,0.799241398
2023,9,"VOLKSWAGEN_TIGUAN",71,0.9617989705
2023,9,"FORD_FOCUS",60,0.8127878624
2023,9,"KIA_NIRO",98,1.3275535085
2023,9,"SKODA_KAMIQ",68,0.9211595774
2023,9,"KIA_RIO",68,0.9211595774
2023,9,"TOYOTA_BZ4X",23,0.3115686806
2023,10,"TOYOTA_COROLLA",317,5.0245680773
2023,10,"TESLA_MOTORS_MODEL_Y",137,2.1715010303
2023,10,"VOLVO_XC60",191,3.0274211444
2023,10,"SKODA_ENYAQ",258,4.0893961008
2023,10,"TOYOTA_YARIS",92,1.4582342685
2023,10,"SKODA_OCTAVIA",203,3.2176256142
2023,10,"TOYOTA_YARIS_CROSS",196,3.1066730068
2023,10,"VOLVO_XC40",178,2.8213663021
2023,10,"VOLKSWAGEN_ID.4",76,1.2046283088
2023,10,"TOYOTA_RAV4",131,2.0763987954
2023,10,"PEUGEOT_2008",310,4.91361547
2023,10,"KIA_CEED",161,2.5519099699
2023,10,"BMW_I4",158,2.5043588524
2023,10,"TOYOTA_C-HR",70,1.1095260739
2023,10,"AUDI_Q4",157,2.4885084799
2023,10,"NISSAN_QASHQAI",93,1.474084641
2023,10,"VOLVO_C40",82,1.2997305437
2023,10,"VOLVO_V60",67,1.0619749564
2023,10,"KIA_STONIC",54,0.8559201141
2023,10,"POLESTAR_2",38,0.6023141544
2023,10,"VOLKSWAGEN_GOLF",35,0.5547630369
2023,10,"VOLKSWAGEN_ID.3",37,0.5864637819
2023,10,"KIA_NIRO",98,1.5533365034
2023,10,"VOLKSWAGEN_TIGUAN",72,1.1412268188
2023,10,"OPEL_MOKKA",24,0.3804089396
2023,10,"TESLA_MOTORS_MODEL_3",5,0.0792518624
2023,10,"KIA_RIO",53,0.8400697416
2023,10,"MERCEDES-BENZ_C-SARJA",26,0.4121096846
2023,10,"FORD_FOCUS",34,0.5389126644
2023,10,"SKODA_KAMIQ",23,0.3645585671
2023,10,"FORD_KUGA",40,0.6340148994
2023,11,"TOYOTA_COROLLA",417,6.3258495146
2023,11,"TESLA_MOTORS_MODEL_Y",304,4.6116504854
2023,11,"SKODA_ENYAQ",301,4.5661407767
2023,11,"VOLVO_XC60",154,2.3361650485
2023,11,"SKODA_OCTAVIA",377,5.7190533981
2023,11,"TOYOTA_YARIS",223,3.3828883495
2023,11,"TOYOTA_YARIS_CROSS",215,3.2615291262
2023,11,"VOLVO_XC40",200,3.0339805825
2023,11,"VOLKSWAGEN_ID.4",53,0.8040048544
2023,11,"TOYOTA_RAV4",123,1.8658980583
2023,11,"PEUGEOT_2008",32,0.4854368932
2023,11,"KIA_CEED",135,2.0479368932
2023,11,"BMW_I4",113,1.7141990291
2023,11,"TOYOTA_C-HR",67,1.0163834951
2023,11,"NISSAN_QASHQAI",109,1.6535194175
2023,11,"AUDI_Q4",72,1.0922330097
2023,11,"VOLVO_C40",139,2.1086165049
2023,11,"VOLVO_V60",79,1.1984223301
2023,11,"POLESTAR_2",71,1.0770631068
2023,11,"KIA_STONIC",35,0.5309466019
2023,11,"TESLA_MOTORS_MODEL_3",118,1.7900485437
2023,11,"KIA_NIRO",63,0.9557038835
2023,11,"VOLKSWAGEN_GOLF",49,0.7433252427
2023,11,"VOLKSWAGEN_ID.3",46,0.697815534
2023,11,"VOLKSWAGEN_TIGUAN",62,0.9405339806
2023,11,"SKODA_KAMIQ",95,1.4411407767
2023,11,"SKODA_SUPERB",79,1.1984223301
2023,11,"KIA_RIO",42,0.6371359223
2023,11,"FORD_FOCUS",29,0.4399271845
2023,11,"TOYOTA_BZ4X",55,0.8343446602
2023,12,"TOYOTA_COROLLA",315,5.4782608696
2023,12,"TESLA_MOTORS_MODEL_Y",452,7.8608695652
2023,12,"SKODA_OCTAVIA",442,7.6869565217
2023,12,"SKODA_ENYAQ",151,2.6260869565
2023,12,"VOLVO_XC60",152,2.6434782609
2023,12,"TOYOTA_YARIS",111,1.9304347826
2023,12,"VOLVO_XC40",181,3.147826087
2023,12,"TOYOTA_YARIS_CROSS",118,2.052173913
2023,12,"TOYOTA_RAV4",142,2.4695652174
2023,12,"VOLKSWAGEN_ID.4",60,1.0434782609
2023,12,"BMW_I4",134,2.3304347826
2023,12,"KIA_CEED",76,1.3217391304
2023,12,"PEUGEOT_2008",11,0.1913043478
2023,12,"TOYOTA_C-HR",64,1.1130434783
2023,12,"NISSAN_QASHQAI",80,1.3913043478
2023,12,"AUDI_Q4",53,0.9217391304
2023,12,"VOLVO_C40",94,1.6347826087
2023,12,"TESLA_MOTORS_MODEL_3",216,3.7565217391
2023,12,"VOLVO_V60",56,0.9739130435
2023,12,"POLESTAR_2",94,1.6347826087
2023,12,"KIA_STONIC",33,0.5739130435
2023,12,"KIA_NIRO",46,0.8
2023,12,"VOLKSWAGEN_TIGUAN",61,1.0608695652
2023,12,"VOLKSWAGEN_GOLF",34,0.5913043478
2023,12,"SKODA_SUPERB",80,1.3913043478
2023,12,"SKODA_KAMIQ",54,0.9391304348
2023,12,"VOLKSWAGEN_ID.3",19,0.3304347826
2023,12,"KIA_RIO",37,0.6434782609
2023,12,"KIA_SPORTAGE",55,0.9565217391
2023,12,"FORD_KUGA",53,0.9217391304
2024,1,"TOYOTA_COROLLA",435,6.7015868125
2024,1,"SKODA_OCTAVIA",357,5.4999229703
2024,1,"TOYOTA_YARIS_CROSS",334,5.1455861963
2024,1,"TOYOTA_YARIS",280,4.3136650747
2024,1,"VOLVO_XC40",231,3.5587736866
2024,1,"NISSAN_QASHQAI",217,3.3430904329
2024,1,"VOLVO_XC60",198,3.0503774457
2024,1,"TOYOTA_C-HR",177,2.7268525651
2024,1,"TOYOTA_RAV4",153,2.3571098444
2024,1,"TESLA_MOTORS_MODEL_Y",123,1.8949314435
2024,1,"HYUNDAI_IONIQ5",122,1.8795254968
2024,1,"MERCEDES-BENZ_GLC-SARJA",109,1.6792481898
2024,1,"AUDI_Q4",104,1.6022184563
2024,1,"SKODA_ENYAQ",89,1.3711292559
2024,1,"KIA_CEED",84,1.2940995224
2024,1,"VOLVO_C40",84,1.2940995224
2024,1,"SKODA_KAMIQ",76,1.1708519489
2024,1,"KIA_NIRO",73,1.1246341088
2024,1,"BMW_I4",71,1.0938222154
2024,1,"BMW_X1",69,1.063010322
2024,1,"KIA_SPORTAGE",67,1.0321984286
2024,1,"CITROEN_C3",65,1.0013865352
2024,1,"KIA_STONIC",61,0.9397627484
2024,1,"SKODA_SUPERB",61,0.9397627484
2024,1,"TOYOTA_PRIUS",61,0.9397627484
2024,1,"VOLKSWAGEN_ID.7",60,0.9243568017
2024,1,"HYUNDAI_KONA",57,0.8781389616
2024,1,"BMW_X5",55,0.8473270682
2024,1,"BMW_X3",54,0.8319211216
2024,1,"SKODA_KAROQ",54,0.8319211216
2024,1,"VOLKSWAGEN_GOLF",54,0.8319211216
2024,1,"SKODA_FABIA",52,0.8011092282
2024,1,"VOLKSWAGEN_TRANSPORTER",50,0.7702973348
2024,1,"VOLKSWAGEN_CADDY",48,0.7394854414
2024,1,"TESLA_MOTORS_MODEL_3",45,0.6932676013
