"year","month","brand","registrations","market_share"
2023,1,"STELLANTIS",33782,30.18
2023,1,"ALFA_ROMEO",245,0.22
2023,1,"CITROEN",8205,7.33
2023,1,"DS",2002,1.79
2023,1,"FIAT",2354,2.1
2023,1,"JEEP",429,0.38
2023,1,"MASERATI",3,0
2023,1,"OPEL",2860,2.55
2023,1,"PEUGEOT",17684,15.8
2023,1,"GROUPE_RENAULT",28721,25.66
2023,1,"ALPINE",81,0.07
2023,1,"DACIA",11538,10.31
2023,1,"RENAULT",17097,15.27
2023,1,"MOBILIZE",5,0
2023,1,"GROUPE_VOLKSWAGEN",15241,13.62
2023,1,"AUDI",2873,2.57
2023,1,"BENTLEY",5,0
2023,1,"CUPRA",387,0.35
2023,1,"LAMBORGHIN",5,0
2023,1,"PORSCHE",184,0.16
2023,1,"SEAT",1303,1.16
2023,1,"SKODA",2235,2
2023,1,"VOLKSWAGEN",8249,7.37
2023,1,"GROUPE_B.M.W",4530,4.05
2023,1,"B.M.W.",3081,2.75
2023,1,"MINI",1449,1.29
2023,1,"GROUPE_TOYOTA",8965,8.01
2023,1,"LEXUS",294,0.26
2023,1,"TOYOTA",8671,7.75
2023,1,"GROUPE_FORD",3009,2.69
2023,1,"FORD",3009,2.69
2023,1,"GROUPE_NISSAN",2337,2.09
2023,1,"NISSAN",2337,2.09
2023,1,"GROUPE_DAIMLER",2292,2.05
2023,1,"MERCEDES",2210,1.97
2023,1,"SMART",82,0.07
2023,1,"GROUPE_HYUNDAI",6642,5.93
2023,1,"HYUNDAI",3214,2.87
2023,1,"KIA",3428,3.06
2023,1,"GROUPE_GEELY",1090,0.97
2023,1,"VOLVO",1090,0.97
2023,1,"GROUPE_TATA",388,0.35
2023,1,"JAGUAR",27,0.02
2023,1,"LAND_ROVER",361,0.32
2023,1,"GROUPE_SUZUKI",1157,1.03
2023,1,"SUZUKI",1157,1.03
2023,1,"GROUPE_MITSUBISHI",207,0.18
2023,1,"MITSUBISHI",207,0.18
2023,1,"TESLA",741,0.66
2023,1,"AUTRES",2838,2.54
2023,2,"STELLANTIS",37628,29.81
2023,2,"ALFA_ROMEO",278,0.22
2023,2,"CITROEN",9136,7.24
2023,2,"DS",2035,1.61
2023,2,"FIAT",2454,1.94
2023,2,"JEEP",390,0.31
2023,2,"MASERATI",11,0.01
2023,2,"OPEL",3267,2.59
2023,2,"PEUGEOT",20057,15.89
2023,2,"GROUPE_RENAULT",30429,24.1
2023,2,"ALPINE",51,0.04
2023,2,"DACIA",11900,9.43
2023,2,"RENAULT",18478,14.64
2023,2,"MOBILIZE",0,0
2023,2,"GROUPE_VOLKSWAGEN",17558,13.91
2023,2,"AUDI",3691,2.92
2023,2,"BENTLEY",2,0
2023,2,"CUPRA",646,0.51
2023,2,"LAMBORGHIN",2,0
2023,2,"PORSCHE",232,0.18
2023,2,"SEAT",1529,1.21
2023,2,"SKODA",2935,2.32
2023,2,"VOLKSWAGEN",8521,6.75
2023,2,"GROUPE_B.M.W",5503,4.36
2023,2,"B.M.W.",3697,2.93
2023,2,"MINI",1806,1.43
2023,2,"GROUPE_TOYOTA",8550,6.77
2023,2,"LEXUS",238,0.19
2023,2,"TOYOTA",8312,6.58
2023,2,"GROUPE_FORD",3974,3.15
2023,2,"FORD",3974,3.15
2023,2,"GROUPE_NISSAN",2944,2.33
2023,2,"NISSAN",2944,2.33
2023,2,"GROUPE_DAIMLER",3416,2.71
2023,2,"MERCEDES",3351,2.65
2023,2,"SMART",65,0.05
2023,2,"GROUPE_HYUNDAI",7256,5.75
2023,2,"HYUNDAI",3828,3.03
2023,2,"KIA",3428,2.72
2023,2,"GROUPE_GEELY",1076,0.85
2023,2,"VOLVO",1076,0.85
2023,2,"GROUPE_TATA",490,0.39
2023,2,"JAGUAR",62,0.05
2023,2,"LAND_ROVER",428,0.34
2023,2,"GROUPE_SUZUKI",1233,0.98
2023,2,"SUZUKI",1233,0.98
2023,2,"GROUPE_MITSUBISHI",210,0.17
2023,2,"MITSUBISHI",210,0.17
2023,2,"TESLA",3376,2.67
2023,2,"AUTRES",2594,2.05
2023,3,"STELLANTIS",57293,31.36
2023,3,"ALFA_ROMEO",407,0.22
2023,3,"CITROEN",16444,9
2023,3,"DS",2555,1.4
2023,3,"FIAT",3905,2.14
