"year","month","model","ytd_registrations","ytd_market_share"
2023,1,"DACIA SANDERO 3",6562,5.9
2023,1,"PEUGEOT 208 II",5933,5.3
2023,1,"RENAULT CLIO V",4971,4.4
2023,1,"PEUGEOT 2008 II",3937,3.5
2023,1,"RENAULT CAPTUR II",3321,3
2023,1,"CITROEN C3 III",3092,2.8
2023,1,"PEUGEOT 308 III",3085,2.8
2023,1,"PEUGEOT 3008 II",2701,2.4
2023,1,"TOYOTA YARIS CRO",2422,2.2
2023,1,"TOYOTA YARIS",2175,1.9
2023,1,"RENAULT ARKANA",2105,1.9
2023,1,"CITROEN C5 AIRCR.",1975,1.8
2023,1,"DACIA SPRING",1911,1.7
2023,1,"VOLKSWAGEN POLO VI",1860,1.7
2023,1,"FIAT 500",1841,1.6
2023,1,"DACIA DUSTER 2",1589,1.4
2023,1,"RENAULT AUSTRAL",1583,1.4
2023,1,"RENAULT MEGANE-E",1506,1.3
2023,1,"DACIA JOGGER",1469,1.3
2023,1,"VOLKSWAGEN T-ROC",1427,1.3
2023,1,"CITROEN C3 AIRCR.",1373,1.2
2023,1,"HYUNDAI TUCSONIII",1297,1.2
2023,1,"OPEL CORSA",1296,1.2
2023,1,"VOLKSWAGEN T-CROSS",1277,1.1
2023,1,"TOYOTA AYGO X",1262,1.1
2023,1,"TOYOTA C-HR",1234,1.1
2023,1,"NISSAN QASHQAI 3",1192,1.1
2023,1,"FORD PUMA",1155,1
2023,1,"RENAULT TWINGOIII",1141,1
2023,1,"KIA SPORTAGE5",1085,1
2023,1,"VOLKSWAGEN TAIGO",1026,0.9
2023,1,"TOYOTA COROLLA",998,0.9
2023,1,"PEUGEOT 5008 II",992,0.9
2023,1,"CITROEN C4 III",961,0.9
2023,1,"OPEL MOKKA",941,0.8
2023,1,"RENAULT MEGANE IV",936,0.8
2023,1,"DS DS4 II",912,0.8
2023,1,"MINI MINI III",862,0.8
2023,1,"VOLKSWAGEN GOLF VIII",764,0.7
2023,1,"B.M.W. SERIE 1",747,0.7
2023,1,"VOLKSWAGEN TIGUAN II",737,0.7
2023,1,"HYUNDAI KONA",729,0.7
2023,1,"FORD FIESTAVII",729,0.7
2023,1,"DS DS7",687,0.6
2023,1,"M.G. MG4",686,0.6
2023,1,"SEAT IBIZA V",665,0.6
2023,1,"RENAULT ZOE",646,0.6
2023,1,"VOLVO XC40",568,0.5
2023,1,"SUZUKI SWIFT",565,0.5
2023,1,"M.G. EHS",543,0.5
2023,1,"FORD KUGA",518,0.5
2023,1,"MINI COUNTRY2",503,0.4
2023,1,"AUDI A1 SPORTB",495,0.4
2023,1,"NISSAN JUKE II",492,0.4
2023,1,"PEUGEOT 408",483,0.4
2023,1,"SKODA FABIA IV",474,0.4
2023,1,"SKODA KAMIQ",474,0.4
2023,1,"AUDI A3",465,0.4
2023,1,"MERCEDES GLA II",455,0.4
2023,1,"FORD FOCUS IV",442,0.4
2023,1,"SEAT ARONA",425,0.4
2023,1,"KIA RIO IV",425,0.4
2023,1,"TESLA MODEL Y",424,0.4
2023,1,"KIA PICANTO 3",412,0.4
2023,1,"B.M.W. X3",403,0.4
2023,1,"KIA NIRO",400,0.4
2023,1,"DS DS3 CBACK",389,0.3
2023,1,"KIA STONIC",380,0.3
2023,1,"B.M.W. SERIE 3",378,0.3
2023,1,"TOYOTA RAV4",365,0.3
2023,1,"PEUGEOT 508 II",351,0.3
2023,1,"HYUNDAI I20",334,0.3
2023,1,"AUDI Q3 SPORTB",317,0.3
2023,1,"SKODA OCTAV.IV",311,0.3
2023,1,"FIAT PANDA III",309,0.3
2023,1,"RENAULT GDSCEN.IV",303,0.3
2023,1,"RENAULT KANGOOIII",293,0.3
2023,1,"SKODA KAROQ",287,0.3
2023,1,"LYNK CO 01",283,0.3
2023,1,"TESLA MODEL 3",278,0.2
2023,1,"B.M.W. X1",275,0.2
2023,1,"AUDI Q3",274,0.2
2023,1,"CITROEN C5 X",266,0.2
2023,1,"NISSAN MICRA V",263,0.2
2023,1,"CUPRA FORMENTOR",254,0.2
2023,1,"JEEP COMPASS",253,0.2
2023,1,"M.G. MARVEL R",250,0.2
2023,1,"MERCEDES CLASSE C",244,0.2
2023,1,"VOLKSWAGEN ID.3",243,0.2
2023,1,"MERCEDES CLASSE A",240,0.2
2023,1,"RENAULT TRAFIC",240,0.2
2023,1,"OPEL CROSSLAND",239,0.2
2023,1,"KIA EV6",237,0.2
2023,1,"AUDI Q2",235,0.2
2023,1,"VOLVO XC60 II",232,0.2
2023,1,"VOLKSWAGEN TOURAN",230,0.2
2023,1,"B.M.W. AC.TOURER",229,0.2
2023,1,"ALFA ROMEO TONALE",228,0.2
2023,1,"SUZUKI VITARAIII",225,0.2
2023,1,"OPEL GRANDLAND",221,0.2
2023,2,"PEUGEOT 208 II",13212,5.5
2023,2,"DACIA SANDERO 3",11279,4.7
2023,2,"RENAULT CLIO V",10303,4.3
2023,2,"PEUGEOT 2008 II",7426,3.1
2023,2,"PEUGEOT 308 III",7113,3
2023,2,"RENAULT CAPTUR II",7111,3
2023,2,"CITROEN C3 III",6898,2.9
2023,2,"PEUGEOT 3008 II",5537,2.3
2023,2,"TOYOTA YARIS CRO",4817,2
2023,2,"DACIA SPRING",4783,2
2023,2,"TOYOTA YARIS",4444,1.9
2023,2,"DACIA DUSTER 2",4273,1.8
2023,2,"FIAT 500",4020,1.7
2023,2,"CITROEN C5 AIRCR.",3969,1.7
2023,2,"RENAULT AUSTRAL",3958,1.7
2023,2,"VOLKSWAGEN POLO VI",3606,1.5
2023,2,"RENAULT ARKANA",3523,1.5
2023,2,"DACIA JOGGER",3095,1.3
2023,2,"TESLA MODEL Y",2908,1.2
2023,2,"OPEL CORSA",2826,1.2
2023,2,"FORD PUMA",2774,1.2
2023,2,"NISSAN QASHQAI 3",2767,1.2
2023,2,"CITROEN C3 AIRCR.",2754,1.2
2023,2,"VOLKSWAGEN T-ROC",2698,1.1
2023,2,"HYUNDAI TUCSONIII",2683,1.1
2023,2,"RENAULT TWINGOIII",2620,1.1
2023,2,"RENAULT MEGANE-E",2575,1.1
2023,2,"PEUGEOT 5008 II",2569,1.1
2023,2,"VOLKSWAGEN T-CROSS",2474,1
2023,2,"CITROEN C4 III",2391,1
2023,2,"TOYOTA C-HR",2357,1
2023,2,"KIA SPORTAGE5",2070,0.9
2023,2,"RENAULT MEGANE IV",2068,0.9
2023,2,"MINI MINI III",1995,0.8
2023,2,"TOYOTA AYGO X",1969,0.8
2023,2,"TOYOTA COROLLA",1941,0.8
2023,2,"VOLKSWAGEN GOLF VIII",1869,0.8
2023,2,"HYUNDAI KONA",1798,0.8
2023,2,"VOLKSWAGEN TIGUAN II",1762,0.7
2023,2,"DS DS4 II",1750,0.7
2023,2,"OPEL MOKKA",1727,0.7
2023,2,"M.G. MG4",1690,0.7
2023,2,"VOLKSWAGEN TAIGO",1632,0.7
2023,2,"DS DS7",1503,0.6
2023,2,"B.M.W. SERIE 1",1466,0.6
2023,2,"RENAULT ZOE",1441,0.6
2023,2,"FORD KUGA",1429,0.6
2023,2,"SEAT IBIZA V",1421,0.6
2023,2,"MERCEDES GLA II",1335,0.6
2023,2,"FORD FIESTAVII",1310,0.6
