"year","month","brand","model","value"
2023,1,"ALFA ROMEO","GIULIA",95
2023,1,"ALFA ROMEO","STELVIO",148
2023,1,"ALFA ROMEO","TONALE",187
2023,1,"ALPINE","A110",31
2023,1,"ASTON MARTIN","DBX",21
2023,1,"AUDI","A1",639
2023,1,"AUDI","A3",1647
2023,1,"AUDI","A4",2770
2023,1,"AUDI","A5",403
2023,1,"AUDI","A6",1796
2023,1,"AUDI","A7",109
2023,1,"AUDI","A8",111
2023,1,"AUDI","E-TRON GT",159
2023,1,"AUDI","Q2",668
2023,1,"AUDI","Q3",1930
2023,1,"AUDI","Q4",738
2023,1,"AUDI","Q5",1814
2023,1,"AUDI","Q7",172
2023,1,"AUDI","Q8",1537
2023,1,"AUDI","R8",11
2023,1,"AUDI","TT",150
2023,1,"BENTLEY","BENTAYGA",39
2023,1,"BENTLEY","CONTINENTAL",45
2023,1,"BMW","1ER",1072
2023,1,"BMW","2ER",1064
2023,1,"BMW","3ER",1620
2023,1,"BMW","4ER",819
2023,1,"BMW","5ER",1460
2023,1,"BMW","6ER",41
2023,1,"BMW","7ER",176
2023,1,"BMW","8ER",102
2023,1,"BMW","IX",149
2023,1,"BMW","X1",1213
2023,1,"BMW","X2",267
2023,1,"BMW","X3",1534
2023,1,"BMW","X4",338
2023,1,"BMW","X5",637
2023,1,"BMW","X6",161
2023,1,"BMW","X7",228
2023,1,"BMW","XM",38
2023,1,"BMW","Z4",158
2023,1,"BYD","ATTO 3",48
2023,1,"CADILLAC","ESCALADE",8
2023,1,"CADILLAC","XT4",35
2023,1,"CITROEN","BERLINGO",570
2023,1,"CITROEN","C3",572
2023,1,"CITROEN","C4",112
2023,1,"CITROEN","C5",437
2023,1,"CITROEN","JUMPER",533
2023,1,"CITROEN","JUMPY",45
2023,1,"DACIA","DUSTER",1670
2023,1,"DACIA","JOGGER",925
2023,1,"DACIA","SANDERO",2400
2023,1,"DACIA","SPRING",669
2023,1,"DS","DS3",11
2023,1,"DS","DS4",39
2023,1,"DS","DS7 CROSSBACK",28
2023,1,"FERRARI","296 GTB",28
2023,1,"FERRARI","F8",27
2023,1,"FERRARI","PORTOFINO",8
2023,1,"FERRARI","SF90",24
2023,1,"FIAT","500",2136
2023,1,"FIAT","DUCATO",1124
2023,1,"FIAT","PANDA",300
2023,1,"FIAT","TIPO",402
2023,1,"FORD","ECOSPORT",319
2023,1,"FORD","EXPLORER",52
2023,1,"FORD","FIESTA",1259
2023,1,"FORD","FOCUS",2098
2023,1,"FORD","GALAXY",58
2023,1,"FORD","KUGA",692
2023,1,"FORD","MONDEO",10
2023,1,"FORD","MUSTANG",75
2023,1,"FORD","MUSTANG MACH-E",57
2023,1,"FORD","PUMA",1810
2023,1,"FORD","S-MAX",180
2023,1,"FORD","TRANSIT CONNECT",131
2023,1,"FORD","TRANSIT, TOURNEO",1409
2023,1,"HONDA","CIVIC",97
2023,1,"HONDA","CR-V",121
2023,1,"HONDA","E",7
2023,1,"HONDA","HR-V",179
2023,1,"HONDA","JAZZ",99
2023,1,"HYUNDAI","BAYON",201
2023,1,"HYUNDAI","G70",21
2023,1,"HYUNDAI","G80",10
2023,1,"HYUNDAI","GV60",27
2023,1,"HYUNDAI","GV70",24
2023,1,"HYUNDAI","GV80",20
2023,1,"HYUNDAI","I 10",1704
2023,1,"HYUNDAI","I 20",647
2023,1,"HYUNDAI","I 30",861
2023,1,"HYUNDAI","IONIQ",11
2023,1,"HYUNDAI","IONIQ5",403
2023,1,"HYUNDAI","IONIQ6",8
2023,1,"HYUNDAI","KONA",1143
2023,1,"HYUNDAI","SANTA FE",171
2023,1,"HYUNDAI","STARIA",121
2023,1,"HYUNDAI","TUCSON",687
2023,1,"IVECO","DAILY",53
2023,1,"JAGUAR","E-PACE",30
2023,1,"JAGUAR","F-PACE",54
2023,1,"JAGUAR","F-TYPE",57
