"year","month","brand","ytd_registrations"
2023,1,"OPEL",1390
2023,1,"TOYOTA",1166
2023,1,"HYUNDAI",1143
2023,1,"CITROEN/DS",1114
2023,1,"PEUGEOT",952
2023,1,"VOLKSWAGEN",696
2023,1,"SUZUKI",522
2023,1,"KIA",385
2023,1,"RENAULT",343
2023,1,"FORD",309
2023,1,"NISSAN",307
2023,1,"AUDI",226
2023,1,"FIAT",211
2023,1,"DACIA",209
2023,1,"JEEP",206
2023,1,"VOLVO",205
2023,1,"MERCEDES",194
2023,1,"BMW",179
2023,1,"SEAT",175
2023,1,"SKODA",173
2023,1,"MAZDA",105
2023,1,"LAND_ROVER",61
2023,1,"MINI",56
2023,1,"ALFA_ROMEO",52
2023,1,"TESLA",43
2023,1,"CUPRA",35
2023,1,"PORSCHE",16
2023,1,"LEXUS",14
2023,1,"JAGUAR",13
2023,1,"HONDA",12
2023,1,"ABARTH",7
2023,1,"SUBARU",5
2023,1,"MASERATI",3
2023,1,"MITSUBISHI",2
2023,1,"SMART",2
2023,1,"LEAPMOTOR",1
2023,2,"TOYOTA",2404
2023,2,"PEUGEOT",2261
2023,2,"OPEL",2216
2023,2,"CITROEN/DS",2122
2023,2,"HYUNDAI",1807
2023,2,"VOLKSWAGEN",1206
2023,2,"SUZUKI",833
2023,2,"KIA",816
2023,2,"FORD",781
2023,2,"BMW",720
2023,2,"RENAULT",627
2023,2,"AUDI",553
2023,2,"NISSAN",517
2023,2,"DACIA",443
2023,2,"FIAT",430
2023,2,"MERCEDES",420
2023,2,"JEEP",404
2023,2,"SKODA",381
2023,2,"VOLVO",326
2023,2,"SEAT",324
2023,2,"MINI",167
2023,2,"MAZDA",144
2023,2,"TESLA",141
2023,2,"LAND_ROVER",120
2023,2,"ALFA_ROMEO",116
2023,2,"CUPRA",54
2023,2,"PORSCHE",36
2023,2,"HONDA",31
2023,2,"LEXUS",24
2023,2,"JAGUAR",22
2023,2,"SUBARU",13
2023,2,"ABARTH",12
2023,2,"SMART",7
2023,2,"MASERATI",4
2023,2,"MITSUBISHI",2
2023,2,"CHAUSSON",1
2023,2,"LEAPMOTOR",1
2023,2,"BENTLEY",1
2023,2,"LOTUS",1
2023,3,"TOYOTA",3988
2023,3,"OPEL",3501
2023,3,"CITROEN/DS",3166
2023,3,"PEUGEOT",2999
2023,3,"HYUNDAI",2703
2023,3,"VOLKSWAGEN",2203
2023,3,"FORD",1434
2023,3,"KIA",1411
2023,3,"SUZUKI",1339
2023,3,"BMW",1310
2023,3,"RENAULT",1086
2023,3,"AUDI",978
2023,3,"MERCEDES",859
2023,3,"NISSAN",857
2023,3,"DACIA",843
2023,3,"FIAT",818
2023,3,"SKODA",773
2023,3,"JEEP",601
2023,3,"SEAT",588
2023,3,"VOLVO",492
2023,3,"TESLA",477
2023,3,"MINI",365
2023,3,"MAZDA",225
2023,3,"LAND_ROVER",166
2023,3,"ALFA_ROMEO",164
2023,3,"CUPRA",158
2023,3,"PORSCHE",58
2023,3,"HONDA",49
2023,3,"JAGUAR",43
2023,3,"LEXUS",41
2023,3,"SUBARU",23
2023,3,"ABARTH",19
2023,3,"SMART",15
2023,3,"MASERATI",10
2023,3,"MITSUBISHI",3
2023,3,"LOTUS",2
2023,3,"LANCIA",1
2023,3,"LEAPMOTOR",1
2023,3,"CHAUSSON",1
2023,3,"BENTLEY",1
2023,3,"ZHIDOU",1
2023,4,"TOYOTA",5191
2023,4,"OPEL",4501
2023,4,"CITROEN/DS",4007
2023,4,"PEUGEOT",3637
2023,4,"HYUNDAI",3119
2023,4,"VOLKSWAGEN",3060
2023,4,"KIA",1939
2023,4,"BMW",1876
2023,4,"FORD",1861
2023,4,"SUZUKI",1682
2023,4,"RENAULT",1526
2023,4,"AUDI",1382
2023,4,"FIAT",1315
2023,4,"MERCEDES",1172
2023,4,"NISSAN",1112
2023,4,"DACIA",1108
2023,4,"SKODA",1064
2023,4,"JEEP",835
2023,4,"SEAT",787
2023,4,"VOLVO",617
2023,4,"TESLA",530
2023,4,"MINI",434
2023,4,"MAZDA",282
2023,4,"LAND_ROVER",247
2023,4,"ALFA_ROMEO",201
2023,4,"CUPRA",185
2023,4,"PORSCHE",74
2023,4,"LEXUS",61
2023,4,"HONDA",57
2023,4,"JAGUAR",48
2023,4,"SUBARU",34
2023,4,"ABARTH",23
2023,4,"MASERATI",17
2023,4,"SMART",15
2023,4,"MITSUBISHI",4
2023,4,"BENTLEY",2
2023,4,"LOTUS",2
2023,4,"LANCIA",1
2023,4,"LEAPMOTOR",1
2023,4,"CHAUSSON",1
2023,4,"ZHIDOU",1
2023,5,"TOYOTA",6844
2023,5,"OPEL",5895
2023,5,"CITROEN/DS",4672
2023,5,"PEUGEOT",4422
2023,5,"VOLKSWAGEN",4183
2023,5,"HYUNDAI",4089
2023,5,"BMW",2473
2023,5,"KIA",2435
2023,5,"SUZUKI",2266
2023,5,"FORD",2246
2023,5,"RENAULT",2101
2023,5,"MERCEDES",1854
2023,5,"AUDI",1756
2023,5,"NISSAN",1533
2023,5,"FIAT",1490
2023,5,"DACIA",1398
2023,5,"SKODA",1183
2023,5,"SEAT",1048
2023,5,"JEEP",932
2023,5,"VOLVO",891
2023,5,"MINI",783
2023,5,"TESLA",772
2023,5,"MAZDA",438
2023,5,"LAND_ROVER",316
2023,5,"CUPRA",248
2023,5,"ALFA_ROMEO",216
2023,5,"LEXUS",109
2023,5,"PORSCHE",95
2023,5,"HONDA",78
2023,5,"JAGUAR",53
2023,5,"SUBARU",45
2023,5,"SMART",26
2023,5,"ABARTH",25
2023,5,"MASERATI",21
2023,5,"MITSUBISHI",19
2023,5,"BYD",4
2023,5,"BENTLEY",2
2023,5,"LOTUS",2
2023,5,"CHAUSSON",1
2023,5,"LANCIA",1
2023,5,"LEAPMOTOR",1
2023,5,"ZHIDOU",1
2023,5,"LEVC",1
2023,6,"TOYOTA",8703
2023,6,"OPEL",6984
2023,6,"CITROEN/DS",5732
2023,6,"PEUGEOT",5415
2023,6,"VOLKSWAGEN",5112
