"year","month","brand","registrations"
2023,1,"BYD",344
2023,1,"TESLA",316
2023,1,"MERCEDES_BENZ",222
2023,1,"B.M.W.",201
2023,1,"PORSCHE",132
2023,1,"KIA",97
2023,1,"M.G.",87
2023,1,"VOLVO",56
2023,1,"NISSAN",21
2023,1,"HYUNDAI",18
2023,1,"AUDI",13
2023,1,"MINI",10
2023,1,"POLESTAR",2
2023,1,"ORA",2
2023,2,"TESLA",1421
2023,2,"B.M.W.",387
2023,2,"MERCEDES_BENZ",194
2023,2,"PORSCHE",161
2023,2,"KIA",123
2023,2,"M.G.",99
2023,2,"BYD",87
2023,2,"VOLVO",62
2023,2,"NISSAN",23
2023,2,"POLESTAR",19
2023,2,"AUDI",16
2023,2,"HYUNDAI",10
2023,2,"MINI",6
2023,2,"FIAT",4
2023,2,"PEUGEOT",1
2023,3,"TESLA",1051
2023,3,"B.M.W.",354
2023,3,"BYD",216
2023,3,"MERCEDES_BENZ",142
2023,3,"KIA",108
2023,3,"M.G.",102
2023,3,"VOLVO",81
2023,3,"HYUNDAI",61
2023,3,"NISSAN",44
2023,3,"PORSCHE",38
2023,3,"POLESTAR",38
2023,3,"AUDI",9
2023,3,"MINI",5
2023,3,"FORD",2
2023,4,"TESLA",634
2023,4,"B.M.W.",284
2023,4,"BYD",260
2023,4,"MERCEDES_BENZ",214
2023,4,"M.G.",82
2023,4,"VOLVO",54
2023,4,"KIA",52
2023,4,"NISSAN",47
2023,4,"PORSCHE",25
2023,4,"POLESTAR",24
2023,4,"HYUNDAI",12
2023,4,"MINI",4
2023,4,"AUDI",4
2023,4,"PEUGEOT",2
2023,4,"JAGUAR",1
2023,4,"FIAT",1
2023,5,"TESLA",785
2023,5,"B.M.W.",638
2023,5,"MERCEDES_BENZ",432
2023,5,"BYD",338
2023,5,"M.G.",76
2023,5,"NISSAN",69
2023,5,"HYUNDAI",64
2023,5,"ORA",58
2023,5,"KIA",53
2023,5,"PORSCHE",44
2023,5,"VOLVO",39
2023,5,"POLESTAR",31
2023,5,"MINI",25
2023,5,"LEXUS",17
2023,5,"AUDI",6
2023,6,"TESLA",678
2023,6,"B.M.W.",624
2023,6,"MERCEDES_BENZ",409
2023,6,"BYD",306
2023,6,"LEXUS",176
2023,6,"M.G.",65
2023,6,"KIA",53
2023,6,"ORA",42
2023,6,"NISSAN",39
2023,6,"PORSCHE",30
2023,6,"POLESTAR",30
2023,6,"HYUNDAI",29
2023,6,"MINI",25
2023,6,"VOLVO",19
2023,6,"AUDI",8
2023,6,"MAXUS",6
2023,6,"PEUGEOT",2
2023,6,"FIAT",2
2023,6,"JAGUAR",1
2023,7,"TESLA",647
2023,7,"B.M.W.",402
2023,7,"MERCEDES_BENZ",376
2023,7,"BYD",243
2023,7,"M.G.",139
2023,7,"HYUNDAI",99
2023,7,"LEXUS",82
2023,7,"PORSCHE",64
2023,7,"KIA",51
2023,7,"ORA",45
2023,7,"NISSAN",36
2023,7,"MAXUS",34
2023,7,"POLESTAR",19
2023,7,"AUDI",16
2023,7,"MINI",15
2023,7,"VOLVO",7
2023,7,"TOYOTA",1
2023,8,"TESLA",883
2023,8,"B.M.W.",499
2023,8,"MERCEDES_BENZ",380
2023,8,"BYD",293
2023,8,"MAXUS",157
2023,8,"M.G.",139
2023,8,"HYUNDAI",83
2023,8,"PORSCHE",66
2023,8,"LEXUS",52
2023,8,"KIA",48
2023,8,"NISSAN",42
2023,8,"ORA",31
2023,8,"AUDI",29
2023,8,"POLESTAR",19
2023,8,"MINI",19
2023,8,"VOLVO",3
2023,8,"FIAT",2
2023,8,"PEUGEOT",1
2023,8,"MITSUBISHI",1
2023,9,"TESLA",743
2023,9,"B.M.W.",344
2023,9,"MERCEDES_BENZ",293
2023,9,"BYD",293
2023,9,"MAXUS",158
2023,9,"M.G.",95
2023,9,"HYUNDAI",68
2023,9,"PORSCHE",49
2023,9,"KIA",41
2023,9,"NISSAN",38
2023,9,"LEXUS",31
2023,9,"VOLVO",29
2023,9,"ORA",19
2023,9,"POLESTAR",18
2023,9,"MINI",15
2023,9,"AUDI",14
2023,9,"PEUGEOT",4
2023,9,"FIAT",3
2023,10,"TESLA",715
2023,10,"B.M.W.",478
2023,10,"BYD",342
2023,10,"MERCEDES_BENZ",267
2023,10,"MAXUS",171
2023,10,"M.G.",125
2023,10,"HYUNDAI",56
2023,10,"PORSCHE",38
2023,10,"KIA",34
2023,10,"MINI",28
2023,10,"ORA",27
2023,10,"LEXUS",24
2023,10,"NISSAN",22
2023,10,"POLESTAR",17
2023,10,"AUDI",17
2023,10,"VOLVO",14
2023,10,"DFSK",10
2023,10,"PEUGEOT",3
2023,11,"TESLA",673
2023,11,"BYD",509
2023,11,"B.M.W.",354
2023,11,"MERCEDES_BENZ",332
2023,11,"MAXUS",229
2023,11,"M.G.",114
2023,11,"HYUNDAI",81
2023,11,"MINI",43
2023,11,"KIA",36
2023,11,"ORA",35
2023,11,"NISSAN",33
2023,11,"DFSK",25
2023,11,"LEXUS",22
2023,11,"PORSCHE",20
2023,11,"POLESTAR",12
2023,11,"AUDI",8
2023,11,"VOLVO",6
2023,11,"PEUGEOT",5
2023,11,"SGMW",1
2023,12,"TESLA",1093
2023,12,"BYD",489
2023,12,"B.M.W.",416
2023,12,"MERCEDES_BENZ",342
2023,12,"MAXUS",164
2023,12,"HYUNDAI",84
2023,12,"PORSCHE",76
2023,12,"M.G.",71
2023,12,"VOLVO",70
2023,12,"KIA",42
2023,12,"MINI",39
2023,12,"ORA",32
2023,12,"NISSAN",26
2023,12,"LEXUS",26
2023,12,"POLESTAR",23
2023,12,"PEUGEOT",12
2023,12,"DFSK",12
2023,12,"HONDA",9
2023,12,"AUDI",6
2023,12,"SGMW",1
2024,1,"TESLA",953
2024,1,"BYD",900
2024,1,"MERCEDES_BENZ",281
2024,1,"B.M.W.",276
2024,1,"MAXUS",170
2024,1,"M.G.",151
2024,1,"KIA",137
2024,1,"HYUNDAI",63
2024,1,"NISSAN",35
2024,1,"LEXUS",29
2024,1,"PORSCHE",27
2024,1,"HONDA",24
2024,1,"VOLVO",21
2024,1,"ORA",16
2024,1,"POLESTAR",14
2024,1,"DFSK",14
2024,1,"PEUGEOT",13
2024,1,"AUDI",11
2024,1,"MINI",3
2024,1,"SGMW",1
2024,1,"FIAT",1
2024,2,"TESLA",1520
2024,2,"BYD",658
2024,2,"MERCEDES_BENZ",279
2024,2,"B.M.W.",241
2024,2,"MAXUS",199
2024,2,"M.G.",133
2024,2,"KIA",105
2024,2,"VOLVO",92
2024,2,"TOYOTA",62
2024,2,"HONDA",46
2024,2,"HYUNDAI",24
2024,2,"ORA",22
