"year","month","model","registrations"
2023,1,"ATTO_3",335
2023,1,"MODEL_Y_RWD",285
2023,1,"IX3_M_SPORT_EDITION_(G08)",110
2023,1,"EQA_250_(H243)",109
2023,1,"TAYCAN",107
2023,1,"EQB_250_(X243)",65
2023,1,"EV6_DELUXE",60
2023,1,"MG_ZS_EV",56
2023,1,"I4_M50_GRAN_COUPE_(G26)",53
2023,1,"IX_XDRIVE40_(I20)",38
2023,1,"MG5_SW_EV",31
2023,1,"XC40_P8_RECHARGE_PRO",29
2023,1,"TAYCAN_4_CROSS_TURISMO",21
2023,1,"MODEL_Y_LONG_RANGE_DUAL_MOTOR_ALL_WHEEL_DRIVE",19
2023,1,"EV6",18
2023,1,"EQA_350_4MATIC_(H243)",16
2023,1,"EQS_450+_(V297)",14
2023,1,"C40_P8_RECHARGE_PRO",13
2023,1,"EQE_350+_(V295)",12
2023,1,"E_TRON_55_QUATTRO",10
2023,1,"XC40_P6_RECHARGE_PRO",9
2023,1,"MINI_COOPER_S_E_AUTOMATIC_(F56)",9
2023,1,"LEAF_LUX",9
2023,1,"E6",9
2023,1,"NIRO_EV_DELUXE",8
2023,1,"EV6_GT_LINE",8
2023,1,"KONA_ELECTRIC",7
2023,1,"IONIQ_5_R+",5
2023,1,"C40_P6_RECHARGE_PRO",5
2023,1,"TAYCAN_GTS",4
2023,1,"MODEL_Y_PERFORMANCE_DUAL_MOTOR_ALL_WHEEL_DRIVE",4
2023,1,"MODEL_3_PERFORMANCE_DUAL_MOTOR_ALL_WHEEL_DRIVE",4
2023,1,"LEAF",4
2023,1,"NIRO_EV",3
2023,1,"IONIQ_5_AWD_(URBAN)",3
2023,1,"EQC_400_4MATIC_(N293)",3
2023,1,"MODEL_3_LONG_RANGE_DUAL_MOTOR_ALL_WHEEL_DRIVE",2
2023,1,"LEAF_XV_SELECTION",2
2023,1,"LEAF_E+_G",2
2023,1,"KONA_ELECTRIC_RANGE+",2
2023,1,"EQV300_LONG",2
2023,1,"E_TRON_50_QUATTRO",2
2023,1,"RS_E_TRON_GT",1
2023,1,"POLESTAR_2_STANDARD_RANGE_SINGLE_MOTOR",1
2023,1,"POLESTAR_2_LONG_RANGE_SINGLE_MOTOR",1
2023,1,"MODEL_Y_STANDARD_RANGE_REAR_WHEEL_DRIVE",1
2023,1,"MODEL_3_RWD",1
2023,1,"LEAF_NISMO",1
2023,1,"LEAF_E+G",1
2023,1,"LEAF_E+_X",1
2023,1,"IONIQ_ELECTRIC",1
2023,1,"FUNKY_CAT_400_PRO",1
2023,1,"FUNKY_CAT_300",1
2023,1,"EQC_400",1
2023,1,"E_NV200_WAGON_G",1
2023,1,"COOPER_S_ELECTRIC",1
2023,2,"MODEL_Y_RWD",1218
2023,2,"I4_M50_GRAN_COUPE_(G26)",182
2023,2,"MODEL_3_RWD",163
2023,2,"TAYCAN",141
2023,2,"IX_XDRIVE40_(I20)",139
2023,2,"MG_ZS_EV",89
2023,2,"ATTO_3",81
2023,2,"EQA_250_(H243)",74
2023,2,"EQB_250_(X243)",67
2023,2,"EV6_DELUXE",64
2023,2,"IX3_M_SPORT_EDITION_(G08)",61
2023,2,"XC40_P6_RECHARGE_PRO",36
2023,2,"EV6",23
2023,2,"EQE_350+_(V295)",23
2023,2,"EV6_GT_LINE",17
2023,2,"NIRO_EV_DELUXE",16
2023,2,"TAYCAN_4_CROSS_TURISMO",15
2023,2,"MODEL_Y_LONG_RANGE_DUAL_MOTOR_ALL_WHEEL_DRIVE",15
2023,2,"MODEL_Y_PERFORMANCE_DUAL_MOTOR_ALL_WHEEL_DRIVE",14
2023,2,"XC40_P8_RECHARGE_PRO",13
2023,2,"POLESTAR_2_STANDARD_RANGE_SINGLE_MOTOR",13
2023,2,"EQA_350_4MATIC_(H243)",13
2023,2,"EQS_450+_(V297)",12
2023,2,"LEAF_LUX",11
2023,2,"MG5_SW_EV",10
2023,2,"LEAF",10
2023,2,"MODEL_3_LONG_RANGE_DUAL_MOTOR_ALL_WHEEL_DRIVE",7
2023,2,"E_TRON_55_QUATTRO",7
2023,2,"C40_P8_RECHARGE_PRO",7
2023,2,"MINI_COOPER_S_E_AUTOMATIC_(F56)",6
2023,2,"E6",6
2023,2,"E_TRON_50_QUATTRO",6
2023,2,"C40_P6_RECHARGE_PRO",6
2023,2,"POLESTAR_2_LONG_RANGE_SINGLE_MOTOR",4
2023,2,"MODEL_3_PERFORMANCE_DUAL_MOTOR_ALL_WHEEL_DRIVE",4
2023,2,"I4_EDRIVE40_GRAN_COUPE_M_SPORT_EDITION_(G26)",4
2023,2,"NEW_500_ELECTRIC_HATCHBACK_LA_PRIMA",3
2023,2,"KONA_ELECTRIC_PE_(URBAN)",3
2023,2,"KONA_ELECTRIC",3
2023,2,"TAYCAN_GTS",2
2023,2,"TAYCAN_4S_CROSS_TURISMO",2
2023,2,"SOUL_EV+",2
2023,2,"POLESTAR_2_LONG_RANGE_DUAL_MOTOR",2
2023,2,"MERCEDES_AMG_EQE43_4M_(V295)",2
2023,2,"IONIQ_ELECTRIC",2
2023,2,"EQC_400_4MATIC_(N293)",2
2023,2,"E_TRON_GT",2
2023,2,"TAYCAN_4S",1
2023,2,"RS_E_TRON_GT",1
2023,2,"NIRO_EV",1
2023,2,"NEW_500_ELECTRIC_HATCHBACK_ICON",1
2023,2,"LEAF_NISMO",1
2023,2,"LEAF_E+G",1
2023,2,"KONA_ELECTRIC_RANGE+",1
2023,2,"IONIQ_5_R+",1
2023,2,"I7_XDRIVE60_(G70)",1
2023,2,"EQV300_LONG",1
2023,2,"E_TRAVELLER_8_SEATER_MPV",1
2023,3,"MODEL_Y_RWD",802
2023,3,"ATTO_3",204
2023,3,"IX3_M_SPORT_EDITION_(G08)",159
2023,3,"MODEL_3_RWD",153
2023,3,"IX_XDRIVE40_(I20)",129
2023,3,"MG_ZS_EV",67
2023,3,"I4_M50_GRAN_COUPE_(G26)",64
2023,3,"EV6_DELUXE",52
2023,3,"EQB_250_(X243)",50
2023,3,"XC40_P6_RECHARGE_PRO",49
2023,3,"KONA_ELECTRIC",49
2023,3,"MODEL_Y_LONG_RANGE_DUAL_MOTOR_ALL_WHEEL_DRIVE",45
2023,3,"EQA_250_(H243)",43
2023,3,"MODEL_Y_PERFORMANCE_DUAL_MOTOR_ALL_WHEEL_DRIVE",36
2023,3,"TAYCAN",30
2023,3,"POLESTAR_2_STANDARD_RANGE_SINGLE_MOTOR",24
2023,3,"EV6",23
2023,3,"NIRO_EV_DELUXE",22
2023,3,"C40_P6_RECHARGE_PRO",22
2023,3,"MG4_ELECTRIC",20
2023,3,"LEAF_LUX",18
2023,3,"MG5_SW_EV",15
2023,3,"EQE_350+_(V295)",15
2023,3,"EQS_450+_(V297)",14
2023,3,"LEAF",12
2023,3,"EQA_350_4MATIC_(H243)",12
2023,3,"E6",12
2023,3,"POLESTAR_2_LONG_RANGE_DUAL_MOTOR",9
2023,3,"MODEL_3_LONG_RANGE_DUAL_MOTOR_ALL_WHEEL_DRIVE",9
2023,3,"KONA_ELECTRIC_RANGE+",9
2023,3,"EV6_GT_LINE",9
2023,3,"MODEL_3_PERFORMANCE_DUAL_MOTOR_ALL_WHEEL_DRIVE",6
2023,3,"XC40_P8_RECHARGE_PRO",5
2023,3,"POLESTAR_2_LONG_RANGE_SINGLE_MOTOR",5
2023,3,"MINI_COOPER_S_E_AUTOMATIC_(F56)",5
2023,3,"LEAF_E+_G",5
2023,3,"EQC_400_4MATIC_(N293)",5
2023,3,"E_TRON_GT",5
2023,3,"C40_P8_RECHARGE_PRO",5
2023,3,"TAYCAN_4_CROSS_TURISMO",4
2023,3,"LEAF_E+_X",4
2023,3,"IONIQ_5_R+",3
2023,3,"E_TRON_50_QUATTRO",3
2023,3,"TAYCAN_4S_CROSS_TURISMO",2
2023,3,"LEAF_E+G",2
2023,3,"EQV300_LONG",2
2023,3,"TAYCAN_TURBO_S",1
2023,3,"TAYCAN_GTS",1
2023,3,"SOUL_EV+",1
2023,3,"SMART_FORTWO_CABRIO_ELECTRIC_DRIVE_(A453)",1
2023,3,"NIRO_EV",1
2023,3,"MUSTANG_MACH_E_SELECT",1
2023,3,"MUSTANG_MACH_E_PREMIUM",1
2023,3,"LEAF_X",1
2023,3,"LEAF_G",1
2023,3,"LEAF_E+AUTECH",1
2023,3,"IX1_XDRIVE30_XLINE_(U11)",1
2023,3,"I4_EDRIVE40_GRAN_COUPE_(G26)",1
2023,3,"E_TRON_55_QUATTRO",1
2023,4,"MODEL_Y_RWD",545
2023,4,"ATTO_3",253
2023,4,"IX3_M_SPORT_EDITION_(G08)",110
2023,4,"EQA_250_(H243)",96
2023,4,"MODEL_3_RWD",78
2023,4,"EQB_250_(X243)",64
2023,4,"IX_XDRIVE40_(I20)",60
2023,4,"MG_ZS_EV",51
2023,4,"I4_EDRIVE35_(G26)",33
2023,4,"MG4_ELECTRIC",29
2023,4,"C40_P6_RECHARGE_PRO",29
2023,4,"EQE_350+_(V295)",27
2023,4,"I4_M50_GRAN_COUPE_(G26)",24
2023,4,"IX1_XDRIVE30_XLINE_(U11)",23
2023,4,"LEAF_LUX",22
2023,4,"LEAF",21
2023,4,"IX1_XDRIVE30_M_SPORT_EDITION_(U11)",19
2023,4,"XC40_P6_RECHARGE_PRO",16
2023,4,"POLESTAR_2_LONG_RANGE_DUAL_MOTOR",16
2023,4,"EV6_DELUXE",16
2023,4,"EV6",16
2023,4,"TAYCAN",13
2023,4,"EQA_350_4MATIC_(H243)",13
2023,4,"EQS_450+_(V297)",12
2023,4,"TAYCAN_4_CROSS_TURISMO",10
2023,4,"KONA_ELECTRIC",10
2023,4,"I4_EDRIVE40_GRAN_COUPE_M_SPORT_EDITION_(G26)",10
2023,4,"XC40_P8_RECHARGE_PRO",9
2023,4,"NIRO_EV_DELUXE",9
2023,4,"MODEL_Y_LONG_RANGE_DUAL_MOTOR_ALL_WHEEL_DRIVE",9
2023,4,"POLESTAR_2_STANDARD_RANGE_SINGLE_MOTOR",8
2023,4,"EV6_GT_LINE",7
2023,4,"E6",7
2023,4,"MINI_COOPER_S_E_AUTOMATIC_(F56)",4
2023,4,"NIRO_PLUS",3
2023,4,"E_TRON_50_QUATTRO",3
2023,4,"TAYCAN_GTS",2
