"year","month","brand","registrations"
2023,1,"TOYOTA",155
2023,1,"KIA",120
2023,1,"RENAULT",105
2023,1,"HYUNDAI",70
2023,1,"VOLVO",49
2023,1,"VOLKSWAGEN, VW",40
2023,1,"MERCEDES-BENZ",34
2023,1,"VINNUVÉL",33
2023,1,"POLARIS",29
2023,1,"DACIA",28
2023,1,"SKODA",28
2023,1,"LYNX",27
2023,1,"MAZDA",27
2023,1,"LAND ROVER",25
2023,1,"CFMOTO",20
2023,1,"AUDI",19
2023,1,"FORD",14
2023,1,"OPEL",14
2023,1,"BMW",13
2023,1,"AIWAYS",12
2023,1,"ARCTIC CAT",12
2023,1,"MAXUS",11
2023,1,"PORSCHE",11
2023,1,"SUZUKI",11
2023,1,"CAN-AM",10
2023,1,"MITSUBISHI",9
2023,1,"SCANIA",9
2023,1,"JANSTEEL",8
2023,1,"MAN",8
2023,1,"NISSAN",8
2023,1,"PEUGEOT",8
2023,1,"SKI-DOO",7
2023,1,"DODGE",6
2023,1,"HONDA",6
2023,1,"ODES",6
2023,1,"SUBARU",6
2023,1,"HENGIVAGN",5
2023,1,"IVECO",5
2023,1,"JEEP",5
2023,1,"POLESTAR",5
2023,1,"SOLIS",5
2023,1,"SSANGYONG",5
2023,1,"TESLA",5
2023,1,"DFSK",4
2023,1,"FAW",4
2023,1,"KAYO",4
2023,1,"NIEWIADOW",4
2023,1,"CLAAS",3
2023,1,"GREAT WALL MOTOR COMPANY",3
2023,1,"ISUZU",3
2023,1,"MASSEY FERGUSON",3
2023,1,"PÖSSL",3
2023,1,"VALTRA",3
2023,1,"YUNQUE",3
2023,1,"CAPRON",2
2023,1,"CITROEN",2
2023,1,"EKERI",2
2023,1,"EUROWAGON",2
2023,1,"FENDT",2
2023,1,"HUSQVARNA",2
2023,1,"INDESPENSION",2
2023,1,"JUZJADE",2
2023,1,"LEXUS",2
2023,1,"MG",2
2023,1,"POESSL",2
2023,1,"SEGWAY",2
2023,1,"TABBERT",2
2023,1,"TIKI",2
2023,1,"ADRIA",1
2023,1,"BENIMAR",1
2023,1,"BRENDERUP",1
2023,1,"COMBI CAMP",1
2023,1,"FANTIC MOTOR",1
2023,1,"GIOTTILINE",1
2023,1,"GOES",1
2023,1,"JAGUAR",1
2023,1,"JPM TRAILERS",1
2023,1,"KEMPF",1
2023,1,"KNAUS",1
2023,1,"MEILLER",1
2023,1,"NEW HOLLAND",1
2023,1,"NUGENT",1
2023,1,"ROYAL ENFIELD",1
2023,1,"SCHMIDT",1
2023,1,"SCHMITZ",1
2023,1,"TA-NO",1
2023,1,"TOMPLAN",1
2023,1,"TRITON",1
2023,1,"V OG Þ",1
2023,1,"WELGRO",1
2023,2,"TESLA",172
2023,2,"TOYOTA",108
2023,2,"KIA",81
2023,2,"PEUGEOT",64
2023,2,"HYUNDAI",62
2023,2,"VOLKSWAGEN, VW",58
2023,2,"RENAULT",56
2023,2,"VOLVO",48
2023,2,"MAZDA",43
2023,2,"DACIA",42
2023,2,"MERCEDES-BENZ",39
2023,2,"FORD",38
2023,2,"LAND ROVER",35
2023,2,"OPEL",33
2023,2,"POLARIS",30
2023,2,"LYNX",29
2023,2,"MG",26
2023,2,"SKODA",26
2023,2,"JEEP",22
2023,2,"VINNUVÉL",21
2023,2,"MAXUS",19
2023,2,"LEXUS",15
2023,2,"POLESTAR",15
2023,2,"DODGE",14
2023,2,"BMW",11
2023,2,"HONDA",9
2023,2,"SCANIA",9
2023,2,"AUDI",8
2023,2,"FAW",8
2023,2,"AIWAYS",7
2023,2,"CITROEN",7
2023,2,"GOES",7
2023,2,"JANSTEEL",7
2023,2,"MARTZ",7
2023,2,"NISSAN",7
2023,2,"SUBARU",7
2023,2,"ODES",6
2023,2,"NIEWIADOW",5
2023,2,"YAMAHA",5
2023,2,"CAN-AM",4
2023,2,"CFMOTO",4
2023,2,"HENGIVAGN",4
2023,2,"MASSEY FERGUSON",4
2023,2,"QUADDY",4
2023,2,"SKI-DOO",4
2023,2,"FUEL PROOF",3
2023,2,"KTM",3
2023,2,"MITSUBISHI",3
2023,2,"PORSCHE",3
2023,2,"PÖSSL",3
2023,2,"SUZUKI",3
2023,2,"ADRIA",2
2023,2,"ANSSEMS",2
2023,2,"ARCTIC CAT",2
2023,2,"CARETTA",2
2023,2,"DFSK",2
2023,2,"GOUPIL",2
2023,2,"HERMIO PRIEKABOS",2
2023,2,"IVECO",2
2023,2,"KAYO",2
2023,2,"KYMCO",2
2023,2,"LIDER LOWBED",2
2023,2,"SEGWAY",2
2023,2,"SOLIS",2
2023,2,"SSANGYONG",2
2023,2,"STEMA",2
2023,2,"VARIANT",2
2023,2,"BATESON",1
2023,2,"BLOMERT",1
