"year","month","model","registrations"
2023,1,"TRAFIC",76
2023,1,"LAND CRUISER (150 SERIES)",60
2023,1,"CEED",40
2023,1,"(BLANK)",36
2023,1,"TUCSON",28
2023,1,"SPORTAGE",27
2023,1,"DUSTER",24
2023,1,"SHREDDER RE",22
2023,1,"SORENTO",19
2023,1,"YARIS",19
2023,1,"I20",18
2023,1,"DEFENDER",17
2023,1,"PICANTO",16
2023,1,"CFORCE450L",15
2023,1,"COROLLA",15
2023,1,"YARIS CROSS",15
2023,1,"XC60",14
2023,1,"XC90",14
2023,1,"MAZDA2",12
2023,1,"RAV4",12
2023,1,"U5",12
2023,1,"CAPTUR (E-TECH PLUG-IN HY",11
2023,1,"CORSA",11
2023,1,"EUNIQ 6",11
2023,1,"I 30",11
2023,1,"KODIAQ",11
2023,1,"XC40",11
2023,1,"NIRO",10
2023,1,"ECLIPSE CROSS",9
2023,1,"ID.5 GTX 220 KW",9
2023,1,"MASTER",9
2023,1,"ID.4 GTX 220 KW",8
2023,1,"JR 770 40",8
2023,1,"SPRINTER",8
2023,1,"HIGHLANDER",7
2023,1,"HILUX",7
2023,1,"I10",7
2023,1,"KUGA",7
2023,1,"MAVERICK",7
2023,1,"PROACE",7
2023,1,"VITARA",7
2023,1,"C40",6
2023,1,"FREERIDE",6
2023,1,"ID. BUZZ CARGO 150 KW",6
2023,1,"PATHCROSS MAX PRO",6
2023,1,"RAM 3500",6
2023,1,"TGE",6
2023,1,"26",5
2023,1,"850 RMK PRO",5
2023,1,"AYGO X",5
2023,1,"E-TRON SPORTBACK 55",5
2023,1,"HESTAKERRA",5
2023,1,"LEAF",5
2023,1,"MAZDA CX-30",5
2023,1,"POLESTAR 2",5
2023,1,"REXTON",5
2023,1,"RZR",5
2023,1,"SOLTERRA",5
2023,1,"TAYCAN 4",5
2023,1,"ZR 6000",5
2023,1,"600",4
2023,1,"CR-V",4
2023,1,"E-HS9",4
2023,1,"ENYAQ 80X",4
2023,1,"EQA 300 4MATIC",4
2023,1,"E-TRON 55",4
2023,1,"EV6",4
2023,1,"IONIQ5",4
2023,1,"MATRIX",4
2023,1,"MAZDA CX-60",4
2023,1,"OCTAVIA",4
2023,1,"PROACE CITY",4
2023,1,"RAVE 600RS",4
2023,1,"RIOT",4
2023,1,"SERES 3",4
2023,1,"SOUL",4
2023,1,"BR3",3
2023,1,"CADDY",3
2023,1,"COMPASS",3
2023,1,"CROSSWAY",3
2023,1,"DISCOVERY",3
2023,1,"DISCOVERY SPORT",3
2023,1,"ENYAQ 80",3
2023,1,"E-PARTNER",3
2023,1,"EQC 400 4MATIC",3
2023,1,"EQS 580 4MATIC",3
2023,1,"FH16",3
2023,1,"IX XDRIVE40",3
2023,1,"KAMIQ",3
2023,1,"MAZDA3",3
2023,1,"ORA FUNKY CAT",3
2023,1,"OUTLANDER",3
2023,1,"R500",3
2023,1,"RANGER",3
2023,1,"SUMMIT 540",3
2023,1,"TAYCAN",3
2023,1,"TRANSPORTER",3
2023,1,"VIVARO",3
2023,1,"X3 XDRIVE30E",3
2023,1,"ZOE",3
2023,1,"21",2
2023,1,"650 INDY",2
2023,1,"800 TITAN",2
2023,1,"ACTROS",2
2023,1,"AD35105",2
2023,1,"BRONCO",2
2023,1,"BZ4X",2
2023,1,"CAYENNE E-HYBRID",2
2023,1,"CFORCE 625 TOURING",2
2023,1,"EQS 450 4MATIC",2
2023,1,"EXPERT",2
2023,1,"EXPLORER",2
2023,1,"FE 501",2
2023,1,"G 400 D",2
2023,1,"GLE 350 DE 4MATIC",2
2023,1,"HPL150PG007304BG",2
2023,1,"ID.4 PRO 128 KW",2
2023,1,"IX XDRIVE50",2
2023,1,"JOGGER",2
2023,1,"JUMPY",2
2023,1,"KANGOO",2
2023,1,"M 8000",2
2023,1,"MAZDA MX-30",2
2023,1,"MG MARVEL R ELECTRIC",2
2023,1,"MODEL S",2
2023,1,"NX450H+",2
2023,1,"Q4 45 E-TRON",2
2023,1,"Q4 50 E-TRON",2
2023,1,"Q4 SPORTBACK 50 E-TRON",2
2023,1,"QASHQAI",2
2023,1,"R2",2
2023,1,"R560",2
2023,1,"SPORTSMAN",2
2023,1,"SPRING",2
2023,1,"WRANGLER UNLIMITED",2
2023,1,"X7 XDRIVE40D",2
2023,1,"ZFORCE 1000SPORT",2
2023,1,"14T DUMP TRAILER",1
2023,1,"208",1
2023,1,"211P VARIO",1
2023,1,"314 VARIO",1
2023,1,"5420W",1
2023,1,"550",1
2023,1,"550L",1
2023,1,"60T",1
2023,1,"650 RMK",1
2023,1,"70C21",1
2023,1,"850 INDY",1
2023,1,"97 WSL 43-32",1
2023,1,"A115",1
2023,1,"ALPINA",1
2023,1,"AMG G 63",1
2023,1,"ARION 450",1
2023,1,"ARION 470",1
2023,1,"ARKANA E-TECH",1
2023,1,"AROCS",1
2023,1,"AT260SY/FS",1
2023,1,"ATV",1
2023,1,"AU125",1
2023,1,"AXION 870",1
2023,1,"AY70",1
2023,1,"BAYON",1
2023,1,"BLAST",1
2023,1,"BR2",1
2023,1,"C540",1
2023,1,"CFORCE520L",1
2023,1,"C-HR",1
2023,1,"CITAN",1
2023,1,"CLIO (E-TECH HYBRID)",1
2023,1,"COMBI CAMP",1
2023,1,"CONTINENTAL GT 650",1
2023,1,"CP410-DRBH",1
2023,1,"CRAFTER",1
2023,1,"CVE600",1
2023,1,"CX-5",1
2023,1,"ENYAQ 60",1
2023,1,"ENYAQ RS",1
2023,1,"E-RIFTER",1
2023,1,"ESPRINTER",1
2023,1,"E-TRON S SPORTBACK",1
2023,1,"EXPERT TRAVELLER",1
2023,1,"FE",1
2023,1,"FLUTNINGSKERRA",1
2023,1,"FORESTER",1
2023,1,"FRIEDRICH",1
2023,1,"G135",1
2023,1,"G500",1
2023,1,"G540",1
2023,1,"GLE 350 DE 4MATIC COUPE",1
2023,1,"GLE 350 E 4MATIC",1
