"year","month","brand","registrations","market_share"
2023,1,"TOYOTA",4437,16.23
2023,1,"HYUNDAI",3700,13.53
2023,1,"VOLKSWAGEN",2551,9.33
2023,1,"SKODA",2062,7.54
2023,1,"KIA",1681,6.15
2023,1,"FORD",1514,5.54
2023,1,"DACIA",1404,5.13
2023,1,"PEUGEOT",1163,4.25
2023,1,"AUDI",1138,4.16
2023,1,"BMW",1012,3.7
2023,1,"RENAULT",927,3.39
2023,1,"NISSAN",869,3.18
2023,1,"MERCEDES-BENZ",787,2.88
2023,1,"OPEL",786,2.87
2023,1,"SEAT",612,2.24
2023,1,"SUZUKI",532,1.95
2023,1,"VOLVO",365,1.33
2023,1,"CITROEN",343,1.25
2023,1,"MAZDA",289,1.06
2023,1,"CUPRA",235,0.86
2023,1,"MINI",153,0.56
2023,1,"PORSCHE",152,0.56
2023,1,"LAND ROVER",134,0.49
2023,1,"LEXUS",113,0.41
2023,1,"MG",92,0.34
2023,1,"FIAT",68,0.25
2023,1,"DS",61,0.22
2023,1,"HONDA",50,0.18
2023,1,"POLESTAR",36,0.13
2023,1,"ALFA ROMEO",23,0.08
2023,1,"JAGUAR",23,0.08
2023,1,"JEEP",21,0.08
2023,1,"SUBARU",5,0.02
2023,1,"SSANGYONG",3,0.01
2023,1,"LAMBORGHINI",2,0.01
2023,1,"TESLA",1,0
2023,2,"TOYOTA",1711,13.04
2023,2,"VOLKSWAGEN",1416,10.79
2023,2,"HYUNDAI",1405,10.71
2023,2,"SKODA",1228,9.36
2023,2,"KIA",1183,9.02
2023,2,"FORD",678,5.17
2023,2,"BMW",640,4.88
2023,2,"AUDI",617,4.7
2023,2,"DACIA",605,4.61
2023,2,"PEUGEOT",507,3.86
2023,2,"NISSAN",407,3.1
2023,2,"SEAT",383,2.92
2023,2,"RENAULT",342,2.61
2023,2,"MERCEDES-BENZ",327,2.49
2023,2,"VOLVO",244,1.86
2023,2,"CUPRA",209,1.59
2023,2,"OPEL",191,1.46
2023,2,"MAZDA",177,1.35
2023,2,"SUZUKI",162,1.23
2023,2,"CITROEN",97,0.74
2023,2,"MINI",97,0.74
2023,2,"LAND ROVER",93,0.71
2023,2,"LEXUS",85,0.65
2023,2,"FIAT",82,0.62
2023,2,"PORSCHE",52,0.4
2023,2,"MG",46,0.35
2023,2,"POLESTAR",42,0.32
2023,2,"HONDA",33,0.25
2023,2,"DS",30,0.23
2023,2,"GWM",11,0.08
2023,2,"JAGUAR",10,0.08
2023,2,"SUBARU",7,0.05
2023,2,"SSANGYONG",3,0.02
2023,2,"TESLA",1,0.01
2023,2,"ALFA ROMEO",1,0.01
2023,3,"TOYOTA",2344,13.25
2023,3,"VOLKSWAGEN",2330,13.17
2023,3,"SKODA",1962,11.09
2023,3,"KIA",1280,7.24
2023,3,"FORD",1084,6.13
2023,3,"NISSAN",996,5.63
2023,3,"HYUNDAI",867,4.9
2023,3,"AUDI",829,4.69
2023,3,"TESLA",676,3.82
2023,3,"RENAULT",611,3.45
2023,3,"BMW",607,3.43
2023,3,"PEUGEOT",532,3.01
2023,3,"DACIA",482,2.73
2023,3,"SEAT",425,2.4
2023,3,"MERCEDES-BENZ",415,2.35
2023,3,"VOLVO",360,2.04
2023,3,"OPEL",360,2.04
2023,3,"SUZUKI",294,1.66
2023,3,"MAZDA",266,1.5
2023,3,"CITROEN",187,1.06
2023,3,"CUPRA",158,0.89
2023,3,"MG",110,0.62
2023,3,"MINI",81,0.46
2023,3,"LEXUS",73,0.41
2023,3,"POLESTAR",71,0.4
2023,3,"LAND ROVER",54,0.31
2023,3,"FIAT",47,0.27
2023,3,"SSANGYONG",42,0.24
2023,3,"DS",36,0.2
2023,3,"HONDA",32,0.18
2023,3,"PORSCHE",23,0.13
2023,3,"JEEP",18,0.1
2023,3,"JAGUAR",16,0.09
2023,3,"MAXUS",6,0.03
2023,3,"SUBARU",6,0.03
2023,3,"ALFA ROMEO",5,0.03
2023,3,"GWM",2,0.01
2023,3,"BENTLEY",1,0.01
2023,4,"VOLKSWAGEN",1148,12.88
2023,4,"TOYOTA",957,10.74
2023,4,"KIA",872,9.78
2023,4,"SKODA",715,8.02
2023,4,"DACIA",566,6.35
2023,4,"OPEL",511,5.73
2023,4,"HYUNDAI",504,5.65
2023,4,"FORD",406,4.56
2023,4,"PEUGEOT",386,4.33
2023,4,"AUDI",370,4.15
2023,4,"BMW",339,3.8
2023,4,"MERCEDES-BENZ",254,2.85
2023,4,"NISSAN",246,2.76
2023,4,"TESLA",224,2.51
2023,4,"SEAT",221,2.48
2023,4,"VOLVO",212,2.38
2023,4,"CITROEN",142,1.59
2023,4,"CUPRA",129,1.45
2023,4,"RENAULT",121,1.36
2023,4,"MG",98,1.1
2023,4,"SUZUKI",97,1.09
2023,4,"LAND ROVER",57,0.64
2023,4,"PORSCHE",52,0.58
2023,4,"LEXUS",51,0.57
2023,4,"MINI",49,0.55
2023,4,"MAZDA",39,0.44
2023,4,"POLESTAR",31,0.35
2023,4,"FIAT",30,0.34
2023,4,"HONDA",22,0.25
2023,4,"BYD",21,0.24
2023,4,"DS",11,0.12
2023,4,"ALFA ROMEO",11,0.12
2023,4,"GWM",8,0.09
2023,4,"SUBARU",5,0.06
2023,4,"JAGUAR",4,0.04
2023,4,"SSANGYONG",2,0.02
2023,4,"JEEP",2,0.02
2023,5,"TOYOTA",1147,15.2
2023,5,"VOLKSWAGEN",802,10.63
2023,5,"KIA",650,8.61
2023,5,"SKODA",492,6.52
2023,5,"HYUNDAI",458,6.07
2023,5,"BMW",422,5.59
2023,5,"DACIA",313,4.15
2023,5,"AUDI",309,4.1
2023,5,"FORD",299,3.96
2023,5,"RENAULT",281,3.72
2023,5,"VOLVO",259,3.43
2023,5,"PEUGEOT",242,3.21
2023,5,"TESLA",232,3.07
2023,5,"OPEL",202,2.68
2023,5,"MERCEDES-BENZ",180,2.39
2023,5,"NISSAN",172,2.28
2023,5,"SEAT",169,2.24
2023,5,"SUZUKI",165,2.19
2023,5,"CITROEN",138,1.83
2023,5,"MG",128,1.7
2023,5,"CUPRA",99,1.31
2023,5,"BYD",73,0.97
2023,5,"MINI",63,0.83
2023,5,"LAND ROVER",43,0.57
2023,5,"FIAT",41,0.54
2023,5,"MAZDA",31,0.41
2023,5,"PORSCHE",29,0.38
2023,5,"LEXUS",27,0.36
2023,5,"HONDA",20,0.27
2023,5,"POLESTAR",20,0.27
2023,5,"JEEP",9,0.12
2023,5,"DS",8,0.11
2023,5,"ALFA ROMEO",6,0.08
2023,5,"SUBARU",6,0.08
2023,5,"JAGUAR",5,0.07
2023,5,"SSANGYONG",3,0.04
2023,5,"GWM",2,0.03
2023,6,"TESLA",1035,34.62
2023,6,"TOYOTA",358,11.97
2023,6,"VOLKSWAGEN",346,11.57
2023,6,"FORD",184,6.15
2023,6,"HYUNDAI",172,5.75
2023,6,"SKODA",117,3.91
2023,6,"DACIA",105,3.51
2023,6,"AUDI",62,2.07
2023,6,"BMW",62,2.07
2023,6,"MERCEDES-BENZ",61,2.04
2023,6,"SUZUKI",48,1.61
2023,6,"MG",44,1.47
2023,6,"KIA",43,1.44
2023,6,"PEUGEOT",38,1.27
2023,6,"OPEL",37,1.24
2023,6,"CUPRA",36,1.2
2023,6,"NISSAN",34,1.14
2023,6,"SEAT",30,1
2023,6,"CITROEN",29,0.97
2023,6,"VOLVO",26,0.87
2023,6,"RENAULT",22,0.74
2023,6,"MINI",18,0.6
2023,6,"BYD",17,0.57
2023,6,"FIAT",16,0.54
2023,6,"MAZDA",10,0.33
2023,6,"POLESTAR",8,0.27
2023,6,"PORSCHE",7,0.23
2023,6,"LAND ROVER",6,0.2
2023,6,"LEXUS",3,0.1
2023,6,"GWM",3,0.1
2023,6,"SUBARU",3,0.1
2023,6,"HONDA",3,0.1
2023,6,"ALFA ROMEO",2,0.07
2023,6,"DS",2,0.07
2023,6,"SSANGYONG",1,0.03
2023,6,"CHEVROLET",1,0.03
2023,6,"JAGUAR",1,0.03
2023,7,"TOYOTA",4042,14.79
2023,7,"HYUNDAI",3445,12.6
2023,7,"VOLKSWAGEN",3379,12.36
2023,7,"SKODA",1954,7.15
2023,7,"KIA",1729,6.32
2023,7,"RENAULT",1400,5.12
2023,7,"NISSAN",1347,4.93
2023,7,"AUDI",1120,4.1
2023,7,"PEUGEOT",1115,4.08
2023,7,"FORD",1051,3.84
2023,7,"DACIA",893,3.27
2023,7,"MG",720,2.63
2023,7,"BMW",696,2.55
2023,7,"SEAT",583,2.13
2023,7,"CUPRA",506,1.85
2023,7,"MERCEDES-BENZ",472,1.73
2023,7,"OPEL",449,1.64
2023,7,"VOLVO",449,1.64
2023,7,"SUZUKI",349,1.28
2023,7,"MAZDA",293,1.07
2023,7,"CITROEN",250,0.91
2023,7,"BYD",206,0.75
2023,7,"FIAT",202,0.74
2023,7,"LAND ROVER",177,0.65
2023,7,"LEXUS",147,0.54
2023,7,"MINI",97,0.35
2023,7,"PORSCHE",83,0.3
2023,7,"DS",50,0.18
2023,7,"TESLA",41,0.15
2023,7,"HONDA",33,0.12
2023,7,"POLESTAR",28,0.1
2023,7,"JEEP",10,0.04
2023,7,"JAGUAR",8,0.03
2023,7,"GWM",4,0.01
2023,7,"SUBARU",2,0.01
2023,7,"SSANGYONG",2,0.01
2023,7,"ALFA ROMEO",2,0.01
2023,7,"MAXUS",1,0
2023,7,"FERRARI",1,0
2023,8,"SKODA",1027,12.43
2023,8,"VOLKSWAGEN",944,11.43
2023,8,"HYUNDAI",871,10.54
2023,8,"KIA",819,9.91
2023,8,"TOYOTA",611,7.4
2023,8,"BMW",434,5.25
2023,8,"AUDI",421,5.1
2023,8,"TESLA",352,4.26
2023,8,"NISSAN",295,3.57
2023,8,"FORD",282,3.41
2023,8,"MG",244,2.95
2023,8,"RENAULT",230,2.78
2023,8,"PEUGEOT",219,2.65
2023,8,"SUZUKI",172,2.08
2023,8,"MERCEDES-BENZ",172,2.08
2023,8,"DACIA",163,1.97
2023,8,"SEAT",159,1.92
2023,8,"MAZDA",109,1.32
2023,8,"CUPRA",102,1.23
2023,8,"OPEL",101,1.22
2023,8,"VOLVO",89,1.08
2023,8,"CITROEN",80,0.97
2023,8,"BYD",77,0.93
2023,8,"LAND ROVER",68,0.82
2023,8,"LEXUS",61,0.74
2023,8,"MINI",35,0.42
2023,8,"POLESTAR",23,0.28
2023,8,"HONDA",22,0.27
2023,8,"FIAT",21,0.25
2023,8,"PORSCHE",20,0.24
2023,8,"JEEP",10,0.12
2023,8,"JAGUAR",8,0.1
2023,8,"DS",7,0.08
2023,8,"SUBARU",5,0.06
2023,8,"SSANGYONG",3,0.04
2023,8,"ALFA ROMEO",3,0.04
2023,8,"BENTLEY",1,0.01
2023,8,"INEOS",1,0.01
2023,9,"KIA",709,12.38
2023,9,"VOLKSWAGEN",569,9.94
2023,9,"TOYOTA",520,9.08
2023,9,"SKODA",411,7.18
2023,9,"TESLA",402,7.02
2023,9,"BMW",372,6.5
2023,9,"FORD",370,6.46
2023,9,"HYUNDAI",246,4.3
2023,9,"AUDI",243,4.24
2023,9,"PEUGEOT",199,3.47
2023,9,"SUZUKI",191,3.34
2023,9,"CUPRA",155,2.71
2023,9,"DACIA",141,2.46
2023,9,"RENAULT",129,2.25
2023,9,"SEAT",126,2.2
2023,9,"MG",124,2.17
2023,9,"MERCEDES-BENZ",118,2.06
2023,9,"OPEL",97,1.69
2023,9,"MAZDA",80,1.4
2023,9,"NISSAN",74,1.29
2023,9,"VOLVO",67,1.17
2023,9,"MINI",65,1.13
2023,9,"CITROEN",64,1.12
2023,9,"BYD",61,1.07
2023,9,"LAND ROVER",55,0.96
2023,9,"LEXUS",34,0.59
2023,9,"POLESTAR",30,0.52
2023,9,"PORSCHE",18,0.31
2023,9,"HONDA",14,0.24
2023,9,"FIAT",11,0.19
2023,9,"ALFA ROMEO",11,0.19
2023,9,"JAGUAR",11,0.19
2023,9,"JEEP",4,0.07
2023,9,"SSANGYONG",3,0.05
2023,9,"INEOS",1,0.02
2023,9,"SUBARU",1,0.02
2023,9,"DS",1,0.02
2023,10,"VOLKSWAGEN",323,14.63
2023,10,"TOYOTA",227,10.28
2023,10,"BMW",166,7.52
2023,10,"AUDI",130,5.89
2023,10,"KIA",123,5.57
2023,10,"TESLA",118,5.34
2023,10,"SKODA",117,5.3
2023,10,"MG",110,4.98
2023,10,"HYUNDAI",96,4.35
2023,10,"FORD",86,3.89
2023,10,"PEUGEOT",80,3.62
2023,10,"SUZUKI",69,3.13
2023,10,"MERCEDES-BENZ",69,3.13
2023,10,"VOLVO",50,2.26
2023,10,"CITROEN",44,1.99
2023,10,"DACIA",43,1.95
2023,10,"BYD",40,1.81
2023,10,"FIAT",39,1.77
2023,10,"MINI",33,1.49
2023,10,"RENAULT",32,1.45
2023,10,"LAND ROVER",32,1.45
2023,10,"OPEL",30,1.36
2023,10,"PORSCHE",27,1.22
2023,10,"SEAT",26,1.18
2023,10,"NISSAN",26,1.18
2023,10,"CUPRA",19,0.86
2023,10,"LEXUS",15,0.68
2023,10,"MAZDA",14,0.63
2023,10,"POLESTAR",8,0.36
2023,10,"HONDA",6,0.27
2023,10,"DS",3,0.14
2023,10,"JAGUAR",3,0.14
2023,10,"JEEP",2,0.09
2023,10,"GWM",2,0.09
2023,11,"TOYOTA",155,16.83
2023,11,"TESLA",152,16.5
2023,11,"VOLKSWAGEN",77,8.36
2023,11,"FORD",76,8.25
2023,11,"SKODA",73,7.93
2023,11,"PEUGEOT",41,4.45
2023,11,"BYD",40,4.34
2023,11,"KIA",35,3.8
2023,11,"BMW",31,3.37
2023,11,"SUZUKI",27,2.93
2023,11,"HYUNDAI",24,2.61
2023,11,"MERCEDES-BENZ",21,2.28
2023,11,"AUDI",19,2.06
2023,11,"CITROEN",17,1.85
2023,11,"POLESTAR",15,1.63
2023,11,"SEAT",14,1.52
2023,11,"MINI",14,1.52
2023,11,"RENAULT",13,1.41
2023,11,"DACIA",12,1.3
2023,11,"VOLVO",11,1.19
2023,11,"FIAT",9,0.98
