"year","month","brand","ytd_electric_registrations","ytd_hybrid_registrations","ytd_plugin_registrations","ytd_diesel_plugin_registrations","ytd_registrations"
2023,1,"BYDAUTO",2999,0,0,0,2999
2023,1,"TOYOTA",31,2153,24,0,2208
2023,1,"HYUNDAI",773,1226,0,0,1999
2023,1,"KIA",285,120,899,0,1304
2023,1,"SUZUKI",0,1294,0,0,1294
2023,1,"MG",80,0,1203,0,1283
2023,1,"GEELY",1200,0,0,0,1200
2023,1,"MERCEDES_BENZ",389,0,288,44,721
2023,1,"BMW",23,0,247,0,270
2023,1,"LEXUS",0,167,63,0,230
2023,1,"SERES",174,0,0,0,174
2023,1,"VOLVO",83,0,74,0,157
2023,1,"SKYWELL",151,0,0,0,151
2023,1,"SKODA",118,0,9,0,127
2023,1,"FIAT",122,0,0,0,122
2023,1,"LEAPMOTOR",99,0,0,0,99
2023,1,"GENESIS",83,0,0,0,83
2023,1,"MAXUS",80,0,0,0,80
2023,1,"AUDI",58,1,8,0,67
2023,1,"HONDA",0,51,0,0,51
2023,1,"AIWAYS",41,0,0,0,41
2023,1,"POLESTAR",41,0,0,0,41
2023,1,"HONGQI",39,0,0,0,39
2023,1,"WEY",0,0,26,0,26
2023,1,"NISSAN",0,20,0,0,20
2023,1,"RENAULT",0,20,0,0,20
2023,1,"JAC",17,0,0,0,17
2023,1,"MINI",3,0,11,0,14
2023,1,"PORSCHE",10,0,2,0,12
2023,1,"LYNKCO",0,0,9,0,9
2023,1,"MITSUBISHI",0,0,8,0,8
2023,1,"CITROEN",8,0,0,0,8
2023,1,"PEUGEOT",4,0,4,0,8
2023,1,"VOYAH",6,0,0,0,6
2023,1,"OPEL",5,0,0,0,5
2023,1,"TESLA",3,0,0,0,3
2023,1,"VOLKSWAGEN",2,0,0,0,2
2023,1,"LAND_ROVER",0,0,1,0,1
2023,1,"JAGUAR",0,0,1,0,1
2023,2,"BYDAUTO",4590,0,0,0,4590
2023,2,"TOYOTA",115,4333,81,0,4529
2023,2,"HYUNDAI",1010,2397,0,0,3407
2023,2,"GEELY",2200,0,0,0,2200
2023,2,"SUZUKI",0,2075,0,0,2075
2023,2,"KIA",328,159,1514,0,2001
2023,2,"MG",100,0,1435,0,1535
2023,2,"MERCEDES_BENZ",441,0,356,53,850
2023,2,"LEXUS",0,275,117,0,392
2023,2,"BMW",40,0,321,0,361
2023,2,"SERES",355,0,0,0,355
2023,2,"SKYWELL",296,0,0,0,296
2023,2,"VOLVO",139,0,147,0,286
2023,2,"HONDA",0,236,0,0,236
2023,2,"SKODA",201,0,10,0,211
2023,2,"AIWAYS",173,0,0,0,173
2023,2,"GENESIS",163,0,0,0,163
2023,2,"FIAT",138,0,0,0,138
2023,2,"LEAPMOTOR",132,0,0,0,132
2023,2,"WEY",0,0,117,0,117
2023,2,"MAXUS",106,0,0,0,106
2023,2,"AUDI",89,1,15,0,105
2023,2,"POLESTAR",57,0,0,0,57
2023,2,"LYNKCO",0,0,56,0,56
2023,2,"HONGQI",54,0,0,0,54
2023,2,"NISSAN",0,49,0,0,49
2023,2,"ORA",48,0,0,0,48
2023,2,"RENAULT",0,39,0,0,39
2023,2,"PEUGEOT",10,0,17,0,27
2023,2,"CITROEN",27,0,0,0,27
2023,2,"OPEL",26,0,0,0,26
2023,2,"VOYAH",25,0,0,0,25
2023,2,"JAC",24,0,0,0,24
2023,2,"PORSCHE",14,0,3,0,17
2023,2,"MINI",3,0,13,0,16
2023,2,"DS_AUTOMOBILES",3,0,10,0,13
2023,2,"LAND_ROVER",0,0,9,0,9
2023,2,"MITSUBISHI",0,0,8,0,8
2023,2,"VOLKSWAGEN",6,0,0,0,6
2023,2,"LEVC",5,0,0,0,5
2023,2,"FERRARI",0,0,3,0,3
2023,2,"TESLA",3,0,0,0,3
2023,2,"EVEASY",2,0,0,0,2
2023,2,"JAGUAR",0,0,1,0,1
2023,2,"SEAT",0,0,0,0,0
2023,2,"MASERATI",0,0,0,0,0
2023,2,"CUPRA",0,0,0,0,0
2023,2,"INFINITI",0,0,0,0,0
2023,2,"ALFA_ROMEO",0,0,0,0,0
2023,2,"BENTLEY",0,0,0,0,0
2023,2,"ABARTH",0,0,0,0,0
2023,2,"MAZDA",0,0,0,0,0
2023,2,"FORD",0,0,0,0,0
2023,2,"JEEP",0,0,0,0,0
2023,2,"ASTON_MARTIN",0,0,0,0,0
2023,2,"SUBARU",0,0,0,0,0
2023,2,"CADILLAC",0,0,0,0,0
2023,2,"CHEVROLET",0,0,0,0,0
2023,2,"ISUZU",0,0,0,0,0
2023,2,"DACIA",0,0,0,0,0
2023,2,"CHERY",0,0,0,0,0
2023,2,"SSANGYONG",0,0,0,0,0
2023,3,"TOYOTA",242,6024,93,0,6359
2023,3,"BYDAUTO",5852,0,0,0,5852
2023,3,"HYUNDAI",1752,3550,0,0,5302
2023,3,"GEELY",3102,0,0,0,3102
2023,3,"KIA",384,184,2505,0,3073
2023,3,"SUZUKI",0,3051,0,0,3051
2023,3,"MG",129,0,1622,0,1751
2023,3,"TESLA",1369,0,0,0,1369
2023,3,"MERCEDES_BENZ",493,0,387,58,938
2023,3,"LEXUS",4,377,171,0,552
2023,3,"BMW",64,0,395,0,459
2023,3,"SERES",439,0,0,0,439
2023,3,"SKODA",409,0,23,0,432
2023,3,"SKYWELL",375,0,0,0,375
2023,3,"VOLVO",172,0,194,0,366
2023,3,"HONDA",0,274,0,0,274
2023,3,"AIWAYS",255,0,0,0,255
2023,3,"GENESIS",252,0,0,0,252
2023,3,"LEAPMOTOR",204,0,0,0,204
2023,3,"WEY",0,0,181,0,181
2023,3,"ORA",178,0,0,0,178
2023,3,"AUDI",146,2,22,0,170
2023,3,"FIAT",148,0,0,0,148
2023,3,"NISSAN",0,127,0,0,127
2023,3,"MAXUS",123,0,0,0,123
2023,3,"LYNKCO",0,0,112,0,112
2023,3,"HONGQI",71,0,0,0,71
2023,3,"POLESTAR",63,0,0,0,63
2023,3,"RENAULT",0,59,0,0,59
2023,3,"VOLKSWAGEN",57,0,0,0,57
2023,3,"VOYAH",55,0,0,0,55
2023,3,"CITROEN",48,0,0,0,48
2023,3,"PEUGEOT",16,0,28,0,44
2023,3,"MINI",4,0,26,0,30
2023,3,"OPEL",30,0,0,0,30
2023,3,"JAC",28,0,0,0,28
2023,3,"PORSCHE",18,0,6,0,24
2023,3,"DS_AUTOMOBILES",4,0,17,0,21
2023,3,"LAND_ROVER",0,0,11,0,11
2023,3,"MITSUBISHI",0,0,8,0,8
2023,3,"EVEASY",7,0,0,0,7
2023,3,"LEVC",7,0,0,0,7
2023,3,"FERRARI",0,0,6,0,6
2023,3,"JAGUAR",0,0,1,0,1
2023,3,"ABARTH",0,0,0,0,0
2023,3,"CUPRA",0,0,0,0,0
2023,3,"JEEP",0,0,0,0,0
2023,3,"MASERATI",0,0,0,0,0
2023,3,"SUBARU",0,0,0,0,0
2023,3,"SEAT",0,0,0,0,0
2023,3,"CHERY",0,0,0,0,0
2023,3,"INFINITI",0,0,0,0,0
2023,3,"DACIA",0,0,0,0,0
2023,3,"BENTLEY",0,0,0,0,0
2023,3,"ASTON_MARTIN",0,0,0,0,0
2023,3,"MAZDA",0,0,0,0,0
2023,3,"FORD",0,0,0,0,0
2023,3,"MAN",0,0,0,0,0
2023,3,"ALFA_ROMEO",0,0,0,0,0
2023,3,"CADILLAC",0,0,0,0,0
2023,3,"CHEVROLET",0,0,0,0,0
2023,3,"ISUZU",0,0,0,0,0
2023,3,"SSANGYONG",0,0,0,0,0
2023,4,"TOYOTA",350,7276,122,0,7748
2023,4,"BYDAUTO",7229,0,0,0,7229
2023,4,"HYUNDAI",2012,4744,0,0,6756
2023,4,"KIA",454,231,3179,0,3864
2023,4,"SUZUKI",0,3782,0,0,3782
2023,4,"GEELY",3639,0,0,0,3639
2023,4,"MG",178,0,1750,0,1928
2023,4,"TESLA",1441,0,0,0,1441
2023,4,"MERCEDES_BENZ",637,0,439,63,1139
2023,4,"LEXUS",4,431,209,0,644
2023,4,"SKODA",548,0,29,0,577
2023,4,"BMW",89,0,427,0,516
2023,4,"SERES",481,0,0,0,481
2023,4,"SKYWELL",422,0,0,0,422
2023,4,"VOLVO",200,0,219,0,419
2023,4,"AIWAYS",355,0,0,0,355
2023,4,"ORA",322,0,0,0,322
2023,4,"HONDA",0,292,0,0,292
2023,4,"GENESIS",273,0,0,0,273
2023,4,"NISSAN",0,269,0,0,269
2023,4,"LEAPMOTOR",252,0,0,0,252
2023,4,"WEY",0,0,229,0,229
2023,4,"AUDI",168,2,25,0,195
2023,4,"VOLKSWAGEN",174,0,0,0,174
2023,4,"FIAT",163,0,0,0,163
2023,4,"MAXUS",152,0,0,0,152
2023,4,"LYNKCO",0,0,147,0,147
2023,4,"HONGQI",74,0,0,0,74
2023,4,"RENAULT",0,73,0,0,73
2023,4,"POLESTAR",68,0,0,0,68
2023,4,"VOYAH",66,0,0,0,66
2023,4,"CITROEN",62,0,0,0,62
2023,4,"JAC",56,0,0,0,56
2023,4,"PEUGEOT",16,0,33,0,49
2023,4,"OPEL",38,0,0,0,38
2023,4,"MINI",5,0,31,0,36
2023,4,"DS_AUTOMOBILES",6,0,22,0,28
2023,4,"PORSCHE",19,0,7,0,26
2023,4,"LEVC",20,0,0,0,20
2023,4,"LAND_ROVER",0,0,17,0,17
2023,4,"EVEASY",9,0,0,0,9
2023,4,"MITSUBISHI",0,0,8,0,8
2023,4,"FERRARI",0,0,6,0,6
2023,4,"CUPRA",0,0,4,0,4
2023,4,"JAGUAR",0,0,1,0,1
