"year","month","brand","registrations","market_share"
2023,1,"FIAT",17929,13.97
2023,1,"VOLKSWAGEN",11003,8.58
2023,1,"TOYOTA",9206,7.18
2023,1,"FORD",6460,5.04
2023,1,"PEUGEOT",5199,4.05
2023,1,"DACIA",8671,6.76
2023,1,"RENAULT",6926,5.4
2023,1,"CITROEN",4655,3.63
2023,1,"AUDI",4610,3.59
2023,1,"JEEP",6571,5.12
2023,1,"BMW",4417,3.44
2023,1,"MERCEDES",4281,3.34
2023,1,"OPEL",3183,2.48
2023,1,"KIA",3680,2.87
2023,1,"HYUNDAI",3989,3.11
2023,1,"LANCIA",3582,2.79
2023,1,"NISSAN",2491,1.94
2023,1,"SKODA",2548,1.99
2023,1,"SUZUKI",2349,1.83
2023,1,"DR MOTOR",1243,0.97
2023,1,"MINI",1609,1.25
2023,1,"VOLVO",1322,1.03
2023,1,"ALFA ROMEO",1784,1.39
2023,1,"SEAT",831,0.65
2023,1,"CUPRA",836,0.65
2023,1,"MAZDA",2125,1.66
2023,1,"LAND ROVER",871,0.68
2023,1,"HONDA",483,0.38
2023,1,"PORSCHE",672,0.52
2023,1,"MG",1392,1.08
2023,1,"DS",577,0.45
2023,1,"TESLA",326,0.25
2023,1,"SMART",370,0.29
2023,1,"LINK & CO",484,0.38
2023,1,"EVO",350,0.27
2023,1,"LEXUS",224,0.17
2023,1,"MASERATI",321,0.25
2023,1,"MITSUBISHI",108,0.08
2023,1,"JAGUAR",107,0.08
2023,1,"SUBARU",175,0.14
2023,1,"MAHINDRA",48,0.04
2023,1,"FERRARI",75,0.06
2023,1,"SSANGYONG",39,0.03
2023,1,"LAMBORGHINI",37,0.03
2023,1,"ASTON MARTIN",15,0.01
2023,1,"GREAT WALL",0,0
2023,1,"ALTRE",127,0.1
2023,1,"TOTALE MERCATO",128301,100
2023,2,"FIAT",15306,11.74
2023,2,"VOLKSWAGEN",11381,8.73
2023,2,"TOYOTA",8641,6.63
2023,2,"DACIA",7799,5.98
2023,2,"FORD",7440,5.71
2023,2,"RENAULT",6822,5.23
2023,2,"JEEP",6247,4.79
2023,2,"PEUGEOT",6472,4.96
2023,2,"AUDI",5566,4.27
2023,2,"CITROEN",4605,3.53
2023,2,"BMW",4446,3.41
2023,2,"MERCEDES",4212,3.23
2023,2,"KIA",4053,3.11
2023,2,"HYUNDAI",3624,2.78
2023,2,"OPEL",4016,3.08
2023,2,"LANCIA",2457,1.88
2023,2,"NISSAN",3364,2.58
2023,2,"SKODA",2682,2.06
2023,2,"SUZUKI",2520,1.93
2023,2,"DR MOTOR",2645,2.03
2023,2,"ALFA ROMEO",1757,1.35
2023,2,"MAZDA",1335,1.02
2023,2,"MINI",1767,1.36
2023,2,"VOLVO",1476,1.13
2023,2,"MG",1028,0.79
2023,2,"CUPRA",1112,0.85
2023,2,"SEAT",1105,0.85
2023,2,"LAND ROVER",888,0.68
2023,2,"TESLA",1313,1.01
2023,2,"PORSCHE",639,0.49
2023,2,"DS",644,0.49
2023,2,"HONDA",473,0.36
2023,2,"LINK & CO",422,0.32
2023,2,"EVO",431,0.33
2023,2,"SMART",409,0.31
2023,2,"MASERATI",261,0.2
2023,2,"LEXUS",181,0.14
2023,2,"SUBARU",185,0.14
2023,2,"MITSUBISHI",128,0.1
2023,2,"JAGUAR",107,0.08
2023,2,"FERRARI",44,0.03
2023,2,"SSANGYONG",41,0.03
2023,2,"LAMBORGHINI",39,0.03
2023,2,"MAHINDRA",27,0.02
2023,2,"ASTON MARTIN",6,0
2023,2,"GREAT WALL",0,0
2023,2,"ALTRE",249,0.19
2023,2,"TOTALE MERCATO",130365,100
2023,3,"FIAT",17379,10.33
2023,3,"VOLKSWAGEN",11710,6.96
2023,3,"TOYOTA",9861,5.86
2023,3,"DACIA",8082,4.8
2023,3,"FORD",9798,5.82
2023,3,"PEUGEOT",10589,6.29
2023,3,"RENAULT",7323,4.35
2023,3,"JEEP",7998,4.75
2023,3,"AUDI",6868,4.08
2023,3,"CITROEN",7280,4.33
2023,3,"BMW",6128,3.64
2023,3,"OPEL",6911,4.11
2023,3,"MERCEDES",5175,3.07
2023,3,"HYUNDAI",4951,2.94
2023,3,"KIA",4768,2.83
2023,3,"LANCIA",5059,3.01
2023,3,"NISSAN",5226,3.11
2023,3,"SKODA",3214,1.91
2023,3,"SUZUKI",3509,2.09
2023,3,"DR MOTOR",3046,1.81
2023,3,"ALFA ROMEO",2992,1.78
2023,3,"MINI",2069,1.23
2023,3,"MAZDA",1616,0.96
2023,3,"MG",2378,1.41
2023,3,"TESLA",2911,1.73
2023,3,"VOLVO",1578,0.94
2023,3,"CUPRA",1840,1.09
2023,3,"SEAT",1514,0.9
2023,3,"LAND ROVER",743,0.44
2023,3,"PORSCHE",787,0.47
2023,3,"DS",828,0.49
2023,3,"HONDA",632,0.38
2023,3,"LINK & CO",535,0.32
2023,3,"SMART",554,0.33
2023,3,"EVO",395,0.23
2023,3,"MASERATI",469,0.28
2023,3,"SUBARU",395,0.23
2023,3,"LEXUS",291,0.17
2023,3,"MITSUBISHI",292,0.17
2023,3,"JAGUAR",130,0.08
2023,3,"FERRARI",85,0.05
2023,3,"MAHINDRA",43,0.03
2023,3,"SSANGYONG",30,0.02
2023,3,"LAMBORGHINI",28,0.02
2023,3,"ASTON MARTIN",6,0
2023,3,"GREAT WALL",0,0
2023,3,"ALTRE",278,0.17
2023,3,"TOTALE MERCATO",168294,100
2023,4,"FIAT",15359,12.21
2023,4,"VOLKSWAGEN",11644,9.26
2023,4,"TOYOTA",6023,4.79
2023,4,"FORD",7381,5.87
2023,4,"DACIA",6437,5.12
2023,4,"PEUGEOT",7622,6.06
2023,4,"RENAULT",6164,4.9
2023,4,"JEEP",6025,4.79
2023,4,"AUDI",6415,5.1
2023,4,"BMW",5062,4.02
2023,4,"CITROEN",3029,2.41
2023,4,"OPEL",4070,3.24
2023,4,"MERCEDES",3796,3.02
2023,4,"KIA",3855,3.06
2023,4,"HYUNDAI",3727,2.96
2023,4,"LANCIA",3721,2.96
2023,4,"NISSAN",1481,1.18
2023,4,"SKODA",2882,2.29
2023,4,"SUZUKI",2714,2.16
2023,4,"DR MOTOR",2128,1.69
2023,4,"ALFA ROMEO",2380,1.89
2023,4,"MG",3029,2.41
2023,4,"MINI",1346,1.07
2023,4,"MAZDA",742,0.59
2023,4,"VOLVO",1214,0.96
2023,4,"TESLA",740,0.59
2023,4,"CUPRA",1034,0.82
2023,4,"SEAT",877,0.7
2023,4,"LAND ROVER",512,0.41
2023,4,"DS",630,0.5
2023,4,"PORSCHE",573,0.46
2023,4,"LINK & CO",796,0.63
2023,4,"HONDA",311,0.25
2023,4,"SMART",365,0.29
2023,4,"EVO",300,0.24
2023,4,"MASERATI",324,0.26
2023,4,"LEXUS",296,0.24
2023,4,"SUBARU",214,0.17
2023,4,"MITSUBISHI",43,0.03
2023,4,"JAGUAR",127,0.1
2023,4,"POLESTAR",96,0.08
2023,4,"FERRARI",73,0.06
2023,4,"MAHINDRA",88,0.07
2023,4,"LAMBORGHINI",41,0.03
2023,4,"SSANGYONG",14,0.01
2023,4,"ASTON MARTIN",6,0
2023,4,"GREAT WALL",0,0
2023,4,"ALTRE",99,0.08
2023,4,"TOTALE MERCATO",125805,100
2023,5,"FIAT",14691,9.83
2023,5,"VOLKSWAGEN",11090,7.42
2023,5,"TOYOTA",10713,7.17
2023,5,"PEUGEOT",10678,7.15
2023,5,"FORD",8399,5.62
2023,5,"DACIA",7878,5.27
2023,5,"RENAULT",6825,4.57
2023,5,"JEEP",6898,4.62
2023,5,"AUDI",6428,4.3
2023,5,"BMW",5306,3.55
2023,5,"CITROEN",3994,2.67
