"year","month","brand","model","ytd_registrations","ytd_market_share"
2023,1,"FIAT","500",540,16.2
2023,1,"SMART","FORTWO",369,11
2023,1,"RENAULT","TWINGO",212,6.3
2023,1,"AUDI","Q4",186,5.6
2023,1,"TESLA","MODEL Y",147,4.4
2023,1,"VOLKSWAGEN","ID.3",135,4
2023,1,"DACIA","SPRING",128,3.8
2023,1,"PEUGEOT","208",128,3.8
2023,1,"MG","MARVEL R",100,3
2023,1,"TESLA","MODEL S",98,2.9
2023,1,"MG","MG4",77,2.3
2023,1,"BMW","IX1",72,2.2
2023,1,"MINI","MINI",60,1.8
2023,1,"PEUGEOT","2008",52,1.6
2023,1,"RENAULT","MEGANE",52,1.6
2023,1,"CUPRA","BORN",51,1.5
2023,1,"TESLA","MODEL X",51,1.5
2023,1,"BMW","IX3",50,1.5
2023,1,"VOLVO","XC40",50,1.5
2023,1,"HYUNDAI","IONIQ 5",46,1.4
2023,1,"BMW","I4",44,1.3
2023,1,"NISSAN","LEAF",40,1.2
2023,1,"MAZDA","MX-30",39,1.2
2023,1,"OPEL","CORSA",39,1.2
2023,1,"CITROEN","C4",37,1.1
2023,1,"HYUNDAI","KONA",37,1.1
2023,1,"MERCEDES","EQA",35,1
2023,1,"OPEL","MOKKA",33,1
2023,1,"PORSCHE","TAYCAN",33,1
2023,1,"TESLA","MODEL 3",30,0.9
2023,1,"VOLKSWAGEN","ID.4",30,0.9
2023,1,"FORD","MUSTANG MACH-E",28,0.8
2023,1,"VOLKSWAGEN","ID BUZZ",28,0.8
2023,1,"BMW","IX",25,0.7
2023,1,"SKODA","ENYAQ",24,0.7
2023,1,"KIA","EV6",22,0.7
2023,1,"AUDI","E-TRON GT",18,0.5
2023,1,"KIA","NIRO",17,0.5
2023,1,"NISSAN","ARIYA",12,0.4
2023,1,"MG","MG5",11,0.3
2023,1,"MG","ZS",11,0.3
2023,1,"VOLVO","C40",11,0.3
2023,1,"FIAT","DOBLO",10,0.3
2023,2,"TESLA","MODEL Y",1263,15.3
2023,2,"FIAT","500",1078,13.1
2023,2,"SMART","FORTWO",778,9.4
2023,2,"RENAULT","MEGANE",455,5.5
2023,2,"RENAULT","TWINGO",415,5
2023,2,"AUDI","Q4",333,4
2023,2,"PEUGEOT","208",286,3.5
2023,2,"VOLKSWAGEN","ID.3",225,2.7
2023,2,"TESLA","MODEL 3",222,2.7
2023,2,"MG","MG4",211,2.6
2023,2,"DACIA","SPRING",188,2.3
2023,2,"CUPRA","BORN",159,1.9
2023,2,"MG","MARVEL R",148,1.8
2023,2,"BMW","IX1",141,1.7
2023,2,"MINI","MINI",139,1.7
2023,2,"NISSAN","LEAF",113,1.4
2023,2,"POLESTAR","POLESTAR 2",111,1.3
2023,2,"PEUGEOT","2008",109,1.3
2023,2,"VOLVO","XC40",108,1.3
2023,2,"TESLA","MODEL S",102,1.2
2023,2,"HYUNDAI","KONA",100,1.2
2023,2,"ALTRE","17",98,1.2
2023,2,"BMW","I4",92,1.1
2023,2,"BMW","IX3",81,1
2023,2,"CITROEN","C4 X",73,0.9
2023,2,"MERCEDES","EQA",72,0.9
2023,2,"OPEL","MOKKA",72,0.9
2023,2,"OPEL","CORSA",69,0.8
2023,2,"HYUNDAI","IONIQ 5",60,0.7
2023,2,"FORD","MUSTANG MK-E",55,0.7
2023,2,"KIA","EV6",54,0.7
2023,2,"VOLKSWAGEN","ID.4",54,0.7
2023,2,"CITROEN","C4",52,0.6
2023,2,"FIAT","DOBLO",52,0.6
2023,2,"TESLA","MODEL X",52,0.6
2023,2,"BMW","IX",51,0.6
2023,2,"DS","DS3",50,0.6
2023,2,"MAZDA","MX-30",47,0.6
2023,2,"VOLKSWAGEN","ID BUZZ",47,0.6
2023,2,"PORSCHE","TAYCAN",46,0.6
2023,2,"KIA","NIRO",41,0.5
2023,2,"SKODA","ENYAQ",38,0.5
2023,2,"VOLVO","C40",33,0.4
2023,2,"AUDI","E-TRON GT",30,0.4
2023,2,"MERCEDES","EQB",26,0.3
2023,2,"NISSAN","ARIYA",26,0.3
2023,2,"AUDI","E-TRON",25,0.3
2023,2,"VOLKSWAGEN","ID.5",23,0.3
2023,2,"MERCEDES","EQE",22,0.3
2023,2,"TOYOTA","PROACE CITY",19,0.2
2023,2,"MG","MG5",17,0.2
2023,2,"MG","ZS",17,0.2
2023,2,"MERCEDES","EQS",14,0.2
2023,2,"RENAULT","ZOE",12,0.1
2023,2,"CITROEN","BERLINGO",11,0.1
2023,2,"FIAT","ULYSSE",11,0.1
2023,2,"ISSIMA","SAETTA",11,0.1
2023,2,"SUBARU","SOLTERRA",11,0.1
2023,2,"MERCEDES","EQC",10,0.1
2023,3,"TESLA","MODEL Y",2960,18
2023,3,"FIAT","500",1530,9.3
2023,3,"TESLA","MODEL 3",1345,8.2
2023,3,"SMART","FORTWO",1332,8.1
2023,3,"RENAULT","MEGANE",734,4.5
2023,3,"RENAULT","TWINGO",630,3.8
2023,3,"PEUGEOT","208",555,3.4
2023,3,"DACIA","SPRING",554,3.4
2023,3,"AUDI","Q4",541,3.3
2023,3,"MG","MG4",495,3
2023,3,"VOLKSWAGEN","ID.3",445,2.7
2023,3,"CUPRA","BORN",290,1.8
2023,3,"MINI","MINI",274,1.7
2023,3,"BMW","IX1",273,1.7
2023,3,"POLESTAR","POLESTAR 2",248,1.5
2023,3,"MERCEDES","EQA",210,1.3
2023,3,"MG","MARVEL R",206,1.3
2023,3,"PEUGEOT","2008",192,1.2
2023,3,"BMW","I4",173,1.1
2023,3,"HYUNDAI","KONA",168,1
2023,3,"VOLVO","XC40",160,1
2023,3,"TESLA","MODEL S",159,1
2023,3,"OPEL","CORSA",158,1
2023,3,"OPEL","MOKKA",147,0.9
2023,3,"NISSAN","LEAF",145,0.9
2023,3,"TOYOTA","PROACE CITY",134,0.8
2023,3,"FORD","MUSTANG MK-E",127,0.8
2023,3,"BMW","IX3",123,0.7
2023,3,"MERCEDES","EQB",123,0.7
2023,3,"VOLKSWAGEN","ID.4",118,0.7
2023,3,"BMW","IX",116,0.7
2023,3,"RENAULT","ZOE",115,0.7
2023,3,"FIAT","DOBLO",96,0.6
2023,3,"CITROEN","C4",88,0.5
2023,3,"TESLA","MODEL X",86,0.5
2023,3,"CITROEN","C4 X",85,0.5
2023,3,"HYUNDAI","IONIQ 5",80,0.5
2023,3,"VOLKSWAGEN","ID BUZZ",76,0.5
2023,3,"AUDI","Q8",73,0.4
2023,3,"KIA","EV6",72,0.4
2023,3,"SKODA","ENYAQ",70,0.4
2023,3,"MAZDA","MX-30",68,0.4
2023,3,"VOLVO","C40",63,0.4
2023,3,"KIA","NIRO",59,0.4
2023,3,"DS","DS3",58,0.4
2023,3,"PORSCHE","TAYCAN",58,0.4
2023,3,"VOLKSWAGEN","ID.5",54,0.3
2023,3,"MERCEDES","EQE",49,0.3
2023,3,"NISSAN","ARIYA",41,0.2
2023,3,"JEEP","AVENGER",40,0.2
2023,3,"AUDI","E-TRON GT",38,0.2
2023,3,"MG","ZS",36,0.2
2023,3,"CITROEN","BERLINGO",34,0.2
2023,3,"MG","MG5",33,0.2
2023,3,"FIAT","ULYSSE",32,0.2
2023,3,"MERCEDES","EQS",32,0.2
2023,3,"AUDI","E-TRON",29,0.2
2023,3,"TOYOTA","PROACE VERSO",29,0.2
2023,3,"MERCEDES","EQC",21,0.1
2023,3,"JAGUAR","I-PACE",19,0.1
2023,3,"HONDA","E",18,0.1
2023,3,"SUBARU","SOLTERRA",14,0.1
2023,3,"PEUGEOT","RIFTER",13,0.1
2023,3,"BMW","I7",12,0.1
2023,3,"ISSIMA","SAETTA",11,0.1
2023,4,"TESLA","MODEL Y",3440,16.8
2023,4,"FIAT","500",1902,9.3
2023,4,"SMART","FORTWO",1697,8.3
2023,4,"TESLA","MODEL 3",1569,7.7
2023,4,"RENAULT","MEGANE",877,4.3
2023,4,"RENAULT","TWINGO",774,3.8
2023,4,"MG","MG4",723,3.5
2023,4,"DACIA","SPRING",702,3.4
2023,4,"PEUGEOT","208",684,3.3
2023,4,"AUDI","Q4",670,3.3
2023,4,"VOLKSWAGEN","ID.3",515,2.5
2023,4,"MINI","MINI",394,1.9
2023,4,"CUPRA","BORN",357,1.7
2023,4,"POLESTAR","POLESTAR 2",344,1.7
2023,4,"BMW","IX1",325,1.6
2023,4,"MERCEDES","EQA",264,1.3
2023,4,"OPEL","MOKKA",252,1.2
2023,4,"PEUGEOT","2008",241,1.2
2023,4,"HYUNDAI","KONA",236,1.2
2023,4,"OPEL","CORSA",231,1.1
2023,4,"VOLVO","XC40",230,1.1
2023,4,"BMW","I4",226,1.1
2023,4,"MG","MARVEL R",219,1.1
2023,4,"VOLKSWAGEN","ID.4",215,1.1
2023,4,"TESLA","MODEL S",179,0.9
2023,4,"FORD","MUSTANG MK-E",167,0.8
2023,4,"NISSAN","LEAF",158,0.8
2023,4,"BMW","IX3",149,0.7
2023,4,"RENAULT","ZOE",147,0.7
2023,4,"BMW","IX",146,0.7
2023,4,"TOYOTA","PROACE CITY",143,0.7
2023,4,"VOLKSWAGEN","ID.5",142,0.7
2023,4,"MERCEDES","EQB",134,0.7
2023,4,"CITROEN","C4",127,0.6
2023,4,"KIA","NIRO",110,0.5
2023,4,"FIAT","DOBLO",108,0.5
2023,4,"TESLA","MODEL X",102,0.5
2023,4,"HYUNDAI","IONIQ 5",95,0.5
2023,4,"VOLKSWAGEN","ID BUZZ",94,0.5
2023,4,"AUDI","Q8",93,0.5
2023,4,"SKODA","ENYAQ",93,0.5
2023,4,"CITROEN","C4 X",91,0.4
2023,4,"KIA","EV6",88,0.4
2023,4,"PORSCHE","TAYCAN",80,0.4
2023,4,"VOLVO","C40",80,0.4
2023,4,"MAZDA","MX-30",73,0.4
2023,4,"MERCEDES","EQE",63,0.3
2023,4,"DS","DS3",60,0.3
2023,4,"NISSAN","ARIYA",54,0.3
2023,4,"MERCEDES","EQS",43,0.2
2023,4,"MG","ZS",43,0.2
2023,4,"JEEP","AVENGER",40,0.2
2023,4,"AUDI","E-TRON GT",39,0.2
2023,4,"CITROEN","BERLINGO",39,0.2
2023,4,"MG","MG5",36,0.2
2023,4,"FIAT","ULYSSE",35,0.2
2023,4,"TOYOTA","PROACE VERSO",33,0.2
2023,4,"AUDI","E-TRON",29,0.1
2023,4,"HYUNDAI","IONIQ 6",26,0.1
2023,4,"JAGUAR","I-PACE",25,0.1
2023,4,"MERCEDES","EQC",23,0.1
2023,4,"SUBARU","SOLTERRA",23,0.1
2023,4,"HONDA","E",18,0.1
2023,4,"BMW","I7",16,0.1
2023,4,"PEUGEOT","RIFTER",13,0.1
2023,4,"ISSIMA","SAETTA",11,0.1
2023,4,"MELEX","378",10,0
2023,5,"TESLA","MODEL Y",4166,15.6
2023,5,"FIAT","500",2418,9.1
