"year","month","brand","registrations"
2023,1,"MERCEDES-BENZ",3696
2023,1,"AUDI",1969
2023,1,"VW",1783
2023,1,"BMW",1548
2023,1,"BMW_MINI",999
2023,1,"VOLVO",876
2023,1,"PEUGEOT",786
2023,1,"JEEP",700
2023,1,"RENAULT",454
2023,1,"LAND_ROVER",506
2023,1,"PORSCHE",504
2023,1,"CITROEN",354
2023,1,"FIAT",22
2023,1,"ALFA_ROMEO",117
2023,1,"JAGUAR",94
2023,1,"FERRARI",90
2023,1,"ABARTH",0
2023,1,"MASERATI",51
2023,1,"CADILLAC",50
2023,1,"CHEVROLET",49
2023,1,"BENTLEY",33
2023,1,"HYUNDAI",32
2023,1,"LAMBORGHINI",31
2023,1,"ASTON_MARTIN",30
2023,1,"DS",26
2023,1,"BYD",20
2023,1,"MCLAREN",18
2023,1,"ROLLS_ROYCE",18
2023,1,"DODGE",17
2023,1,"FORD",16
2023,1,"BMW_ALPINA",5
2023,1,"LOTUS",3
2023,1,"ROVER",1
2023,1,"MORGAN",0
2023,1,"AUTOBIANCHI",0
2023,1,"BUICK",3
2023,1,"MG",0
2023,1,"CHRYSLER",0
2023,1,"GMC",0
2023,1,"LANCIA",0
2023,1,"PONTIAC",0
2023,1,"OTHERS",26
2023,2,"MERCEDES-BENZ",3672
2023,2,"BMW",3075
2023,2,"AUDI",1924
2023,2,"VW",1866
2023,2,"VOLVO",1412
2023,2,"BMW_MINI",1125
2023,2,"JEEP",771
2023,2,"PEUGEOT",631
2023,2,"RENAULT",502
2023,2,"PORSCHE",759
2023,2,"LAND_ROVER",439
2023,2,"CITROEN",534
2023,2,"FIAT",60
2023,2,"ALFA_ROMEO",101
2023,2,"FERRARI",104
2023,2,"JAGUAR",53
2023,2,"DS",113
2023,2,"ABARTH",0
2023,2,"MASERATI",79
2023,2,"CADILLAC",74
2023,2,"CHEVROLET",56
2023,2,"HYUNDAI",70
2023,2,"LAMBORGHINI",69
2023,2,"BENTLEY",34
2023,2,"ASTON_MARTIN",28
2023,2,"BYD",37
2023,2,"DODGE",29
2023,2,"FORD",27
2023,2,"ROLLS_ROYCE",24
2023,2,"MCLAREN",10
2023,2,"BMW_ALPINA",18
2023,2,"AUTOBIANCHI",0
2023,2,"MORGAN",0
2023,2,"ROVER",1
2023,2,"LOTUS",0
2023,2,"BUICK",1
2023,2,"PONTIAC",2
2023,2,"LANCIA",0
2023,2,"MG",0
2023,2,"CHRYSLER",0
2023,2,"GMC",0
2023,2,"SMART",0
2023,2,"OTHERS",792
2023,3,"MERCEDES-BENZ",5763
2023,3,"BMW",3812
2023,3,"VW",2988
2023,3,"AUDI",2678
2023,3,"BMW_MINI",2492
2023,3,"VOLVO",1811
2023,3,"JEEP",1265
2023,3,"RENAULT",997
2023,3,"PEUGEOT",1103
2023,3,"PORSCHE",798
2023,3,"LAND_ROVER",1092
2023,3,"CITROEN",852
2023,3,"FIAT",55
2023,3,"ALFA_ROMEO",263
2023,3,"FERRARI",146
2023,3,"ABARTH",0
2023,3,"MASERATI",133
2023,3,"BYD",151
2023,3,"CHEVROLET",103
2023,3,"JAGUAR",56
2023,3,"CADILLAC",76
2023,3,"DS",42
2023,3,"HYUNDAI",60
2023,3,"LAMBORGHINI",58
2023,3,"ASTON_MARTIN",59
2023,3,"BENTLEY",34
2023,3,"DODGE",31
2023,3,"FORD",21
2023,3,"ROLLS_ROYCE",20
2023,3,"BMW_ALPINA",22
2023,3,"MCLAREN",11
2023,3,"AUTOBIANCHI",0
2023,3,"ROVER",0
2023,3,"MORGAN",0
2023,3,"LOTUS",0
2023,3,"BUICK",1
2023,3,"CHRYSLER",4
2023,3,"PONTIAC",1
2023,3,"MG",0
2023,3,"GMC",1
2023,3,"LANCIA",0
2023,3,"BUGATTI",0
2023,3,"SMART",0
2023,3,"OTHERS",572
2023,4,"MERCEDES-BENZ",3559
2023,4,"BMW",2542
2023,4,"VW",1483
2023,4,"AUDI",1363
2023,4,"BMW_MINI",1217
2023,4,"VOLVO",864
2023,4,"JEEP",1105
2023,4,"PEUGEOT",600
2023,4,"RENAULT",290
2023,4,"LAND_ROVER",714
2023,4,"PORSCHE",350
2023,4,"CITROEN",338
2023,4,"FIAT",65
2023,4,"ALFA_ROMEO",43
2023,4,"FERRARI",102
2023,4,"ABARTH",0
2023,4,"MASERATI",49
2023,4,"BYD",91
2023,4,"CHEVROLET",54
2023,4,"JAGUAR",50
2023,4,"CADILLAC",35
2023,4,"DS",45
2023,4,"HYUNDAI",20
2023,4,"LAMBORGHINI",5
2023,4,"BENTLEY",51
2023,4,"ASTON_MARTIN",32
2023,4,"DODGE",13
2023,4,"FORD",22
2023,4,"ROLLS_ROYCE",14
2023,4,"BMW_ALPINA",14
2023,4,"MCLAREN",18
2023,4,"AUTOBIANCHI",0
2023,4,"MORGAN",1
2023,4,"ROVER",0
