"year","month","brand","registrations"
2023,1,"ALFA_ROMEO",9
2023,1,"AUDI",258
2023,1,"BMW",396
2023,1,"CITROEN",64
2023,1,"CUPRA",52
2023,1,"DACIA",65
2023,1,"DS",41
2023,1,"FIAT",93
2023,1,"FORD",51
2023,1,"FORD_(D)",49
2023,1,"HYUNDAI",56
2023,1,"JAGUAR",9
2023,1,"KIA",107
2023,1,"LAND_ROVER",43
2023,1,"MASERATI",4
2023,1,"MAZDA",26
2023,1,"MERCEDES",380
2023,1,"MINI",70
2023,1,"NISSAN",44
2023,1,"OPEL",158
2023,1,"PEUGEOT",251
2023,1,"POLESTAR",22
2023,1,"PORSCHE",101
2023,1,"RENAULT",232
2023,1,"SEAT",57
2023,1,"SKODA",226
2023,1,"SUZUKI",17
2023,1,"TESLA",94
2023,1,"TOYOTA",70
2023,1,"VOLKSWAGEN",500
2023,1,"VOLVO",74
2023,2,"ALFA_ROMEO",21
2023,2,"AUDI",273
2023,2,"BMW",384
2023,2,"CITROEN",81
2023,2,"CUPRA",126
2023,2,"DACIA",73
2023,2,"DS",34
2023,2,"FIAT",186
2023,2,"FORD",88
2023,2,"FORD_(D)",45
2023,2,"HYUNDAI",131
2023,2,"JAGUAR",19
2023,2,"KIA",110
2023,2,"LAND_ROVER",43
2023,2,"MASERATI",7
2023,2,"MAZDA",42
2023,2,"MERCEDES",381
2023,2,"MINI",68
2023,2,"NISSAN",72
2023,2,"OPEL",183
2023,2,"PEUGEOT",258
2023,2,"POLESTAR",9
2023,2,"PORSCHE",104
2023,2,"RENAULT",155
2023,2,"SEAT",81
2023,2,"SKODA",202
2023,2,"SUZUKI",23
2023,2,"TESLA",96
2023,2,"TOYOTA",90
2023,2,"VOLKSWAGEN",535
2023,2,"VOLVO",109
2023,3,"ALFA_ROMEO",16
2023,3,"AUDI",435
2023,3,"BMW",502
2023,3,"CITROEN",154
2023,3,"CUPRA",79
2023,3,"DACIA",106
2023,3,"DS",26
2023,3,"FIAT",201
2023,3,"FORD",84
2023,3,"FORD_(D)",42
2023,3,"HYUNDAI",123
2023,3,"JAGUAR",31
2023,3,"KIA",146
2023,3,"LAND_ROVER",87
2023,3,"MASERATI",6
2023,3,"MAZDA",42
2023,3,"MERCEDES",429
2023,3,"MINI",111
2023,3,"NISSAN",127
2023,3,"OPEL",222
2023,3,"PEUGEOT",266
2023,3,"POLESTAR",7
2023,3,"PORSCHE",141
2023,3,"RENAULT",295
2023,3,"SEAT",77
2023,3,"SKODA",257
2023,3,"SUZUKI",23
2023,3,"TESLA",233
2023,3,"TOYOTA",105
2023,3,"VOLKSWAGEN",520
2023,3,"VOLVO",176
2023,4,"ALFA_ROMEO",20
2023,4,"AUDI",328
2023,4,"BMW",382
2023,4,"CITROEN",119
2023,4,"CUPRA",74
2023,4,"DACIA",97
2023,4,"DS",22
2023,4,"FIAT",129
2023,4,"FORD",45
2023,4,"FORD_(D)",19
2023,4,"HYUNDAI",125
2023,4,"JAGUAR",15
2023,4,"KIA",126
2023,4,"LAND_ROVER",83
2023,4,"MASERATI",10
2023,4,"MAZDA",33
2023,4,"MERCEDES",346
2023,4,"MINI",87
2023,4,"NISSAN",82
2023,4,"OPEL",162
2023,4,"PEUGEOT",328
2023,4,"POLESTAR",13
2023,4,"PORSCHE",90
2023,4,"RENAULT",272
2023,4,"SEAT",67
2023,4,"SKODA",246
2023,4,"SUZUKI",31
2023,4,"TESLA",115
2023,4,"TOYOTA",59
2023,4,"VOLKSWAGEN",447
2023,4,"VOLVO",79
2023,5,"ALFA_ROMEO",15
2023,5,"AUDI",413
2023,5,"BMW",427
2023,5,"CITROEN",157
2023,5,"CUPRA",75
2023,5,"DACIA",84
2023,5,"DS",24
2023,5,"FIAT",141
2023,5,"FORD",55
2023,5,"FORD_(D)",19
2023,5,"HYUNDAI",106
2023,5,"JAGUAR",17
2023,5,"KIA",160
2023,5,"LAND_ROVER",65
2023,5,"MASERATI",7
2023,5,"MAZDA",34
2023,5,"MERCEDES",394
2023,5,"MINI",88
2023,5,"NISSAN",122
2023,5,"OPEL",176
2023,5,"PEUGEOT",209
2023,5,"POLESTAR",17
2023,5,"PORSCHE",105
2023,5,"RENAULT",187
2023,5,"SEAT",63
2023,5,"SKODA",270
2023,5,"SUZUKI",30
2023,5,"TESLA",89
2023,5,"TOYOTA",66
2023,5,"VOLKSWAGEN",502
2023,5,"VOLVO",108
2023,6,"ALFA_ROMEO",20
2023,6,"AUDI",421
2023,6,"BMW",497
2023,6,"CITROEN",46
2023,6,"CUPRA",82
2023,6,"DACIA",178
2023,6,"DS",25
2023,6,"FIAT",127
2023,6,"FORD",55
2023,6,"FORD_(D)",27
2023,6,"HYUNDAI",122
2023,6,"JAGUAR",35
2023,6,"KIA",147
2023,6,"LAND_ROVER",89
2023,6,"MASERATI",3
2023,6,"MAZDA",31
2023,6,"MERCEDES",379
2023,6,"MINI",89
2023,6,"NISSAN",49
2023,6,"OPEL",160
2023,6,"PEUGEOT",266
2023,6,"POLESTAR",20
2023,6,"PORSCHE",147
2023,6,"RENAULT",159
2023,6,"SEAT",55
2023,6,"SKODA",289
