"year","month","brand","registrations"
2023,1,"ALFA_ROMEO",1
2023,1,"ASTON_MARTIN",5
2023,1,"AUDI",100
2023,1,"BENTLEY",13
2023,1,"BMW",155
2023,1,"BYD",234
2023,1,"CAN-AM",3
2023,1,"CHERY",0
2023,1,"CHEVROLET",9
2023,1,"CITROEN",24
2023,1,"CUPRA",40
2023,1,"DODGE",0
2023,1,"FERRARI",6
2023,1,"FIAT",5
2023,1,"FORD",320
2023,1,"GWM",0
2023,1,"HAVAL",169
2023,1,"HONDA",341
2023,1,"HYUNDAI",599
2023,1,"INEOS",0
2023,1,"ISUZU",13
2023,1,"JAGUAR",26
2023,1,"JEEP",26
2023,1,"KIA",1499
2023,1,"LAMBORGHINI",4
2023,1,"LAND_ROVER",123
2023,1,"LDV",1
2023,1,"LEXUS",68
2023,1,"LOTUS",2
2023,1,"MAHINDRA",4
2023,1,"MASERATI",4
2023,1,"MAZDA",308
2023,1,"MCLAREN",2
2023,1,"MERCEDES-BENZ",159
2023,1,"MG",423
2023,1,"MINI",63
2023,1,"MITSUBISHI",977
2023,1,"MORGAN",0
2023,1,"NISSAN",253
2023,1,"OPEL",28
2023,1,"PEUGEOT",93
2023,1,"PIAGGIO",0
2023,1,"POLESTAR",10
2023,1,"PORSCHE",61
2023,1,"RENAULT",17
2023,1,"REWACO",0
2023,1,"ROLLS-ROYCE",2
2023,1,"SEAT",16
2023,1,"SKODA",110
2023,1,"SSANGYONG",35
2023,1,"SUBARU",292
2023,1,"SUZUKI",571
2023,1,"TESLA",189
2023,1,"TOYOTA",1526
2023,1,"VOLKSWAGEN",222
2023,1,"VOLVO",50
2023,1,"YAMAHA",1
2023,2,"ALFA_ROMEO",8
2023,2,"ASTON_MARTIN",6
2023,2,"AUDI",121
2023,2,"BENTLEY",1
2023,2,"BMW",137
2023,2,"BYD",142
2023,2,"CAN-AM",3
2023,2,"CHERY",0
2023,2,"CHEVROLET",2
2023,2,"CITROEN",11
2023,2,"CUPRA",36
2023,2,"DODGE",0
2023,2,"FERRARI",2
2023,2,"FIAT",7
2023,2,"FORD",253
2023,2,"GWM",0
2023,2,"HAVAL",153
2023,2,"HONDA",321
2023,2,"HYUNDAI",561
2023,2,"INEOS",0
2023,2,"ISUZU",10
2023,2,"JAGUAR",17
2023,2,"JEEP",21
2023,2,"KIA",394
2023,2,"LAMBORGHINI",1
2023,2,"LAND_ROVER",114
2023,2,"LDV",1
2023,2,"LEXUS",44
2023,2,"LOTUS",0
2023,2,"MAHINDRA",3
2023,2,"MASERATI",1
2023,2,"MAZDA",308
2023,2,"MCLAREN",1
2023,2,"MERCEDES-BENZ",96
2023,2,"MG",310
2023,2,"MINI",47
2023,2,"MITSUBISHI",473
2023,2,"MORGAN",0
