"year","month","engine_type","segment","model","registrations"
2023,1,"ELECTRIC","PASSENGER","AUDI_E-TRON_GT",1
2023,1,"ELECTRIC","PASSENGER","BMW_4_SERIES",14
2023,1,"ELECTRIC","PASSENGER","BMW_5_SERIES",0
2023,1,"ELECTRIC","PASSENGER","BMW_I",0
2023,1,"ELECTRIC","PASSENGER","CITROEN_C4",0
2023,1,"ELECTRIC","PASSENGER","HYUNDAI_IONIQ",4
2023,1,"ELECTRIC","PASSENGER","MERCEDES-BENZ_V-CLASS",1
2023,1,"ELECTRIC","PASSENGER","MINI_HATCH",23
2023,1,"ELECTRIC","PASSENGER","NISSAN_LEAF",4
2023,1,"ELECTRIC","PASSENGER","PEUGEOT_208",25
2023,1,"ELECTRIC","PASSENGER","PORSCHE_TAYCAN",3
2023,1,"ELECTRIC","PASSENGER","TESLA_MODEL_3",57
2023,1,"ELECTRIC","PASSENGER","POLESTAR_POLESTAR_2",10
2023,1,"ELECTRIC","PASSENGER","BYD_DOLPHIN",0
2023,1,"ELECTRIC","PASSENGER","CUPRA_BORN",0
2023,1,"ELECTRIC","PASSENGER","FIAT_500E",0
2023,1,"ELECTRIC","PASSENGER","FIAT_ABARTH_500E",0
2023,1,"ELECTRIC","PASSENGER","GWM_ORA",0
2023,1,"ELECTRIC","PASSENGER","HYUNDAI_IONIQ_6",0
2023,1,"ELECTRIC","PASSENGER","LDV_MIFA",0
2023,1,"ELECTRIC","PASSENGER","MERCEDES-BENZ_EQE",1
2023,1,"ELECTRIC","PASSENGER","MERCEDES-BENZ_EQS",1
2023,1,"ELECTRIC","PASSENGER","MG_4",0
2023,1,"ELECTRIC","PASSENGER","OPEL_CORSA",6
2023,1,"ELECTRIC","PASSENGER","RENAULT_MEGANE_E-TECH",0
2023,1,"ELECTRIC","PASSENGER","BYD_SEAL",0
2023,1,"ELECTRIC","PASSENGER","POLESTAR_2",0
2023,1,"ELECTRIC","PASSENGER","JEEP_AVENGER",0
2023,1,"ELECTRIC","PASSENGER","SUBARU_SOLTERRA",0
2023,1,"ELECTRIC","SUV","AUDI_E-TRON",2
2023,1,"ELECTRIC","SUV","BMW_I",7
2023,1,"ELECTRIC","SUV","BMW_X1",0
2023,1,"ELECTRIC","SUV","HYUNDAI_IONIQ_5",17
2023,1,"ELECTRIC","SUV","HYUNDAI_KONA",35
2023,1,"ELECTRIC","SUV","JAGUAR_I-PACE",4
2023,1,"ELECTRIC","SUV","KIA_NIRO",136
2023,1,"ELECTRIC","SUV","MAZDA_MX-30",1
2023,1,"ELECTRIC","SUV","MERCEDES-BENZ_EQA",22
2023,1,"ELECTRIC","SUV","MERCEDES-BENZ_EQC",4
2023,1,"ELECTRIC","SUV","MG_ZS",166
2023,1,"ELECTRIC","SUV","PEUGEOT_2008",19
2023,1,"ELECTRIC","SUV","SSANGYONG_KORANDO",0
2023,1,"ELECTRIC","SUV","VOLVO_XC40",5
2023,1,"ELECTRIC","SUV","KIA_EV6",148
2023,1,"ELECTRIC","SUV","LEXUS_UX300E",35
2023,1,"ELECTRIC","SUV","TESLA_MODEL_Y",133
2023,1,"ELECTRIC","SUV","AUDI_Q4_E-TRON",0
2023,1,"ELECTRIC","SUV","BYD_ATTO_3",235
