"year","month","model","registrations","market_share"
2025,1,"BYD_ATTO_3",85,0.15098
2025,1,"GWM_ORA",36,0.06394
2025,1,"NISSAN_LEAF",32,0.05684
2025,1,"KGM_TORRES",31,0.05506
2025,1,"POLESTAR_POLESTAR_2",30,0.05329
2025,1,"KIA_EV5",28,0.04973
2025,1,"BMW_X1",25,0.0444
2025,1,"PORSCHE_MACAN",23,0.04085
2025,1,"TESLA_MODEL_Y",21,0.0373
2025,1,"BMW_I",18,0.03197
2025,1,"BYD_SEAL",18,0.03197
2025,1,"BYD_DOLPHIN",16,0.02842
2025,1,"LEXUS_RZ",16,0.02842
2025,1,"TOYOTA_BZ4X",14,0.02487
2025,1,"OMODA_E5",13,0.02309
2025,1,"TESLA_MODEL_3",13,0.02309
2025,1,"LEXUS_UX300E",12,0.02131
2025,1,"VOLVO_EX30",11,0.01954
2025,1,"MG_4",10,0.01776
2025,1,"SKODA_ENYAQ",9,0.01599
2025,1,"MINI_COUNTRYMAN",8,0.01421
2025,1,"AUDI_Q6_E_TRON",7,0.01243
2025,1,"MINI_COOPER",6,0.01066
2025,1,"JEEP_AVENGER",6,0.01066
2025,1,"MERCEDES_BENZ_EQE",6,0.01066
2025,1,"MINI_ACEMAN",6,0.01066
2025,1,"HYUNDAI_KONA",5,0.00888
2025,1,"POLESTAR_4",5,0.00888
2025,1,"SUBARU_SOLTERRA",5,0.00888
2025,1,"MG_ZS",4,0.0071
2025,1,"VOLVO_XC40",4,0.0071
2025,1,"BYD_SEALION_7",4,0.0071
2025,1,"MG_CYBERSTER",4,0.0071
2025,1,"BMW_4_SERIES",3,0.00533
2025,1,"FORD_MUSTANG_MACH_E",3,0.00533
2025,1,"KIA_EV9",3,0.00533
2025,1,"POLESTAR_2",3,0.00533
2025,1,"AUDI_Q4_E_TRON",2,0.00355
2025,1,"CUPRA_BORN",2,0.00355
2025,1,"LEAPMOTOR_C10",2,0.00355
2025,1,"MERCEDES_BENZ_EQA",2,0.00355
2025,1,"MERCEDES_BENZ_EQS",2,0.00355
2025,1,"ROLLS_ROYCE_SPECTRE",2,0.00355
2025,1,"VOLKSWAGEN_ID.4",2,0.00355
2025,1,"MERCEDES_BENZ_VITO",1,0.00178
2025,1,"HYUNDAI_IONIQ_5",1,0.00178
2025,1,"KIA_EV6",1,0.00178
2025,1,"MERCEDES_BENZ_EQB",1,0.00178
2025,1,"NISSAN_ARIYA",1,0.00178
2025,1,"VOLKSWAGEN_ID.5",1,0.00178
2025,1,"BMW_5_SERIES",0,0
2025,1,"MINI_HATCH",0,0
2025,1,"KIA_NIRO",0,0
2025,1,"AUDI_Q8_E_TRON",0,0
2025,1,"FIAT_ABARTH_500E",0,0
2025,1,"LOTUS_ELETRE",0,0
2025,1,"MERCEDES_BENZ_EQC",0,0
2025,2,"POLESTAR_POLESTAR_2",65,0.1184
2025,2,"TESLA_MODEL_Y",59,0.10747
2025,2,"BYD_ATTO_3",49,0.08925
2025,2,"MERCEDES_BENZ_EQE",43,0.07832
2025,2,"TESLA_MODEL_3",27,0.04918
2025,2,"TOYOTA_BZ4X",27,0.04918
2025,2,"MERCEDES_BENZ_EQA",20,0.03643
2025,2,"MG_4",18,0.03279
2025,2,"LEXUS_RZ",17,0.03097
2025,2,"KIA_NIRO",16,0.02914
2025,2,"MINI_ACEMAN",13,0.02368
2025,2,"MG_ZS",12,0.02186
2025,2,"LEAPMOTOR_C10",12,0.02186
2025,2,"MERCEDES_BENZ_EQS",12,0.02186
2025,2,"BMW_I",11,0.02004
2025,2,"BYD_DOLPHIN",11,0.02004
2025,2,"BYD_SEALION_7",11,0.02004
2025,2,"BMW_X1",10,0.01821
2025,2,"OMODA_E5",10,0.01821
2025,2,"BMW_4_SERIES",7,0.01275
2025,2,"KGM_TORRES",7,0.01275
2025,2,"AUDI_Q6_E_TRON",6,0.01093
2025,2,"BYD_SEAL",6,0.01093
2025,2,"FORD_MUSTANG_MACH_E",6,0.01093
2025,2,"VOLVO_EX30",6,0.01093
2025,2,"MINI_COOPER",5,0.00911
2025,2,"CUPRA_BORN",5,0.00911
2025,2,"MERCEDES_BENZ_G_CLASS",4,0.00729
2025,2,"GWM_ORA",4,0.00729
2025,2,"HYUNDAI_IONIQ_5",4,0.00729
2025,2,"JEEP_AVENGER",4,0.00729
2025,2,"KIA_EV5",4,0.00729
2025,2,"POLESTAR_4",4,0.00729
2025,2,"PORSCHE_MACAN",3,0.00546
2025,2,"MINI_COUNTRYMAN",3,0.00546
2025,2,"AUDI_Q4_E_TRON",3,0.00546
2025,2,"SKODA_ENYAQ",3,0.00546
2025,2,"SMART_#1",3,0.00546
2025,2,"SMART_#3",3,0.00546
2025,2,"LEXUS_UX300E",2,0.00364
2025,2,"POLESTAR_2",2,0.00364
2025,2,"SUBARU_SOLTERRA",2,0.00364
2025,2,"MERCEDES_BENZ_VITO",1,0.00182
2025,2,"KIA_EV6",1,0.00182
2025,2,"LOTUS_ELETRE",1,0.00182
2025,2,"MERCEDES_BENZ_EQB",1,0.00182
2025,2,"MG_CYBERSTER",1,0.00182
2025,2,"NISSAN_ARIYA",1,0.00182
2025,2,"POLESTAR_3",1,0.00182
2025,2,"PORSCHE_TAYCAN",1,0.00182
2025,2,"ROLLS_ROYCE_SPECTRE",1,0.00182
2025,2,"VOLKSWAGEN_ID.4",1,0.00182
2025,2,"NISSAN_LEAF",0,0
2025,2,"BMW_5_SERIES",0,0
2025,2,"MINI_HATCH",0,0
2025,2,"HYUNDAI_IONIQ",0,0
2025,2,"HYUNDAI_KONA",0,0
2025,2,"VOLVO_XC40",0,0
2025,2,"AUDI_E_TRON_GT",0,0
2025,2,"AUDI_Q8_E_TRON",0,0
2025,2,"FIAT_ABARTH_500E",0,0
2025,2,"JAGUAR_I_PACE",0,0
2025,2,"KIA_EV9",0,0
2025,2,"MERCEDES_BENZ_EQC",0,0
2025,2,"VOLKSWAGEN_ID._BUZZ",0,0
2025,2,"VOLKSWAGEN_ID.5",0,0
2025,3,"TESLA_MODEL_3",79,0.133
2025,3,"POLESTAR_POLESTAR_2",68,0.11448
2025,3,"TESLA_MODEL_Y",66,0.11111
2025,3,"BYD_DOLPHIN",48,0.08081
2025,3,"KIA_EV5",31,0.05219
2025,3,"BMW_I",30,0.05051
2025,3,"KIA_EV3",29,0.04882
2025,3,"BYD_ATTO_3",21,0.03535
2025,3,"KIA_EV6",18,0.0303
2025,3,"BMW_X1",17,0.02862
2025,3,"MG_ZS",15,0.02525
2025,3,"TOYOTA_BZ4X",14,0.02357
2025,3,"MINI_COOPER",13,0.02189
2025,3,"MG_4",13,0.02189
2025,3,"MINI_ACEMAN",12,0.0202
2025,3,"MINI_COUNTRYMAN",10,0.01684
2025,3,"LEXUS_UX300E",9,0.01515
2025,3,"POLESTAR_2",9,0.01515
2025,3,"BMW_4_SERIES",8,0.01347
2025,3,"PORSCHE_MACAN",7,0.01178
2025,3,"VOLVO_EX30",7,0.01178
2025,3,"MERCEDES_BENZ_V_CLASS",6,0.0101
2025,3,"AUDI_Q4_E_TRON",5,0.00842
2025,3,"AUDI_Q6_E_TRON",5,0.00842
2025,3,"LEAPMOTOR_C10",5,0.00842
2025,3,"OMODA_E5",5,0.00842
2025,3,"MERCEDES_BENZ_G_CLASS",4,0.00673
2025,3,"CADILLAC_LYRIQ",4,0.00673
2025,3,"JEEP_AVENGER",4,0.00673
2025,3,"FORD_MUSTANG_MACH_E",3,0.00505
2025,3,"MERCEDES_BENZ_EQA",3,0.00505
2025,3,"SUBARU_SOLTERRA",3,0.00505
