"year","month","brand","registrations","market_share"
2023,1,"VOLKSWAGEN",463,24.9
2023,1,"TOYOTA",369,19.8
2023,1,"VOLVO",205,11
2023,1,"SKODA",166,8.9
2023,1,"MAZDA",132,7.1
2023,1,"AUDI",97,5.2
2023,1,"NISSAN",62,3.3
2023,1,"PEUGEOT",58,3.1
2023,1,"MERCEDES-BENZ",35,1.9
2023,1,"HYUNDAI",34,1.8
2023,1,"OPEL",26,1.4
2023,1,"KIA",25,1.3
2023,1,"MG",25,1.3
2023,1,"LEXUS",23,1.2
2023,1,"SUZUKI",23,1.2
2023,1,"TESLA",21,1.1
2023,1,"CITROËN",18,1
2023,1,"CUPRA",9,0.5
2023,1,"FORD",9,0.5
2023,1,"BYD",8,0.4
2023,1,"PORSCHE",8,0.4
2023,2,"VOLKSWAGEN",1326,17.8
2023,2,"TESLA",1551,20.9
2023,2,"TOYOTA",1027,13.8
2023,2,"VOLVO",700,9.4
2023,2,"SKODA",358,4.8
2023,2,"AUDI",299,4
2023,2,"PEUGEOT",291,3.9
2023,2,"HYUNDAI",251,3.4
2023,2,"MERCEDES-BENZ",237,3.2
2023,2,"BMW",213,2.9
2023,2,"NISSAN",153,2.1
2023,2,"FORD",172,2.3
2023,2,"MG",145,1.9
2023,2,"MAZDA",36,0.5
2023,2,"LEXUS",116,1.6
2023,2,"OPEL",110,1.5
2023,2,"POLESTAR",104,1.4
2023,2,"KIA",43,0.6
2023,2,"CITROËN",49,0.7
2023,2,"SUZUKI",39,0.5
2023,3,"TESLA",7899,40.8
2023,3,"TOYOTA",2498,12.9
2023,3,"VOLKSWAGEN",1700,8.8
2023,3,"VOLVO",1263,6.5
2023,3,"SKODA",522,2.7
2023,3,"NISSAN",693,3.6
2023,3,"HYUNDAI",612,3.2
2023,3,"PEUGEOT",545,2.8
2023,3,"MERCEDES-BENZ",558,2.9
2023,3,"AUDI",417,2.2
2023,3,"BMW",580,3
2023,3,"FORD",490,2.5
2023,3,"MG",187,1
2023,3,"OPEL",219,1.1
2023,3,"KIA",202,1
2023,3,"LEXUS",99,0.5
2023,3,"MAZDA",66,0.3
2023,3,"POLESTAR",89,0.5
2023,3,"CITROËN",121,0.6
2023,3,"NIO",94,0.5
2023,3,"SUZUKI",59,0.3
2023,4,"TESLA",977,10.9
2023,4,"VOLKSWAGEN",1420,15.8
2023,4,"TOYOTA",796,8.9
2023,4,"VOLVO",717,8
2023,4,"SKODA",609,6.8
2023,4,"NISSAN",601,6.7
2023,4,"MERCEDES-BENZ",592,6.6
2023,4,"BMW",581,6.5
2023,4,"AUDI",429,4.8
2023,4,"HYUNDAI",325,3.6
2023,4,"PEUGEOT",178,2
2023,4,"FORD",327,3.6
2023,4,"KIA",321,3.6
2023,4,"MG",192,2.1
2023,4,"OPEL",128,1.4
2023,4,"MAZDA",84,0.9
2023,4,"LEXUS",71,0.8
2023,4,"CITROËN",114,1.3
2023,4,"POLESTAR",45,0.5
2023,4,"SUZUKI",94,1
2023,5,"TESLA",2949,22.1
2023,5,"VOLKSWAGEN",1585,11.9
2023,5,"TOYOTA",1726,12.9
2023,5,"VOLVO",941,7.1
2023,5,"BMW",969,7.3
2023,5,"SKODA",640,4.8
2023,5,"NISSAN",419,3.1
2023,5,"AUDI",673,5
2023,5,"HYUNDAI",600,4.5
2023,5,"MERCEDES-BENZ",330,2.5
2023,5,"FORD",408,3.1
2023,5,"PEUGEOT",207,1.6
2023,5,"KIA",309,2.3
2023,5,"MG",340,2.5
2023,5,"OPEL",140,1
2023,5,"CITROËN",177,1.3
2023,5,"LEXUS",148,1.1
2023,5,"MAZDA",107,0.8
2023,5,"POLESTAR",91,0.7
2023,5,"SUZUKI",107,0.8
2023,6,"TESLA",3450,22.2
2023,6,"VOLKSWAGEN",2146,13.8
2023,6,"TOYOTA",1511,9.7
2023,6,"VOLVO",785,5
2023,6,"SKODA",1006,6.5
2023,6,"BMW",814,5.2
2023,6,"AUDI",762,4.9
2023,6,"HYUNDAI",610,3.9
2023,6,"NISSAN",413,2.7
2023,6,"MERCEDES-BENZ",566,3.6
2023,6,"FORD",541,3.5
2023,6,"PEUGEOT",395,2.5
2023,6,"KIA",511,3.3
2023,6,"MG",370,2.4
2023,6,"OPEL",368,2.4
2023,6,"CITROËN",131,0.8
2023,6,"LEXUS",105,0.7
2023,6,"SUZUKI",224,1.4
2023,6,"MAZDA",89,0.6
2023,6,"POLESTAR",126,0.8
2023,7,"TESLA",220,2.9
2023,7,"VOLKSWAGEN",1533,20.4
2023,7,"TOYOTA",919,12.2
2023,7,"VOLVO",438,5.8
2023,7,"SKODA",805,10.7
2023,7,"BMW",360,4.8
2023,7,"AUDI",429,5.7
2023,7,"HYUNDAI",370,4.9
