"year","month","model","registrations","market_share"
2023,1,"VOLKSWAGEN ID.4",212,11.4
2023,1,"TOYOTA YARIS",160,8.6
2023,1,"MAZDA MX-30",122,6.6
2023,1,"SKODA ENYAQ",118,6.3
2023,1,"VOLKSWAGEN ID.3",110,5.9
2023,1,"TOYOTA BZ4X",93,5
2023,1,"VOLKSWAGEN TRANSPORTER/CARAVELLE",66,3.6
2023,1,"VOLVO XC40",63,3.4
2023,1,"AUDI E-TRON",60,3.2
2023,1,"VOLVO XC60",56,3
2023,1,"TOYOTA COROLLA",49,2.6
2023,1,"NISSAN LEAF",47,2.5
2023,1,"VOLVO C40",47,2.5
2023,1,"PEUGEOT 2008",45,2.4
2023,1,"TOYOTA RAV4",39,2.1
2023,1,"AUDI Q4 E-TRON",34,1.8
2023,1,"VOLKSWAGEN ID.BUZZ",31,1.7
2023,1,"VOLVO XC90",31,1.7
2023,1,"HYUNDAI KONA",28,1.5
2023,1,"SKODA OCTAVIA",26,1.4
2023,2,"TESLA MODEL Y",1271,17.1
2023,2,"VOLKSWAGEN ID.4",485,6.5
2023,2,"TOYOTA BZ4X",568,7.6
2023,2,"VOLKSWAGEN ID.3",535,7.2
2023,2,"VOLVO XC40",410,5.5
2023,2,"SKODA ENYAQ",252,3.4
2023,2,"TOYOTA YARIS",183,2.5
2023,2,"PEUGEOT 2008",236,3.2
2023,2,"TESLA MODEL 3",272,3.7
2023,2,"AUDI Q4 E-TRON",192,2.6
2023,2,"TOYOTA COROLLA",151,2
2023,2,"VOLVO C40",134,1.8
2023,2,"HYUNDAI KONA",127,1.7
2023,2,"NISSAN LEAF",98,1.3
2023,2,"VOLKSWAGEN ID.BUZZ",104,1.4
2023,2,"MAZDA MX-30",10,0.1
2023,2,"TOYOTA RAV4",81,1.1
2023,2,"HYUNDAI IONIQ 5",112,1.5
2023,2,"VOLVO XC60",60,0.8
2023,2,"VOLKSWAGEN ID.5",86,1.2
2023,3,"TESLA MODEL Y",7442,38.4
2023,3,"TOYOTA BZ4X",1076,5.6
