"year","month","model","ytd_registrations","ytd_market_share"
2024,1,"TESLA MODEL Y",183,16.339285714285715
2024,1,"VOLVO EX30",82,7.321428571428572
2024,1,"DACIA SPRING",61,5.446428571428571
2024,1,"BMW I4",44,3.9285714285714284
2024,1,"MERCEDES-BENZ EQE",41,3.660714285714286
2024,1,"MERCEDES-BENZ EQA",39,3.482142857142857
2024,1,"SKODA ENYAQ IV",36,3.214285714285714
2024,1,"KIA NIRO",34,3.0357142857142856
2024,1,"MERCEDES-BENZ EQB",32,2.857142857142857
2024,1,"VOLVO C40",31,2.767857142857143
2024,2,"TESLA MODEL Y",396,15.884476534296029
2024,2,"TESLA MODEL 3",226,9.06538307260329
2024,2,"VOLVO EX30",217,8.70437224227838
2024,2,"DACIA SPRING",112,4.492579221821099
2024,2,"SKODA ENYAQ",80,3.2089851584436424
2024,2,"BMW I4",78,3.1287605294825513
2024,2,"MERCEDES-BENZ EQA",62,2.486963497793823
2024,2,"BMW IX1",61,2.446851183313277
2024,2,"FIAT 500",59,2.366626554352186
2024,2,"MERCEDES-BENZ EQE",56,2.2462896109105497
2024,3,"TESLA MODEL Y",784,18.70675256502028
2024,3,"TESLA MODEL 3",462,11.023622047244094
2024,3,"VOLVO EX30",342,8.16034359341446
2024,3,"DACIA SPRING",133,3.173466952994512
2024,3,"AUDI Q4 E-TRON",130,3.101884991648771
2024,3,"AUDI Q8 E-TRON",117,2.791696492483894
2024,3,"SKODA ENYAQ",114,2.720114531138153
2024,3,"BMW I4",111,2.6485325697924123
2024,3,"FIAT 500",110,2.6246719160104988
2024,3,"MERCEDES-BENZ EQA",104,2.481507993319017
2024,4,"TESLA MODEL Y",996,18.258478460128323
2024,4,"VOLVO EX30",517,9.477543538038496
2024,4,"TESLA MODEL 3",498,9.129239230064162
2024,4,"AUDI Q4 E-TRON",203,3.7213565536205313
2024,4,"KIA NIRO",169,3.0980751604032997
2024,4,"FIAT 500",146,2.676443629697525
2024,4,"DACIA SPRING",143,2.621448212648946
2024,4,"KIA EV6",139,2.548120989917507
2024,4,"BMW I4",139,2.548120989917507
2024,4,"MERCEDES-BENZ EQA",132,2.4197983501374885
2024,5,"TESLA MODEL Y",1149,17.032315446190335
2024,5,"TESLA MODEL 3",711,10.539579009783576
2024,5,"VOLVO EX30",617,9.146160687815001
2024,5,"AUDI Q4 E-TRON",281,4.165431366735843
2024,5,"KIA NIRO",234,3.4687222057515568
2024,5,"KIA EV6",197,2.920249036466054
2024,5,"MERCEDES-BENZ EQA",168,2.490364660539579
2024,5,"FIAT 500",159,2.356952268010673
2024,5,"BMW I4",155,2.2976578713311593
2024,5,"DACIA SPRING",147,2.1790690779721316
2024,6,"TESLA MODEL Y",1399,15.788285746529738
2024,6,"TESLA MODEL 3",1294,14.603317909942445
2024,6,"VOLVO EX30",751,8.475341383591017
2024,6,"AUDI Q4 E-TRON",376,4.243313395779257
2024,6,"KIA NIRO",256,2.8890644396794944
