"year","month","brand","ytd_registrations"
2023,1,"TESLA",88
2023,2,"TESLA",140
2023,3,"TESLA",274
2023,4,"TESLA",534
2023,5,"TESLA",782
2023,6,"TESLA",1105
2023,7,"TESLA",1739
2023,8,"TESLA",2248
2023,9,"TESLA",2487
2023,10,"TESLA",2705
2023,11,"TESLA",2903
2023,12,"TESLA",3154
2024,1,"TESLA",564
2024,1,"DACIA",561
2024,1,"VOLKSWAGEN",108
2024,1,"HYUNDAI",75
2024,1,"BMW",61
2024,1,"OTHERS",262
2024,2,"DACIA",1012
2024,2,"TESLA",859
2024,2,"HYUNDAI",147
2024,2,"VOLKSWAGEN",143
2024,2,"BMW",104
2024,2,"OTHERS",464
2024,3,"DACIA",1224
2024,3,"TESLA",1020
2024,3,"HYUNDAI",192
2024,3,"VOLKSWAGEN",169
2024,3,"BMW",133
2024,3,"OTHERS",647
2024,4,"DACIA",1489
2024,4,"TESLA",1225
2024,4,"RENAULT",176
2024,4,"MERCEDES_BENZ",140
2024,4,"HYUNDAI",222
2024,4,"OTHERS",853
2024,5,"DACIA",1859
2024,5,"TESLA",1365
2024,5,"HYUNDAI",251
2024,5,"BMW",186
2024,5,"MERCEDES_BENZ",172
2024,5,"OTHERS",1023
2024,6,"DACIA",2101
2024,6,"TESLA",1473
2024,6,"HYUNDAI",314
2024,6,"NISSAN",82
2024,6,"RENAULT",254
2024,6,"OTHERS",1483
2024,7,"DACIA",2168
2024,7,"TESLA",1695
2024,7,"HYUNDAI",393
2024,7,"BMW",274
2024,7,"MERCEDES_BENZ",233
2024,7,"OTHERS",1580
2024,8,"DACIA",2193
2024,8,"TESLA",1913
2024,8,"HYUNDAI",426
2024,8,"VOLKSWAGEN",315
2024,8,"BMW",307
2024,8,"OTHERS",1682
2024,9,"DACIA",2226
2024,9,"TESLA",2099
2024,9,"HYUNDAI",471
2024,9,"VOLKSWAGEN",348
2024,9,"RENAULT",335
2024,9,"OTHERS",1852
2024,10,"TESLA",2263
2024,10,"DACIA",2257
2024,10,"HYUNDAI",541
2024,10,"VOLKSWAGEN",380
2024,10,"RENAULT",365
2024,10,"OTHERS",2090
2024,11,"DACIA",2431
2024,11,"TESLA",2349
2024,11,"HYUNDAI",571
2024,11,"VOLKSWAGEN",393
2024,11,"RENAULT",388
2024,11,"OTHERS",2256
2024,12,"DACIA",3263
2024,12,"TESLA",2550
2024,12,"HYUNDAI",599
2024,12,"VOLKSWAGEN",436
2024,12,"RENAULT",434
2024,12,"OTHERS",2461
2025,1,"DACIA",625
2025,1,"RENAULT",135
2025,1,"TESLA",125
2025,1,"LEAPMOTOR",47
2025,1,"MERCEDES_BENZ",35
2025,1,"OTHERS",195
2025,2,"DACIA",969
2025,2,"TESLA",181
2025,2,"RENAULT",152
2025,2,"LEAPMOTOR",99
2025,2,"VOLKSWAGEN",99
2025,2,"OTHERS",382
2025,3,"DACIA",1013
2025,3,"TESLA",220
2025,3,"RENAULT",162
2025,3,"LEAPMOTOR",135
2025,3,"VOLKSWAGEN",113
2025,3,"OTHERS",509
