"year","month","brand","registrations","hb_registrations","sdn_registrations","mpv_registrations","stv_registrations","suv_registrations","cpe_conv_registrations"
2023,1,"AUDI",6,0,0,0,0,6,0
2023,1,"B.M.W.",58,0,1,0,0,52,5
2023,1,"BYD",49,0,0,22,0,27,0
2023,1,"CITROEN",0,0,0,0,0,0,0
2023,1,"FIAT",0,0,0,0,0,0,0
2023,1,"HONDA",1,1,0,0,0,0,0
2023,1,"HYUNDAI",12,12,0,0,0,0,0
2023,1,"JAGUAR",1,0,0,0,0,1,0
2023,1,"KIA",9,0,0,0,0,9,0
2023,1,"M.G.",4,1,0,0,0,3,0
2023,1,"MAXUS",0,0,0,0,0,0,0
2023,1,"MAZDA",0,0,0,0,0,0,0
2023,1,"MERCEDES_BENZ",35,0,15,0,0,20,0
2023,1,"MINI",0,0,0,0,0,0,0
2023,1,"NISSAN",1,1,0,0,0,0,0
2023,1,"OPEL",43,40,0,2,0,1,0
2023,1,"PEUGEOT",5,0,0,0,0,5,0
2023,1,"POLESTAR",7,0,7,0,0,0,0
2023,1,"PORSCHE",2,0,2,0,0,0,0
2023,1,"SKODA",1,0,0,0,0,1,0
2023,1,"TESLA",30,0,4,0,0,26,0
2023,1,"TOYOTA",0,0,0,0,0,0,0
2023,1,"VOLKSWAGEN",1,1,0,0,0,0,0
2023,1,"VOLVO",13,0,0,0,0,13,0
2023,2,"AUDI",10,0,0,0,0,10,0
2023,2,"B.M.W.",51,0,8,0,0,34,9
2023,2,"BYD",37,0,0,18,0,19,0
2023,2,"CITROEN",0,0,0,0,0,0,0
2023,2,"FIAT",0,0,0,0,0,0,0
2023,2,"HONDA",1,1,0,0,0,0,0
2023,2,"HYUNDAI",0,0,0,0,0,0,0
2023,2,"JAGUAR",0,0,0,0,0,0,0
2023,2,"KIA",7,0,0,0,0,7,0
2023,2,"M.G.",3,0,0,0,1,2,0
2023,2,"MAXUS",0,0,0,0,0,0,0
2023,2,"MAZDA",0,0,0,0,0,0,0
2023,2,"MERCEDES_BENZ",23,0,9,0,0,14,0
2023,2,"MINI",2,2,0,0,0,0,0
2023,2,"NISSAN",3,3,0,0,0,0,0
2023,2,"OPEL",12,10,0,1,0,1,0
2023,2,"PEUGEOT",10,0,0,0,0,10,0
2023,2,"POLESTAR",6,0,6,0,0,0,0
2023,2,"PORSCHE",5,0,4,0,1,0,0
2023,2,"SKODA",0,0,0,0,0,0,0
2023,2,"TESLA",63,0,17,0,0,46,0
2023,2,"TOYOTA",0,0,0,0,0,0,0
2023,2,"VOLKSWAGEN",0,0,0,0,0,0,0
2023,2,"VOLVO",8,0,0,0,0,8,0
2023,3,"AUDI",3,0,0,0,0,3,0
2023,3,"B.M.W.",54,0,20,0,0,28,6
2023,3,"BYD",38,0,0,37,0,1,0
2023,3,"CITROEN",0,0,0,0,0,0,0
2023,3,"FIAT",1,1,0,0,0,0,0
2023,3,"HONDA",0,0,0,0,0,0,0
2023,3,"HYUNDAI",0,0,0,0,0,0,0
2023,3,"JAGUAR",0,0,0,0,0,0,0
2023,3,"KIA",7,0,0,0,0,7,0
2023,3,"M.G.",26,0,0,0,23,3,0
2023,3,"MAXUS",0,0,0,0,0,0,0
2023,3,"MAZDA",1,0,0,0,0,1,0
2023,3,"MERCEDES_BENZ",35,0,19,0,0,16,0
2023,3,"MINI",0,0,0,0,0,0,0
2023,3,"NISSAN",0,0,0,0,0,0,0
2023,3,"OPEL",20,20,0,0,0,0,0
2023,3,"PEUGEOT",4,0,0,0,0,4,0
2023,3,"POLESTAR",9,0,9,0,0,0,0
2023,3,"PORSCHE",14,0,13,0,1,0,0
2023,3,"SKODA",0,0,0,0,0,0,0
2023,3,"TESLA",72,0,27,0,0,45,0
2023,3,"TOYOTA",0,0,0,0,0,0,0
2023,3,"VOLKSWAGEN",0,0,0,0,0,0,0
2023,3,"VOLVO",7,0,0,0,0,7,0
2023,4,"AUDI",1,0,0,0,0,1,0
2023,4,"B.M.W.",39,0,3,0,0,27,9
2023,4,"BYD",121,0,0,21,0,100,0
2023,4,"CITROEN",1,0,0,0,0,1,0
2023,4,"FIAT",0,0,0,0,0,0,0
2023,4,"HONDA",0,0,0,0,0,0,0
2023,4,"HYUNDAI",0,0,0,0,0,0,0
2023,4,"JAGUAR",0,0,0,0,0,0,0
2023,4,"KIA",5,0,0,0,0,5,0
2023,4,"M.G.",3,2,0,0,0,1,0
2023,4,"MAXUS",1,0,0,1,0,0,0
2023,4,"MAZDA",0,0,0,0,0,0,0
2023,4,"MERCEDES_BENZ",37,0,11,0,0,26,0
2023,4,"MINI",0,0,0,0,0,0,0
2023,4,"NISSAN",0,0,0,0,0,0,0
2023,4,"OPEL",23,20,0,1,0,2,0
2023,4,"PEUGEOT",3,0,0,0,0,3,0
2023,4,"POLESTAR",8,0,8,0,0,0,0
2023,4,"PORSCHE",9,0,9,0,0,0,0
2023,4,"SKODA",0,0,0,0,0,0,0
2023,4,"TESLA",28,0,12,0,0,16,0
2023,4,"TOYOTA",5,0,0,0,0,5,0
2023,4,"VOLKSWAGEN",0,0,0,0,0,0,0
2023,4,"VOLVO",19,0,0,0,0,19,0
2023,5,"AUDI",7,2,0,0,0,5,0
2023,5,"B.M.W.",47,0,6,0,0,34,7
2023,5,"BYD",58,3,0,5,0,50,0
2023,5,"CITROEN",0,0,0,0,0,0,0
2023,5,"FIAT",1,1,0,0,0,0,0
2023,5,"HONDA",1,0,0,0,0,0,1
2023,5,"HYUNDAI",44,0,0,0,0,44,0
2023,5,"JAGUAR",0,0,0,0,0,0,0
2023,5,"KIA",2,0,0,0,0,2,0
2023,5,"M.G.",6,6,0,0,0,0,0
2023,5,"MAXUS",0,0,0,0,0,0,0
2023,5,"MAZDA",0,0,0,0,0,0,0
2023,5,"MERCEDES_BENZ",41,0,21,0,0,20,0
2023,5,"MINI",0,0,0,0,0,0,0
2023,5,"NISSAN",1,1,0,0,0,0,0
2023,5,"OPEL",0,0,0,0,0,0,0
2023,5,"PEUGEOT",4,0,0,0,0,4,0
2023,5,"POLESTAR",21,0,21,0,0,0,0
2023,5,"PORSCHE",13,0,12,0,1,0,0
2023,5,"SKODA",0,0,0,0,0,0,0
2023,5,"SMART",1,0,0,0,0,0,1
2023,5,"TESLA",90,0,29,0,0,61,0
2023,5,"TOYOTA",1,0,0,0,0,1,0
2023,5,"VOLKSWAGEN",0,0,0,0,0,0,0
2023,5,"VOLVO",10,0,0,0,0,10,0
2023,6,"AUDI",5,0,0,0,0,5,0
2023,6,"B.M.W.",49,0,18,0,0,29,2
2023,6,"BYD",60,1,0,5,0,54,0
2023,6,"CITROEN",0,0,0,0,0,0,0
2023,6,"FIAT",0,0,0,0,0,0,0
2023,6,"HONDA",2,2,0,0,0,0,0
2023,6,"HYUNDAI",47,0,0,0,0,47,0
2023,6,"JAGUAR",0,0,0,0,0,0,0
2023,6,"KIA",2,0,0,0,0,2,0
2023,6,"M.G.",22,0,0,0,2,20,0
2023,6,"MAXUS",0,0,0,0,0,0,0
2023,6,"MAZDA",3,0,0,0,0,3,0
2023,6,"MERCEDES_BENZ",51,0,19,1,0,31,0
2023,6,"MINI",2,2,0,0,0,0,0
2023,6,"NISSAN",0,0,0,0,0,0,0
2023,6,"OPEL",0,0,0,0,0,0,0
2023,6,"PEUGEOT",15,0,0,0,0,15,0
2023,6,"POLESTAR",8,0,8,0,0,0,0
2023,6,"PORSCHE",21,0,19,0,1,0,1
2023,6,"SKODA",0,0,0,0,0,0,0
2023,6,"SMART",0,0,0,0,0,0,0
2023,6,"TESLA",117,0,43,0,0,74,0
2023,6,"TOYOTA",8,0,0,0,0,8,0
2023,6,"VOLKSWAGEN",0,0,0,0,0,0,0
2023,6,"VOLVO",19,0,0,0,0,19,0
2023,7,"AUDI",3,0,0,0,0,3,0
