"year","month","brand","registrations","market_share"
2023,1,"AUDI",2454,15.13
2023,1,"BMW",6089,37.54
2023,1,"BENTLEY",72,0.44
2023,1,"CADILLAC",75,0.46
2023,1,"CHEVROLET",360,2.22
2023,1,"CITROEN",0,0
2023,1,"DS",2,0.01
2023,1,"FORD",246,1.52
2023,1,"HONDA",69,0.43
2023,1,"JAGUAR",2,0.01
2023,1,"JEEP",244,1.5
2023,1,"LAMBORGHINI",28,0.17
2023,1,"LAND_ROVER",475,2.93
2023,1,"LEXUS",576,3.55
2023,1,"LINCOLN",59,0.36
2023,1,"MINI",279,1.72
2023,1,"MASERATI",13,0.08
2023,1,"MERCEDES_BENZ",2900,17.88
2023,1,"PEUGEOT",66,0.41
2023,1,"POLESTAR",0,0
2023,1,"PORSCHE",726,4.48
2023,1,"ROLLS_ROYCE",19,0.12
2023,1,"TOYOTA",265,1.63
2023,1,"VOLKSWAGEN",196,1.21
2023,1,"VOLVO",1007,6.21
2023,1,"TOTAL",16222,100
2023,2,"AUDI",2200,10.17
2023,2,"BMW",6381,29.51
2023,2,"BENTLEY",61,0.28
2023,2,"CADILLAC",65,0.3
2023,2,"CHEVROLET",254,1.17
2023,2,"CITROEN",0,0
2023,2,"DS",1,0
2023,2,"FORD",439,2.03
2023,2,"GMC",48,0.22
2023,2,"HONDA",161,0.74
2023,2,"JAGUAR",1,0
2023,2,"JEEP",599,2.77
2023,2,"LAMBORGHINI",18,0.08
2023,2,"LAND_ROVER",504,2.33
2023,2,"LEXUS",1344,6.22
2023,2,"LINCOLN",127,0.59
2023,2,"MINI",587,2.71
2023,2,"MASERATI",21,0.1
2023,2,"MERCEDES_BENZ",5519,25.52
2023,2,"PEUGEOT",74,0.34
2023,2,"POLESTAR",44,0.2
2023,2,"PORSCHE",1123,5.19
2023,2,"ROLLS_ROYCE",12,0.06
2023,2,"TOYOTA",695,3.21
2023,2,"VOLKSWAGEN",517,2.39
2023,2,"VOLVO",827,3.82
2023,2,"TOTAL",21622,100
2023,3,"AUDI",2260,9.48
2023,3,"BMW",5664,23.76
2023,3,"BENTLEY",35,0.15
2023,3,"CADILLAC",88,0.37
2023,3,"CHEVROLET",565,2.37
2023,3,"CITROEN",0,0
2023,3,"DS",9,0.04
2023,3,"FORD",552,2.32
2023,3,"GMC",70,0.29
2023,3,"HONDA",71,0.3
2023,3,"JAGUAR",3,0.01
2023,3,"JEEP",274,1.15
2023,3,"LAMBORGHINI",8,0.03
2023,3,"LAND_ROVER",633,2.66
2023,3,"LEXUS",1376,5.77
2023,3,"LINCOLN",126,0.53
2023,3,"MINI",786,3.3
2023,3,"MASERATI",21,0.09
2023,3,"MERCEDES_BENZ",6533,27.4
2023,3,"PEUGEOT",166,0.7
2023,3,"POLESTAR",67,0.28
2023,3,"PORSCHE",1117,4.69
2023,3,"ROLLS_ROYCE",23,0.1
2023,3,"TOYOTA",785,3.29
2023,3,"VOLKSWAGEN",452,1.9
2023,3,"VOLVO",2156,9.04
2023,3,"TOTAL",23840,100
2023,4,"AUDI",473,2.26
2023,4,"BMW",5836,27.91
2023,4,"BENTLEY",45,0.22
2023,4,"CADILLAC",66,0.32
2023,4,"CHEVROLET",706,3.38
2023,4,"CITROEN",0,0
2023,4,"DS",2,0.01
2023,4,"FORD",326,1.56
2023,4,"GMC",46,0.22
2023,4,"HONDA",55,0.26
2023,4,"JAGUAR",4,0.02
2023,4,"JEEP",207,0.99
2023,4,"LAMBORGHINI",31,0.15
2023,4,"LAND_ROVER",459,2.2
2023,4,"LEXUS",1025,4.9
2023,4,"LINCOLN",216,1.03
2023,4,"MINI",946,4.52
2023,4,"MASERATI",45,0.22
2023,4,"MERCEDES_BENZ",6176,29.54
2023,4,"PEUGEOT",111,0.53
2023,4,"POLESTAR",54,0.26
2023,4,"PORSCHE",1146,5.48
2023,4,"ROLLS_ROYCE",23,0.11
2023,4,"TOYOTA",638,3.05
2023,4,"VOLKSWAGEN",675,3.23
2023,4,"VOLVO",1599,7.65
2023,4,"TOTAL",20910,100
2023,5,"AUDI",902,4.23
2023,5,"BMW",6036,28.29
2023,5,"BENTLEY",79,0.37
2023,5,"CADILLAC",88,0.41
2023,5,"CHEVROLET",396,1.86
2023,5,"CITROEN",0,0
2023,5,"DS",13,0.06
2023,5,"FORD",281,1.32
2023,5,"GMC",53,0.25
2023,5,"HONDA",106,0.5
2023,5,"JAGUAR",5,0.02
2023,5,"JEEP",288,1.35
2023,5,"LAMBORGHINI",58,0.27
2023,5,"LAND_ROVER",410,1.92
2023,5,"LEXUS",974,4.56
2023,5,"LINCOLN",90,0.42
2023,5,"MINI",862,4.04
2023,5,"MASERATI",62,0.29
2023,5,"MERCEDES_BENZ",6292,29.49
2023,5,"PEUGEOT",171,0.8
2023,5,"POLESTAR",141,0.66
2023,5,"PORSCHE",1005,4.71
2023,5,"ROLLS_ROYCE",34,0.16
2023,5,"TOYOTA",629,2.95
2023,5,"VOLKSWAGEN",862,4.04
2023,5,"VOLVO",1502,7.04
2023,5,"TOTAL",21339,100
2023,6,"AUDI",1347,5.03
2023,6,"BMW",8100,30.27
2023,6,"BENTLEY",94,0.35
2023,6,"CADILLAC",106,0.4
2023,6,"CHEVROLET",444,1.66
2023,6,"CITROEN",0,0
2023,6,"DS",25,0.09
2023,6,"FORD",267,1
2023,6,"GMC",25,0.09
2023,6,"HONDA",111,0.41
2023,6,"JAGUAR",15,0.06
2023,6,"JEEP",475,1.78
2023,6,"LAMBORGHINI",39,0.15
2023,6,"LAND_ROVER",507,1.89
2023,6,"LEXUS",1655,6.19
2023,6,"LINCOLN",63,0.24
2023,6,"MINI",970,3.63
2023,6,"MASERATI",61,0.23
2023,6,"MERCEDES_BENZ",8003,29.91
2023,6,"PEUGEOT",223,0.83
2023,6,"POLESTAR",198,0.74
2023,6,"PORSCHE",1109,4.14
2023,6,"ROLLS_ROYCE",43,0.16
2023,6,"TOYOTA",966,3.61
2023,6,"VOLKSWAGEN",538,2.01
2023,6,"VOLVO",1372,5.13
2023,6,"TOTAL",26756,100
2023,6,"TESLA",1891,
2023,7,"AUDI",1504,7.12
2023,7,"BMW",5931,28.06
2023,7,"BENTLEY",80,0.38
2023,7,"CADILLAC",73,0.35
2023,7,"CHEVROLET",539,2.55
2023,7,"CITROEN",0,0
2023,7,"DS",25,0.12
2023,7,"FORD",124,0.59
2023,7,"GMC",41,0.19
2023,7,"HONDA",31,0.15
2023,7,"JAGUAR",4,0.02
2023,7,"JEEP",464,2.2
2023,7,"LAMBORGHINI",45,0.21
2023,7,"LAND_ROVER",408,1.93
2023,7,"LEXUS",1088,5.15
2023,7,"LINCOLN",50,0.24
2023,7,"MINI",798,3.78
2023,7,"MASERATI",30,0.14
2023,7,"MERCEDES_BENZ",5394,25.52
2023,7,"PEUGEOT",180,0.85
2023,7,"POLESTAR",121,0.57
2023,7,"PORSCHE",953,4.51
2023,7,"ROLLS_ROYCE",29,0.14
2023,7,"TOYOTA",622,2.94
2023,7,"VOLKSWAGEN",1195,5.65
2023,7,"VOLVO",1409,6.67
2023,7,"TOTAL",21138,100
2023,7,"TESLA",118,
2023,8,"AUDI",1551,6.64
2023,8,"BMW",6304,27
2023,8,"BENTLEY",84,0.36
2023,8,"CADILLAC",61,0.26
2023,8,"CHEVROLET",482,2.06
2023,8,"CITROEN",0,0
2023,8,"DS",19,0.08
2023,8,"FORD",181,0.78
2023,8,"GMC",29,0.12
2023,8,"HONDA",105,0.45
2023,8,"JAGUAR",3,0.01
2023,8,"JEEP",552,2.36
2023,8,"LAMBORGHINI",40,0.17
2023,8,"LAND_ROVER",382,1.64
2023,8,"LEXUS",1091,4.67
2023,8,"LINCOLN",52,0.22
2023,8,"MINI",1036,4.44
2023,8,"MASERATI",51,0.22
2023,8,"MERCEDES_BENZ",6588,28.21
2023,8,"PEUGEOT",184,0.79
2023,8,"POLESTAR",185,0.79
2023,8,"PORSCHE",1111,4.76
2023,8,"ROLLS_ROYCE",29,0.12
2023,8,"TOYOTA",733,3.14
2023,8,"VOLKSWAGEN",1417,6.07
2023,8,"VOLVO",1080,4.63
2023,8,"TOTAL",23350,100
2023,8,"TESLA",696,
2023,9,"AUDI",1416,6.28
2023,9,"BMW",6188,27.42
2023,9,"BENTLEY",60,0.27
2023,9,"CADILLAC",55,0.24
2023,9,"CHEVROLET",563,2.5
2023,9,"CITROEN",0,0
2023,9,"DS",18,0.08
2023,9,"FORD",181,0.8
2023,9,"GMC",52,0.23
2023,9,"HONDA",105,0.47
2023,9,"JAGUAR",5,0.02
2023,9,"JEEP",296,1.31
2023,9,"LAMBORGHINI",49,0.22
2023,9,"LAND_ROVER",315,1.4
2023,9,"LEXUS",916,4.06
2023,9,"LINCOLN",52,0.23
2023,9,"MINI",738,3.27
2023,9,"MASERATI",30,0.13
2023,9,"MERCEDES_BENZ",6971,30.89
2023,9,"PEUGEOT",172,0.76
2023,9,"POLESTAR",292,1.29
2023,9,"PORSCHE",695,3.08
2023,9,"ROLLS_ROYCE",15,0.07
2023,9,"TOYOTA",712,3.16
2023,9,"VOLKSWAGEN",1114,4.94
2023,9,"VOLVO",1555,6.89
2023,9,"TOTAL",22565,100
2023,9,"TESLA",4501,
2023,10,"AUDI",1151,5.4
2023,10,"BMW",5985,28.06
2023,10,"BENTLEY",73,0.34
2023,10,"CADILLAC",67,0.31
2023,10,"CHEVROLET",587,2.75
2023,10,"CITROEN",0,0
2023,10,"DS",27,0.13
2023,10,"FORD",165,0.77
2023,10,"GMC",15,0.07
2023,10,"HONDA",233,1.09
2023,10,"JAGUAR",11,0.05
2023,10,"JEEP",233,1.09
2023,10,"LAMBORGHINI",35,0.16
2023,10,"LAND_ROVER",291,1.36
2023,10,"LEXUS",963,4.51
2023,10,"LINCOLN",132,0.62
2023,10,"MINI",732,3.43
2023,10,"MASERATI",30,0.14
2023,10,"MERCEDES_BENZ",6612,31
2023,10,"PEUGEOT",140,0.66
2023,10,"POLESTAR",287,1.35
2023,10,"PORSCHE",705,3.31
2023,10,"ROLLS_ROYCE",17,0.08
2023,10,"TOYOTA",722,3.39
2023,10,"VOLKSWAGEN",853,4
2023,10,"VOLVO",1263,5.92
2023,10,"TOTAL",21329,100
2023,10,"TESLA",2829,
2023,11,"AUDI",1392,5.63
2023,11,"BMW",7032,28.42
2023,11,"BENTLEY",65,0.26
2023,11,"CADILLAC",115,0.46
2023,11,"CHEVROLET",576,2.33
2023,11,"CITROEN",0,0
2023,11,"DS",10,0.04
2023,11,"FORD",379,1.53
2023,11,"GMC",36,0.15
2023,11,"HONDA",187,0.76
2023,11,"JAGUAR",1,0
2023,11,"JEEP",420,1.7
2023,11,"LAMBORGHINI",33,0.13
2023,11,"LAND_ROVER",300,1.21
2023,11,"LEXUS",1183,4.78
2023,11,"LINCOLN",176,0.71
2023,11,"MINI",997,4.03
2023,11,"MASERATI",23,0.09
2023,11,"MERCEDES_BENZ",7168,28.97
2023,11,"PEUGEOT",276,1.12
2023,11,"POLESTAR",167,0.68
2023,11,"PORSCHE",752,3.04
2023,11,"ROLLS_ROYCE",11,0.04
2023,11,"TOYOTA",835,3.38
