"year","month","brand","registrations"
2023,1,"AIWAYS",3
2023,1,"ALFA_ROMEO",166
2023,1,"ALPINE",5
2023,1,"ASTON_MARTIN",2
2023,1,"AUDI",2451
2023,1,"BENTLEY",3
2023,1,"BMW",2074
2023,1,"CITROEN",3198
2023,1,"CUPRA",1182
2023,1,"DACIA",4238
2023,1,"DFSK",15
2023,1,"DR",350
2023,1,"DS",286
2023,1,"FERRARI",8
2023,1,"FIAT",1997
2023,1,"FISKER",1
2023,1,"FORD",2606
2023,1,"HONDA",244
2023,1,"HYUNDAI",3464
2023,1,"JAGUAR",59
2023,1,"JEEP",644
2023,1,"KIA",4699
2023,1,"LAMBORGHINI",8
2023,1,"LAND_ROVER",296
2023,1,"LEXUS",599
2023,1,"LYNK&CO",269
2023,1,"MASERATI",54
2023,1,"MAZDA",1055
2023,1,"MCLAREN",1
2023,1,"MERCEDES",2837
2023,1,"MG",869
2023,1,"MINI",484
2023,1,"MITSUBISHI",155
2023,1,"MORGAN",1
2023,1,"NISSAN",1470
2023,1,"OPEL",1936
2023,1,"PEUGEOT",3980
2023,1,"POLESTAR",25
2023,1,"PORSCHE",274
2023,1,"RENAULT",3436
2023,1,"SEAT",4421
2023,1,"SKODA",1818
2023,1,"SMART",58
2023,1,"SSANGYONG",149
2023,1,"SUBARU",115
2023,1,"SUZUKI",308
2023,1,"SWM",3
2023,1,"TESLA",357
2023,1,"TOYOTA",6631
2023,1,"VOLKSWAGEN",3997
2023,1,"VOLVO",844
2023,1,"ZHIDOU",2
2023,2,"AIWAYS",2
2023,2,"ALFA_ROMEO",248
2023,2,"ALPINE",4
2023,2,"ASTON_MARTIN",7
2023,2,"AUDI",3258
2023,2,"BENTLEY",6
2023,2,"BMW",1818
2023,2,"CHERY",1
2023,2,"CITROEN",3421
2023,2,"CUPRA",1259
2023,2,"DACIA",3721
2023,2,"DFSK",28
2023,2,"DR",272
2023,2,"DS",353
2023,2,"FERRARI",12
2023,2,"FIAT",2015
2023,2,"FISKER",0
2023,2,"FORD",2768
2023,2,"HONDA",150
2023,2,"HYUNDAI",4195
2023,2,"JAGUAR",62
2023,2,"JEEP",724
2023,2,"KIA",5230
2023,2,"LAMBORGHINI",5
2023,2,"LAND_ROVER",258
2023,2,"LEXUS",327
2023,2,"LYNK&CO",240
2023,2,"MASERATI",28
2023,2,"MAZDA",1237
2023,2,"MCLAREN",0
2023,2,"MERCEDES",2965
2023,2,"MG",900
2023,2,"MINI",685
2023,2,"MITSUBISHI",331
2023,2,"MORGAN",1
2023,2,"NISSAN",2075
2023,2,"OPEL",2637
2023,2,"PEUGEOT",5741
2023,2,"POLESTAR",22
2023,2,"PORSCHE",290
2023,2,"RENAULT",4447
2023,2,"SEAT",6025
2023,2,"SKODA",2847
2023,2,"SMART",31
2023,2,"SSANGYONG",182
2023,2,"SUBARU",162
2023,2,"SUZUKI",496
2023,2,"SWM",2
2023,2,"TESLA",671
2023,2,"TOYOTA",6035
2023,2,"VM_COMPETICION",1
2023,2,"VOLKSWAGEN",4858
2023,2,"VOLVO",947
2023,2,"ZHIDOU",1
2023,3,"AIWAYS",6
2023,3,"ALFA_ROMEO",440
2023,3,"ALPINE",3
2023,3,"ASTON_MARTIN",1
2023,3,"AUDI",4098
2023,3,"BENTLEY",2
2023,3,"BMW",3226
2023,3,"BYD",24
2023,3,"CHERY",0
2023,3,"CITROEN",4668
2023,3,"CUPRA",2697
2023,3,"DACIA",3647
2023,3,"DFSK",27
2023,3,"DR",785
2023,3,"DS",543
2023,3,"EVO",2
2023,3,"FERRARI",10
2023,3,"FIAT",2376
2023,3,"FISKER",0
2023,3,"FORD",3632
2023,3,"HONDA",228
2023,3,"HURTAN",1
2023,3,"HYUNDAI",6268
2023,3,"JAGUAR",68
2023,3,"JEEP",851
2023,3,"KIA",6854
2023,3,"LAMBORGHINI",4
2023,3,"LAND_ROVER",324
2023,3,"LEXUS",469
2023,3,"LOTUS",3
2023,3,"LYNK&CO",449
2023,3,"MASERATI",58
2023,3,"MAXUS",1
2023,3,"MAZDA",1852
2023,3,"MCLAREN",0
2023,3,"MERCEDES",4307
2023,3,"MG",1449
2023,3,"MINI",935
2023,3,"MITSUBISHI",524
2023,3,"MORGAN",0
2023,3,"NISSAN",3030
2023,3,"OPEL",4190
2023,3,"PEUGEOT",8016
2023,3,"POLESTAR",42
2023,3,"PORSCHE",349
2023,3,"RENAULT",5055
2023,3,"SEAT",7594
2023,3,"SKODA",2989
2023,3,"SMART",38
2023,3,"SSANGYONG",114
2023,3,"SUBARU",223
2023,3,"SUZUKI",699
2023,3,"SWM",31
2023,3,"TESLA",1046
2023,3,"TOYOTA",8083
2023,3,"VM_COMPETICION",0
2023,3,"VOLKSWAGEN",6234
2023,3,"VOLVO",958
2023,3,"ZHIDOU",1
2023,4,"AIWAYS",0
2023,4,"ALFA_ROMEO",435
2023,4,"ALPINE",5
2023,4,"ASTON_MARTIN",1
2023,4,"AUDI",3633
2023,4,"BENTLEY",7
2023,4,"BMW",2565
2023,4,"BYD",2
2023,4,"CHERY",1
2023,4,"CITROEN",3434
2023,4,"CUPRA",1788
2023,4,"DACIA",3243
2023,4,"DFSK",23
2023,4,"DR",1
2023,4,"DS",327
2023,4,"EVO",1
2023,4,"FERRARI",1
2023,4,"FIAT",1933
2023,4,"FISKER",0
2023,4,"FORD",2682
2023,4,"HONDA",131
2023,4,"HURTAN",0
2023,4,"HYUNDAI",3964
2023,4,"JAGUAR",41
2023,4,"JEEP",453
2023,4,"KIA",5051
2023,4,"LAMBORGHINI",5
2023,4,"LAND_ROVER",263
2023,4,"LEXUS",739
2023,4,"LOTUS",1
2023,4,"LYNK&CO",563
2023,4,"MASERATI",30
2023,4,"MAXUS",0
2023,4,"MAZDA",959
2023,4,"MCLAREN",0
2023,4,"MERCEDES",3363
2023,4,"MG",2406
2023,4,"MINI",587
2023,4,"MITSUBISHI",262
2023,4,"MOBILIZE",1
2023,4,"MORGAN",0
2023,4,"NISSAN",1468
2023,4,"OPEL",2548
2023,4,"PEUGEOT",5345
2023,4,"POLESTAR",60
2023,4,"PORSCHE",312
2023,4,"RENAULT",4531
2023,4,"SEAT",5515
2023,4,"SKODA",2411
2023,4,"SMART",49
2023,4,"SSANGYONG",101
2023,4,"SUBARU",127
2023,4,"SUZUKI",287
2023,4,"SWM",6
2023,4,"TESLA",318
2023,4,"TOYOTA",5533
2023,4,"VM_COMPETICION",0
2023,4,"VOLKSWAGEN",6353
2023,4,"VOLVO",881
2023,4,"ZHIDOU",3
2023,5,"AIWAYS",2
2023,5,"ALFA_ROMEO",243
2023,5,"ALPINE",3
2023,5,"ASTON_MARTIN",3
2023,5,"AUDI",4147
2023,5,"BENTLEY",7
2023,5,"BMW",3060
2023,5,"BYD",28
2023,5,"CHERY",1
2023,5,"CITROEN",4075
2023,5,"CUPRA",2225
2023,5,"DACIA",4533
2023,5,"DFSK",20
2023,5,"DR",3
2023,5,"DS",358
2023,5,"EVO",2
2023,5,"FERRARI",7
2023,5,"FIAT",2016
2023,5,"FISKER",0
2023,5,"FORD",2798
2023,5,"HONDA",129
2023,5,"HURTAN",2
2023,5,"HYUNDAI",5765
2023,5,"INEOS",11
2023,5,"JAGUAR",74
2023,5,"JEEP",1047
2023,5,"KIA",6227
2023,5,"LAMBORGHINI",5
2023,5,"LAND_ROVER",269
2023,5,"LEXUS",835
2023,5,"LOTUS",2
2023,5,"LYNK&CO",934
2023,5,"MASERATI",38
2023,5,"MAXUS",0
2023,5,"MAZDA",1254
2023,5,"MCLAREN",0
