"year","month","model","registrations"
2023,1,"TESLA_MODEL_3",7
2023,1,"TESLA_MODEL_Y",25
2023,1,"TESLA_MODEL_X",0
2023,2,"TESLA_MODEL_3",175
2023,2,"TESLA_MODEL_X",0
2023,2,"TESLA_MODEL_Y",534
2023,3,"TESLA_MODEL_Y",1034
2023,3,"TESLA_MODEL_3",488
2023,3,"TESLA_MODEL_X",1
2023,4,"TESLA_MODEL_Y",391
2023,4,"TESLA_MODEL_X",0
2023,4,"TESLA_MODEL_3",143
2023,5,"TESLA_MODEL_Y",840
2023,5,"TESLA_MODEL_X",0
2023,5,"TESLA_MODEL_3",232
2023,6,"TESLA_MODEL_3",411
2023,6,"TESLA_MODEL_X",0
2023,6,"TESLA_MODEL_Y",814
2023,7,"TESLA_MODEL_Y",201
2023,7,"TESLA_MODEL_3",71
2023,7,"TESLA_MODEL_X",0
2023,8,"TESLA_MODEL_3",191
2023,8,"TESLA_MODEL_Y",664
2023,8,"TESLA_MODEL_X",0
2023,9,"TESLA_MODEL_Y",250
2023,9,"TESLA_MODEL_3",125
2023,9,"TESLA_MODEL_X",0
2023,10,"TESLA_MODEL_3",8
2023,10,"TESLA_MODEL_X",0
2023,10,"TESLA_MODEL_Y",281
2023,11,"TESLA_MODEL_3",13
2023,11,"TESLA_MODEL_X",0
2023,11,"TESLA_MODEL_Y",279
2023,12,"TESLA_MODEL_3",460
2023,12,"TESLA_MODEL_Y",568
2023,12,"TESLA_MODEL_X",0
2024,1,"TESLA_MODEL_Y",37
2024,1,"TESLA_MODEL_X",0
2024,1,"TESLA_MODEL_3",15
2024,2,"TESLA_MODEL_3",564
2024,2,"TESLA_MODEL_Y",106
2024,2,"TESLA_MODEL_X",0
2024,3,"TESLA_MODEL_X",0
2024,3,"TESLA_MODEL_Y",72
2024,3,"TESLA_MODEL_3",494
2024,4,"TESLA_MODEL_X",0
2024,4,"TESLA_MODEL_Y",65
2024,4,"TESLA_MODEL_3",159
2024,5,"TESLA_MODEL_Y",105
2024,5,"TESLA_MODEL_3",279
2024,5,"TESLA_MODEL_X",1
2024,6,"TESLA_MODEL_Y",97
2024,6,"TESLA_MODEL_X",1
2024,6,"TESLA_MODEL_3",457
2024,7,"TESLA_MODEL_3",26
2024,7,"TESLA_MODEL_Y",60
2024,7,"TESLA_MODEL_X",0
2024,8,"TESLA_MODEL_Y",142
2024,8,"TESLA_MODEL_3",309
2024,8,"TESLA_MODEL_X",0
2024,9,"TESLA_MODEL_Y",103
2024,9,"TESLA_MODEL_X",0
2024,9,"TESLA_MODEL_3",323
2024,10,"TESLA_MODEL_X",0
2024,10,"TESLA_MODEL_3",92
2024,10,"TESLA_MODEL_Y",17
2024,11,"TESLA_MODEL_Y",42
2024,11,"TESLA_MODEL_X",0
2024,11,"TESLA_MODEL_3",208
2024,12,"TESLA_MODEL_3",312
2024,12,"TESLA_MODEL_Y",35
2024,12,"TESLA_MODEL_X",0
