"year","month","brand","registrations"
2023,1,"ALFA_ROMEO",138
2023,1,"ASTON_MARTIN",3
2023,1,"AUDI",848
2023,1,"BENTLEY",3
2023,1,"BMW",580
2023,1,"CITROEN",1412
2023,1,"CUPRA",112
2023,1,"DACIA",5074
2023,1,"DFSK",48
2023,1,"DS",106
2023,1,"FIAT",23
2023,1,"FORD",558
2023,1,"HONDA",1196
2023,1,"HYUNDAI",804
2023,1,"JAGUAR",1
2023,1,"JEEP",150
2023,1,"KIA",733
2023,1,"LAND_ROVER",185
2023,1,"LEXUS",15
2023,1,"MASERATI",7
2023,1,"MAZDA",10
2023,1,"MERCEDES_BENZ",573
2023,1,"MG",420
2023,1,"MINI",61
2023,1,"MITSUBISHI",2
2023,1,"NISSAN",728
2023,1,"OPEL",1476
2023,1,"PEUGEOT",1628
2023,1,"PORSCHE",184
2023,1,"RENAULT",1057
2023,1,"SEAT",368
2023,1,"SKODA",2740
2023,1,"SSANGYONG",17
2023,1,"SUBARU",72
2023,1,"SUZUKI",137
2023,1,"TOYOTA",1003
2023,1,"VOLKSWAGEN",3049
2023,1,"VOLVO",368
2023,2,"ALFA_ROMEO",235
2023,2,"ASTON_MARTIN",
2023,2,"AUDI",1662
2023,2,"BENTLEY",2
2023,2,"BMW",1692
2023,2,"CITROEN",2198
2023,2,"CUPRA",161
2023,2,"DACIA",3312
2023,2,"DFSK",69
2023,2,"DS",287
2023,2,"FIAT",7
2023,2,"FORD",1510
2023,2,"HONDA",1355
2023,2,"HYUNDAI",656
2023,2,"JAGUAR",4
2023,2,"JEEP",160
2023,2,"KIA",1439
2023,2,"LAMBORGHINI",1
2023,2,"LAND_ROVER",126
2023,2,"LEXUS",5
2023,2,"MASERATI",14
2023,2,"MAZDA",16
2023,2,"MERCEDES_BENZ",950
2023,2,"MG",403
2023,2,"MINI",109
2023,2,"MITSUBISHI",35
2023,2,"NISSAN",750
2023,2,"OPEL",3519
2023,2,"PEUGEOT",5065
2023,2,"PORSCHE",98
2023,2,"RENAULT",1618
