"year","month","brand","registrations","market_share"
2023,1,"ABARTH",11,0.00833371213843053
2023,1,"ALFA ROMEO",73,0.0553055441914026
2023,1,"ALPINE",26,0.0196978650544722
2023,1,"AUDI",9028,6.83970483506826
2023,1,"BENTLEY",122,0.0924284437171387
2023,1,"BMW",7812,5.91845083867449
2023,1,"CITROEN",2397,1.81599163598345
2023,1,"CUPRA",1506,1.14096095277058
2023,1,"DACIA",1910,1.4470354713093
2023,1,"DS",254,0.192432989378305
2023,1,"FIAT",1763,1.33566677273209
2023,1,"FORD",9156,6.93667893995182
2023,1,"GENESIS",121,0.0916708335227359
2023,1,"GM ORA",13,0.00984893252723609
2023,1,"HONDA",2325,1.76144370198645
2023,1,"HYUNDAI",6237,4.72521478249011
2023,1,"JAGUAR",1026,0.777308059457248
2023,1,"JEEP",335,0.25379941512493
2023,1,"KIA",9014,6.82909829234662
2023,1,"LAND ROVER",3185,2.41298846917284
2023,1,"LEXUS",758,0.574268527357304
2023,1,"MASERATI",92,0.0697001378850554
2023,1,"MAZDA",2547,1.92963316514387
2023,1,"MERCEDES-BENZ",5030,3.81077927784596
2023,1,"MG",7433,5.63131657499583
2023,1,"MINI",2734,2.07130627149719
2023,1,"NISSAN",5671,4.29640741245814
2023,1,"PEUGEOT",3692,2.79709683773505
2023,1,"POLESTAR",915,0.69321332787854
2023,1,"PORSCHE",1797,1.36142551934179
2023,1,"RENAULT",3024,2.29101322787399
2023,1,"SEAT",3240,2.45465702986499
2023,1,"SKODA",5533,4.19185720563056
2023,1,"SMART",34,0.0257587466096944
2023,1,"SSANGYONG",105,0.0795490704122915
2023,1,"SUBARU",99,0.0750034092458748
2023,1,"SUZUKI",1490,1.12883918966014
2023,1,"TESLA",579,0.438656302559207
2023,1,"TOYOTA",8606,6.51999333303029
2023,1,"VAUXHALL",5250,3.97745352061457
2023,1,"VOLKSWAGEN",12427,9.4148218858433
2023,1,"VOLVO",4314,3.26833037865357
2023,1,"OTHER BRITISH",214,0.162128581602194
2023,1,"OTHER IMPORTS",96,0.0727305786626665
2023,2,"ABARTH",15,0.0201501860533846
2023,2,"ALFA ROMEO",61,0.0819440899504305
2023,2,"ALPINE",12,0.0161201488427076
2023,2,"AUDI",4631,6.22103410754826
2023,2,"BENTLEY",41,0.0550771752125845
2023,2,"BMW",3571,4.79708762644242
2023,2,"CITROEN",1830,2.45832269851292
2023,2,"CUPRA",809,1.08676670114587
2023,2,"DACIA",1589,2.13457637592187
2023,2,"DS",205,0.275385876062922
2023,2,"FIAT",811,1.08945339261966
2023,2,"FORD",6852,9.20460498918607
2023,2,"GENESIS",64,0.0859741271611075
2023,2,"GM ORA",13,0.0174634945796
2023,2,"HONDA",1183,1.5891780067436
2023,2,"HYUNDAI",4318,5.80056689190097
2023,2,"JAGUAR",312,0.419123869910399
2023,2,"JEEP",225,0.302252790800768
2023,2,"KIA",3538,4.75275721712497
2023,2,"LAND ROVER",1358,1.82426351069975
2023,2,"LEXUS",351,0.471514353649199
2023,2,"MASERATI",29,0.0389570263698768
2023,2,"MAZDA",1172,1.57440120363778
2023,2,"MERCEDES-BENZ",2210,2.96879407853199
2023,2,"MG",1014,1.3621525772088
2023,2,"MINI",1810,2.43145578377507
2023,2,"NISSAN",3285,4.41289074569122
2023,2,"PEUGEOT",2599,3.4913555701831
2023,2,"POLESTAR",987,1.3258822423127
2023,2,"PORSCHE",567,0.761677032817936
2023,2,"RENAULT",1604,2.15472656197526
2023,2,"SEAT",1670,2.24338738061015
2023,2,"SKODA",3983,5.35054607004205
2023,2,"SMART",5,0.00671672868446152
2023,2,"SSANGYONG",56,0.075227361265969
2023,2,"SUBARU",37,0.0497037922650152
2023,2,"SUZUKI",1035,1.39036283768353
2023,2,"TESLA",2283,3.06685831732513
2023,2,"TOYOTA",3889,5.22427157077417
2023,2,"VAUXHALL",5513,7.40586504748727
2023,2,"VOLKSWAGEN",6817,9.15758788839484
2023,2,"VOLVO",1938,2.60340403809729
2023,2,"OTHER BRITISH",98,0.131647882215446
2023,2,"OTHER IMPORTS",51,0.0685106325815075
2023,3,"ABARTH",62,0.0215408668461739
2023,3,"ALFA ROMEO",223,0.0774776339789803
2023,3,"ALPINE",49,0.0170242334752019
2023,3,"AUDI",19039,6.61478328845653
2023,3,"BENTLEY",250,0.0868583340571528
2023,3,"BMW",14463,5.0249283418744
2023,3,"BYD",34,0.0118127334317728
2023,3,"CITROEN",5328,1.85112481542604
2023,3,"CUPRA",2952,1.02562320854686
2023,3,"DACIA",4078,1.41683314514028
2023,3,"DS",337,0.117085034309042
2023,3,"FIAT",3369,1.17050290975419
2023,3,"FORD",20415,7.0928515591071
2023,3,"GENESIS",176,0.0611482671762356
2023,3,"GM ORA",188,0.0653174672109789
2023,3,"HONDA",4766,1.65586728046556
2023,3,"HYUNDAI",13532,4.70146790584557
2023,3,"JAGUAR",1940,0.674020672283506
2023,3,"JEEP",462,0.160514201337618
2023,3,"KIA",19703,6.84547902371233
2023,3,"LAND ROVER",11260,3.91209936593416
2023,3,"LEXUS",1450,0.503778337531486
2023,3,"MASERATI",196,0.0680969339008078
2023,3,"MAXUS",3,0.00104230000868583
2023,3,"MAZDA",4986,1.73230261443586
2023,3,"MERCEDES-BENZ",16443,5.71284634760705
2023,3,"MG",12232,4.24980456874837
2023,3,"MINI",7503,2.60679232172327
2023,3,"NISSAN",16994,5.90428211586902
2023,3,"PEUGEOT",8715,3.02788152523235
2023,3,"POLESTAR",1620,0.56284200469035
2023,3,"PORSCHE",3690,1.28202901068358
2023,3,"RENAULT",3773,1.31086597759055
2023,3,"SEAT",4868,1.69130548076088
2023,3,"SKODA",7492,2.60297055502475
2023,3,"SMART",42,0.0145922001216017
2023,3,"SSANGYONG",257,0.0892903674107531
2023,3,"SUBARU",445,0.154607834621732
2023,3,"SUZUKI",4376,1.5203682793364
2023,3,"TESLA",10493,3.64561799704682
2023,3,"TOYOTA",19253,6.68913402240945
2023,3,"VAUXHALL",12091,4.20081646834014
2023,3,"VOLKSWAGEN",21747,7.55563276296361
2023,3,"VOLVO",5663,1.96751498306262
2023,3,"OTHER BRITISH",590,0.204985668374881
2023,3,"OTHER IMPORTS",277,0.0962390341353253
2023,4,"ABARTH",57,0.0428603654410106
2023,4,"ALFA ROMEO",129,0.09699977441912926
2023,4,"ALPINE",20,0.015038724716144071
2023,4,"AUDI",11379,8.556282427250169
2023,4,"BENTLEY",141,0.1060230092488157
2023,4,"BMW",6804,5.116174148432213
2023,4,"BYD",29,0.0218061508384089
2023,4,"CITROEN",2236,1.6813294232649074
2023,4,"CUPRA",1931,1.4519888713437101
2023,4,"DACIA",2933,2.205428979622528
2023,4,"DS",257,0.19324761260245132
2023,4,"FIAT",1297,0.9752612978419429
2023,4,"FORD",10291,7.7381758026919325
2023,4,"GENESIS",99,0.07444168734491315
2023,4,"GWM ORA",11,0.008271298593879239
2023,4,"HONDA",2319,1.7437401308369052
2023,4,"HYUNDAI",6569,4.93946913301752
2023,4,"INEOS",94,0.07068200616587714
2023,4,"JAGUAR",692,0.5203398751785848
2023,4,"JEEP",115,0.0864726671178284
2023,4,"KIA",7935,5.9666140311301605
2023,4,"LAND ROVER",4030,3.0303030303030303
2023,4,"LEXUS",886,0.6662155049251823
2023,4,"MASERATI",67,0.05037972779908264
2023,4,"MAXUS",1,0.0007519362358072035
2023,4,"MAZDA",2237,1.6820813595007145
2023,4,"MERCEDES-BENZ",5118,3.8484096548612676
2023,4,"MG",5034,3.785247011053463
2023,4,"MINI",3558,2.6753891270020302
2023,4,"NISSAN",4907,3.689751109105948
2023,4,"PEUGEOT",5525,4.1544477028347995
2023,4,"POLESTAR",1183,0.8895405669599219
2023,4,"PORSCHE",1876,1.4106323783743138
2023,4,"RENAULT",2335,1.7557711106098204
2023,4,"SEAT",1867,1.403864952252049
2023,4,"SKODA",5272,3.9642078351755776
2023,4,"SMART",32,0.024061959545830514
2023,4,"SSANGYONG",149,0.11203849913527333
