"year","month","model","registrations"
2023,1,"MG HS",3481
2023,1,"VOLKSWAGEN T-ROC",3256
2023,1,"NISSAN QASHQAI",3121
2023,1,"KIA NIRO",2625
2023,1,"VAUXHALL CORSA",2425
2023,1,"KIA SPORTAGE",2409
2023,1,"FORD PUMA",2316
2023,1,"MG ZS",2260
2023,1,"HYUNDAI TUCSON",2259
2023,1,"FORD FIESTA",2042
2023,2,"VAUXHALL CORSA",2818
2023,2,"VAUXHALL MOKKA",1805
2023,2,"FORD PUMA",1590
2023,2,"NISSAN JUKE",1561
2023,2,"HYUNDAI TUCSON",1528
2023,2,"TESLA MODEL Y",1482
2023,2,"VOLKSWAGEN T-ROC",1360
2023,2,"FORD FIESTA",1303
2023,2,"KIA SPORTAGE",1262
2023,2,"TOYOTA C-HR",1244
2023,3,"TESLA MODEL Y",8123
2023,3,"NISSAN JUKE",7532
2023,3,"NISSAN QASHQAI",6755
2023,3,"KIA SPORTAGE",5888
2023,3,"HYUNDAI TUCSON",5680
2023,3,"FORD PUMA",5652
2023,3,"VAUXHALL CORSA",5588
2023,3,"MINI",5401
2023,3,"TOYOTA YARIS CROSS",5214
2023,3,"FORD FIESTA",4792
2023,4,"FORD PUMA",3570
2023,4,"VAUXHALL CORSA",3203
2023,4,"KIA SPORTAGE",3073
2023,4,"HYUNDAI TUCSON",2911
2023,4,"AUDI A3",2548
2023,4,"NISSAN QASHQAI",2538
2023,4,"VOLKSWAGEN T-ROC",2385
2023,4,"FORD FIESTA",2336
2023,4,"MG ZS",2335
2023,4,"MINI",2304
2023,5,"FORD PUMA",4184
2023,5,"NISSAN QASHQAI",3140
2023,5,"VAUXHALL MOKKA",3066
2023,5,"VAUXHALL CORSA",3028
2023,5,"AUDI A3",3018
2023,5,"HYUNDAI TUCSON",2712
2023,5,"VOLVO XC40",2699
2023,5,"NISSAN JUKE",2534
2023,5,"TESLA MODEL Y",2509
2023,5,"TOYOTA YARIS",2484
2023,6,"TESLA MODEL Y",5539
2023,6,"FORD PUMA",5453
2023,6,"VAUXHALL CORSA",4146
2023,6,"HYUNDAI TUCSON",3588
2023,6,"NISSAN JUKE",3256
2023,6,"NISSAN QASHQAI",3232
2023,6,"MINI",3222
2023,6,"TOYOTA YARIS",3162
2023,6,"KIA SPORTAGE",3081
2023,6,"VAUXHALL MOKKA",3034
2023,7,"FORD PUMA",4124
2023,7,"KIA SPORTAGE",3060
2023,7,"NISSAN QASHQAI",3032
2023,7,"VAUXHALL MOKKA",3002
2023,7,"HYUNDAI TUCSON",2608
2023,7,"VAUXHALL CORSA",2543
2023,7,"FORD KUGA",2530
2023,7,"AUDI A3",2467
2023,7,"TOYOTA AYGO X",2353
2023,7,"TESLA MODEL Y",2284
2023,8,"FORD PUMA",2336
2023,8,"TESLA MODEL Y",2313
2023,8,"VAUXHALL CORSA",1941
2023,8,"FORD KUGA",1779
2023,8,"VAUXHALL MOKKA",1763
2023,8,"TESLA MODEL 3",1698
2023,8,"HYUNDAI TUCSON",1597
2023,8,"VOLKSWAGEN T-ROC",1572
2023,8,"FORD FIESTA",1538
2023,8,"AUDI A3",1362
2023,9,"NISSAN QASHQAI",8565
2023,9,"FORD PUMA",8087
2023,9,"KIA SPORTAGE",5739
2023,9,"FORD KUGA",4638
2023,9,"MG ZS",4613
2023,9,"HYUNDAI TUCSON",4546
2023,9,"VAUXHALL CORSA",4485
2023,9,"VOLKSWAGEN POLO",4427
2023,9,"NISSAN JUKE",4411
2023,9,"MG HS",4030
2023,10,"FORD PUMA",4824
2023,10,"MINI",3779
2023,10,"VAUXHALL CORSA",3464
2023,10,"VOLKSWAGEN POLO",3426
2023,10,"BMW 1 SERIES",3424
2023,10,"KIA SPORTAGE",3422
2023,10,"PEUGEOT 2008 7 NISSAN JUKE",27253
2023,10,"PEUGEOT 2008 7 NISSAN JUKE",27253
2023,10,"MINI",26249
2023,10,"VAUXHALL MOKKA",25473
2023,10,"AUDI A3",25452
2023,11,"FORD PUMA",4298
2023,11,"VAUXHALL CORSA",4185
