"year","month","model","registrations"
2023,1,"MG HS",3481
2023,1,"VOLKSWAGEN T-ROC",3256
2023,1,"NISSAN QASHQAI",3121
2023,1,"KIA NIRO",2625
2023,1,"VAUXHALL CORSA",2425
2023,1,"KIA SPORTAGE",2409
2023,1,"FORD PUMA",2316
2023,1,"MG ZS",2260
2023,1,"HYUNDAI TUCSON",2259
2023,1,"FORD FIESTA",2042
2023,2,"VAUXHALL CORSA",5243
2023,2,"VOLKSWAGEN T-ROC",4616
2023,2,"NISSAN QASHQAI",4318
2023,2,"MG HS",4042
2023,2,"FORD PUMA",3906
2023,2,"HYUNDAI TUCSON",3787
2023,2,"KIA NIRO",3723
2023,2,"KIA SPORTAGE",3671
2023,2,"VAUXHALL MOKKA",3479
2023,2,"FORD FIESTA",3345
2023,3,"NISSAN QASHQAI",11073
2023,3,"NISSAN JUKE",10875
2023,3,"VAUXHALL CORSA",10831
2023,3,"TESLA MODEL Y",9953
2023,3,"KIA SPORTAGE",9559
2023,3,"FORD PUMA",9558
2023,3,"HYUNDAI TUCSON",9467
2023,3,"MINI",8328
2023,3,"FORD FIESTA",8137
2023,3,"VOLKSWAGEN T-ROC",8120
2023,4,"VAUXHALL CORSA",14034
2023,4,"NISSAN QASHQAI",13611
2023,4,"FORD PUMA",13128
2023,4,"KIA SPORTAGE",12632
2023,4,"NISSAN JUKE",12590
2023,4,"HYUNDAI TUCSON",12378
2023,4,"TESLA MODEL Y",11503
2023,4,"MINI",10632
2023,4,"VOLKSWAGEN T-ROC",10505
2023,4,"FORD FIESTA",10473
2023,5,"FORD PUMA",17312
2023,5,"VAUXHALL CORSA",17062
2023,5,"NISSAN QASHQAI",16751
2023,5,"NISSAN JUKE",15124
2023,5,"HYUNDAI TUCSON",15090
2023,5,"KIA SPORTAGE",14976
2023,5,"TESLA MODEL Y",14012
2023,5,"FORD FIESTA",12714
2023,5,"MINI",12670
2023,5,"VOLKSWAGEN T-ROC",12053
2023,6,"FORD PUMA",22765
2023,6,"VAUXHALL CORSA",21208
2023,6,"NISSAN QASHQAI",19983
2023,6,"TESLA MODEL Y",19551
2023,6,"HYUNDAI TUCSON",18678
2023,6,"NISSAN JUKE",18380
2023,6,"KIA SPORTAGE",18057
2023,6,"MINI",15892
2023,6,"FORD FIESTA",15359
2023,6,"VAUXHALL MOKKA",14996
2023,7,"FORD PUMA",26889
2023,7,"VAUXHALL CORSA",23751
2023,7,"NISSAN QASHQAI",23015
2023,7,"TESLA MODEL Y",21835
2023,7,"HYUNDAI TUCSON",21286
2023,7,"KIA SPORTAGE",21117
2023,7,"NISSAN JUKE",20498
2023,7,"MINI",18046
2023,7,"VAUXHALL MOKKA",17998
2023,7,"FORD FIESTA",17480
2023,8,"FORD PUMA",29225
2023,8,"VAUXHALL CORSA",25692
2023,8,"TESLA MODEL Y",24148
2023,8,"NISSAN QASHQAI",24017
2023,8,"HYUNDAI TUCSON",22883
2023,8,"KIA SPORTAGE",22414
2023,8,"NISSAN JUKE",21136
2023,8,"VAUXHALL MOKKA",19761
2023,8,"FORD FIESTA",19018
2023,8,"MINI",18748
2023,9,"FORD PUMA",37312
2023,9,"NISSAN QASHQAI",32582
2023,9,"VAUXHALL CORSA",30177
2023,9,"TESLA MODEL Y",28177
2023,9,"KIA SPORTAGE",28153
2023,9,"HYUNDAI TUCSON",27429
2023,9,"NISSAN JUKE",25547
2023,9,"VAUXHALL MOKKA",22942
2023,9,"MINI",22470
2023,9,"FORD FIESTA",22446
2023,10,"FORD PUMA",42136
2023,10,"NISSAN QASHQAI",34952
2023,10,"VAUXHALL CORSA",33641
2023,10,"KIA SPORTAGE",31575
2023,10,"TESLA MODEL Y",30087
2023,10,"HYUNDAI TUCSON",29990
2023,10,"",3145
2023,10,"AUDI A3",3012
2023,10,"FORD KUGA",2948
2023,10,"VOLVO XC40",2577
2023,11,"FORD PUMA",46434
2023,11,"NISSAN QASHQAI",39068
2023,11,"VAUXHALL CORSA",37826
2023,11,"KIA SPORTAGE",34620
2023,11,"HYUNDAI TUCSON",32301
