"year","month","brand","car_registrations","truck_registrations","registrations","is_estimated"
2024,10,"ACURA",2012,8835,10847,false
2024,10,"ALFA ROMEO",208,404,612,true
2024,10,"ASTON MARTIN",80,41,121,true
2024,10,"AUDI",3233,11882,15115,true
2024,10,"BENTLEY",149,74,223,true
2024,10,"BMW",10498,26280,36778,false
2024,10,"BRIGHTDROP",,232,232,true
2024,10,"BUICK",,16367,16367,true
2024,10,"CADILLAC",1938,11605,13543,true
2024,10,"CHEVROLET",14636,133370,148006,true
2024,10,"CHRYSLER",252,10477,10729,true
2024,10,"DODGE",2264,5310,7574,true
2024,10,"FERRARI",241,24,265,false
2024,10,"FIAT",153,93,246,true
2024,10,"FISKER",,50,50,true
2024,10,"FORD",2688,159635,162323,false
2024,10,"GENESIS",1496,5393,6889,false
2024,10,"GMC",,55340,55340,true
2024,10,"HONDA",28144,71355,99499,false
2024,10,"HYUNDAI",19288,52514,71802,false
2024,10,"INEOS",,140,140,true
2024,10,"INFINITI",380,4371,4751,true
2024,10,"JAGUAR",115,600,715,true
2024,10,"JEEP",,46689,46689,true
2024,10,"KARMA",,,,true
2024,10,"KIA",18676,50232,68908,false
2024,10,"LAMBORGHINI",132,208,340,true
2024,10,"LAND ROVER",,6900,6900,true
2024,10,"LEXUS",5407,21107,26514,true
2024,10,"LINCOLN",,9349,9349,false
2024,10,"LOTUS",250,,250,true
2024,10,"LUCID",670,,670,true
2024,10,"MASERATI",60,211,271,false
2024,10,"MAZDA",4401,32906,37307,false
2024,10,"MCLAREN",96,,96,true
2024,10,"MERCEDES-BENZ",8314,22287,30601,true
2024,10,"MINI",1354,1579,2933,false
2024,10,"MITSUBISHI",1629,6289,7918,false
2024,10,"NISSAN",27562,44831,72393,true
2024,10,"POLESTAR",945,50,995,true
2024,10,"PORSCHE",2731,3859,6590,true
2024,10,"RAM",,41429,41429,true
2024,10,"RIVIAN",,3380,3380,true
2024,10,"ROLLS ROYCE",60,43,103,true
2024,10,"SUBARU",19713,34839,54552,false
2024,10,"TESLA",19142,34033,53175,true
2024,10,"TOYOTA",53283,106884,160167,true
2024,10,"VINFAST",,230,230,true
2024,10,"VOLKSWAGEN",8041,25894,33935,true
2024,10,"VOLVO",449,8911,9360,false
