"year","month","brand","registrations","market_share"
2023,1,"VOLKSWAGEN_GROUP",238000,26.1
2023,1,"VOLKSWAGEN",100213,11
2023,1,"SKODA",51241,5.6
2023,1,"AUDI",48241,5.3
2023,1,"SEAT",20968,2.3
2023,1,"PORSCHE",8597,0.9
2023,1,"CUPRA",8249,0.9
2023,1,"VOLKSWAGEN_GROUP_OTHERS",491,0.1
2023,1,"STELLANTIS",156553,17.2
2023,1,"PEUGEOT",46789,5.1
2023,1,"FIAT",31828,3.5
2023,1,"OPEL/VAUXHALL",29048,3.2
2023,1,"CITROEN",27152,3
2023,1,"JEEP",9927,1.1
2023,1,"DS",3954,0.4
2023,1,"LANCIA/CHRYSLER",3586,0.4
2023,1,"ALFA_ROMEO",3430,0.4
2023,1,"STELLANTIS_OTHERS",839,0.1
2023,1,"RENAULT_GROUP",94889,10.4
2023,1,"DACIA",47998,5.3
2023,1,"RENAULT",46714,5.1
2023,1,"ALPINE",177,0
2023,1,"HYUNDAI_GROUP",85444,9.4
2023,1,"KIA",46094,5.1
2023,1,"HYUNDAI",39350,4.3
2023,1,"TOYOTA_GROUP",73299,8
2023,1,"TOYOTA",69978,7.7
2023,1,"LEXUS",3321,0.4
2023,1,"BMW_GROUP",55448,6.1
2023,1,"BMW",45147,5
2023,1,"MINI",10300,1.1
2023,1,"MERCEDES_BENZ",42258,4.6
2023,1,"MERCEDES",40869,4.5
2023,1,"SMART",1389,0.2
2023,1,"FORD",37609,4.1
2023,1,"VOLVO_CARS",20736,2.3
2023,1,"NISSAN",19343,2.1
2023,1,"MAZDA",14950,1.6
2023,1,"SUZUKI",12581,1.4
2023,1,"JAGUAR_LAND_ROVER_GROUP",9729,1.1
2023,1,"LAND_ROVER",8008,0.9
2023,1,"JAGUAR",1721,0.2
2023,1,"TESLA",9469,1.2
2023,1,"HONDA",4690,0.5
2023,1,"MITSUBISHI",2496,0.3
2023,2,"VOLKSWAGEN_GROUP",235404,26.1
2023,2,"VOLKSWAGEN",96864,10.7
2023,2,"SKODA",50851,5.6
2023,2,"AUDI",49456,5.5
2023,2,"SEAT",20671,2.3
2023,2,"CUPRA",10588,1.2
2023,2,"PORSCHE",6557,0.7
2023,2,"VOLKSWAGEN_GROUP_OTHERS",417,0
2023,2,"STELLANTIS",167097,18.5
2023,2,"PEUGEOT",53527,5.9
2023,2,"OPEL/VAUXHALL",33807,3.7
2023,2,"FIAT",30590,3.4
