"year","month","country","brand","registrations"
2023,1,"austria","TESLA",373
2023,2,"austria","TESLA",853
2023,3,"austria","TESLA",1487
2023,4,"austria","TESLA",410
2023,5,"austria","TESLA",848
2023,6,"austria","TESLA",924
2023,7,"austria","TESLA",366
2023,8,"austria","TESLA",880
2023,9,"austria","TESLA",598
2023,10,"austria","TESLA",339
2023,11,"austria","TESLA",752
2023,12,"austria","TESLA",587
2024,1,"austria","TESLA",391
2024,2,"austria","TESLA",876
2024,3,"austria","TESLA",1239
2024,4,"austria","TESLA",387
2024,5,"austria","TESLA",499
2024,6,"austria","TESLA",1050
2024,7,"austria","TESLA",245
2024,8,"austria","TESLA",398
2024,9,"austria","TESLA",961
2024,10,"austria","TESLA",273
2024,11,"austria","TESLA",93
2023,1,"czech_republic","TESLA",48
2023,2,"czech_republic","TESLA",93
2023,3,"czech_republic","TESLA",159
2023,4,"czech_republic","TESLA",145
2023,5,"czech_republic","TESLA",171
2023,6,"czech_republic","TESLA",171
2023,7,"czech_republic","TESLA",87
2023,8,"czech_republic","TESLA",160
2023,9,"czech_republic","TESLA",97
2023,10,"czech_republic","TESLA",109
2023,11,"czech_republic","TESLA",228
2023,12,"czech_republic","TESLA",150
2024,1,"czech_republic","TESLA",116
2024,2,"czech_republic","TESLA",88
2024,3,"czech_republic","TESLA",121
2024,4,"czech_republic","TESLA",182
2024,5,"czech_republic","TESLA",253
2024,6,"czech_republic","TESLA",953
2024,7,"czech_republic","TESLA",245
2024,8,"czech_republic","TESLA",155
2024,9,"czech_republic","TESLA",639
2024,10,"czech_republic","TESLA",347
2024,8,"denmark","TESLA",813
2024,9,"denmark","TESLA",1853
2024,10,"denmark","TESLA",721
2023,1,"finland","TESLA",49
2023,2,"finland","TESLA",382
2023,3,"finland","TESLA",897
2023,4,"finland","TESLA",226
2023,5,"finland","TESLA",532
2023,6,"finland","TESLA",899
2023,7,"finland","TESLA",120
2023,8,"finland","TESLA",573
2023,9,"finland","TESLA",1202
2023,10,"finland","TESLA",149
2023,11,"finland","TESLA",432
2023,12,"finland","TESLA",677
2024,1,"finland","TESLA",169
2024,2,"finland","TESLA",238
2024,3,"finland","TESLA",487
2024,4,"finland","TESLA",128
2024,5,"finland","TESLA",304
2024,6,"finland","TESLA",479
2024,7,"finland","TESLA",59
2024,8,"finland","TESLA",312
2024,9,"finland","TESLA",456
2024,10,"finland","TESLA",145
2023,1,"france","TESLA",741
2023,2,"france","TESLA",3376
2023,3,"france","TESLA",8710
2023,4,"france","TESLA",1824
2023,5,"france","TESLA",4012
2023,6,"france","TESLA",8516
2023,7,"france","TESLA",2718
2023,8,"france","TESLA",5365
2023,9,"france","TESLA",5557
2023,10,"france","TESLA",3262
2023,11,"france","TESLA",9389
2023,12,"france","TESLA",9572
2024,1,"france","TESLA",3118
2024,2,"france","TESLA",3244
2024,3,"france","TESLA",4998
2024,4,"france","TESLA",2128
2024,5,"france","TESLA",2197
2024,6,"france","TESLA",4053
2024,7,"france","TESLA",1780
2024,8,"france","TESLA",2523
2024,9,"france","TESLA",5435
2024,10,"france","TESLA",1741
2023,1,"germany","TESLA",4241
2023,2,"germany","TESLA",7710
2023,3,"germany","TESLA",8703
2023,4,"germany","TESLA",2420
2023,5,"germany","TESLA",5265
2023,6,"germany","TESLA",8043
2023,7,"germany","TESLA",3904
2023,8,"germany","TESLA",6903
2023,9,"germany","TESLA",4216
2023,10,"germany","TESLA",3353
2023,11,"germany","TESLA",4923
2023,12,"germany","TESLA",4001
2024,1,"germany","TESLA",3152
2024,2,"germany","TESLA",6038
2024,3,"germany","TESLA",3878
2024,4,"germany","TESLA",1637
2024,5,"germany","TESLA",1896
2024,6,"germany","TESLA",4648
2024,7,"germany","TESLA",2470
2024,8,"germany","TESLA",2370
2024,9,"germany","TESLA",3758
2024,10,"germany","TESLA",1614
2023,1,"iceland","TESLA",5
2023,2,"iceland","TESLA",172
2023,3,"iceland","TESLA",443
2023,4,"iceland","TESLA",91
2023,5,"iceland","TESLA",369
2023,6,"iceland","TESLA",425
2023,7,"iceland","TESLA",79
2023,8,"iceland","TESLA",285
2023,9,"iceland","TESLA",328
2023,10,"iceland","TESLA",176
2023,11,"iceland","TESLA",627
2023,12,"iceland","TESLA",547
2024,1,"iceland","TESLA",12
2024,2,"iceland","TESLA",24
2024,3,"iceland","TESLA",51
2024,4,"iceland","TESLA",23
2024,5,"iceland","TESLA",36
2024,6,"iceland","TESLA",78
2024,7,"iceland","TESLA",29
2024,8,"iceland","TESLA",43
2024,9,"iceland","TESLA",53
2024,10,"iceland","TESLA",74
2023,1,"ireland","TESLA",1
2023,2,"ireland","TESLA",1
2023,3,"ireland","TESLA",676
2023,4,"ireland","TESLA",224
2023,5,"ireland","TESLA",232
2023,6,"ireland","TESLA",1035
2023,7,"ireland","TESLA",41
2023,8,"ireland","TESLA",352
2023,9,"ireland","TESLA",402
2023,10,"ireland","TESLA",118
2023,11,"ireland","TESLA",152
2023,12,"ireland","TESLA",137
2024,1,"ireland","TESLA",66
2024,2,"ireland","TESLA",346
2024,3,"ireland","TESLA",418
2024,4,"ireland","TESLA",18
2024,5,"ireland","TESLA",237
2024,6,"ireland","TESLA",511
2024,7,"ireland","TESLA",203
2024,8,"ireland","TESLA",365
2024,9,"ireland","TESLA",254
2024,10,"ireland","TESLA",38
2023,1,"italy","TESLA",326
2023,2,"italy","TESLA",1313
2023,3,"italy","TESLA",2911
2023,4,"italy","TESLA",740
2023,5,"italy","TESLA",1477
2023,6,"italy","TESLA",1751
2023,7,"italy","TESLA",478
2023,8,"italy","TESLA",2129
2023,9,"italy","TESLA",906
2023,10,"italy","TESLA",908
2023,11,"italy","TESLA",2710
2023,12,"italy","TESLA",983
2024,1,"italy","TESLA",404
2024,2,"italy","TESLA",1851
2024,3,"italy","TESLA",1465
2024,4,"italy","TESLA",345
2024,5,"italy","TESLA",1073
2024,6,"italy","TESLA",4993
2024,7,"italy","TESLA",474
2024,8,"italy","TESLA",435
